NUTS_ID,year,gdd,heat,frost,precip,open_doy,close_doy,n_day
AL011,1989,1225.019,2.313,7.774,380.602,56,221,166
AL012,1989,1912.128,39.621,0,266.145,63,218,156
AL013,1989,1136.531,1.728,13.082,453.206,55,225,171
AL014,1989,1652.497,29.303,1.216,274.261,66,221,156
AL015,1989,1430.862,20.573,3.992,335.224,64,223,160
AL021,1989,1505.473,19.072,2.797,254.89,63,220,158
AL022,1989,1764.304,29.361,1.139,285.192,61,218,158
AL031,1989,1609.618,25.978,1.376,220.103,66,220,155
AL032,1989,2036.97,63.145,0,211.053,63,219,157
AL033,1989,1584.629,15.835,1.596,220.43,65,218,154
AL034,1989,1263.542,0.681,7.132,252.421,55,221,167
AL035,1989,1756.136,30.187,0.196,202.109,66,218,153
AT111,1989,1405.043,10.304,4.853,424.012,63,220,158
AT112,1989,1523.65,21.213,6.036,295.66,57,219,163
AT113,1989,1398.235,6.498,9.17,444.083,57,219,163
AT121,1989,1144.43,1.83,10.908,632.962,64,221,158
AT122,1989,1130.506,1.347,7.32,574.464,71,225,155
AT123,1989,1272.704,3.297,8.164,543.151,65,222,158
AT124,1989,1124.741,1.222,12.329,420.659,70,223,154
AT125,1989,1391.306,9.164,10.093,289.525,56,219,164
AT126,1989,1462.426,12.415,7.564,333.007,56,219,164
AT127,1989,1461.047,12.666,8.164,351.078,59,220,162
AT130,1989,1478.118,10.845,5.102,333.759,59,219,161
AT211,1989,1062.327,0.357,9.831,636.045,70,225,156
AT212,1989,657.695,0.095,26.055,686.418,75,229,155
AT213,1989,980.925,0.067,11.515,615.951,70,224,155
AT221,1989,1246.063,0.39,4.844,608.258,67,222,156
AT222,1989,732.736,0.001,24.598,714.493,70,226,157
AT223,1989,857.114,0,11.05,657.851,72,225,154
AT224,1989,1284.44,1.993,6.596,526.573,64,222,159
AT225,1989,1190.778,0.806,7.034,688.191,66,223,158
AT226,1989,704.554,0,21.491,630.543,71,226,156
AT311,1989,1251.171,2.465,7.138,450.521,64,221,158
AT312,1989,1286.089,3.795,7.144,458.009,61,221,161
AT313,1989,1093.786,1.216,14.222,443.821,64,221,158
AT314,1989,1069.275,1.046,17.648,676.434,56,221,166
AT315,1989,1060.197,0.424,12.629,676.26,66,223,158
AT321,1989,494.238,0,31.115,712.912,85,232,148
AT322,1989,584.448,0.002,41.912,825.209,70,231,162
AT323,1989,1016.883,0.18,14.888,795.655,66,224,159
AT331,1989,587.734,0,38.124,552.856,70,226,157
AT332,1989,493.665,0,46.943,630.233,70,231,162
AT333,1989,398.392,0,45.139,825.809,86,235,150
AT334,1989,360.312,0,65.467,476.667,70,233,164
AT335,1989,683.84,0.226,34.786,697.129,70,229,160
AT341,1989,584.019,0,40.991,674.501,71,223,153
AT342,1989,1033.411,0.117,8.69,679.122,69,218,150
BE100,1989,1269.59,16.67,3,236.6,64,210,147
BE211,1989,1252.051,13.454,2.737,263.653,64,213,150
BE212,1989,1276.698,16.122,3.123,251.658,65,214,150
BE213,1989,1269.917,15.752,4.691,246.11,64,216,153
BE221,1989,1300.557,17.701,5.135,293.858,65,219,155
BE222,1989,1286.467,18.927,4.88,263.214,64,218,155
BE223,1989,1287.685,15.856,4.034,323.939,65,218,154
BE231,1989,1157.015,15.044,4,270.459,51,203,153
BE232,1989,1210.381,14.9,2.666,228.994,63,207,145
BE233,1989,1215.307,12.032,0.794,232.878,64,209,146
BE234,1989,1199.455,14.659,1.506,236.847,63,207,145
BE235,1989,1156.638,16.881,3.044,266.138,57,204,148
BE236,1989,1226.795,13.554,2.38,225.865,64,209,146
BE241,1989,1218.942,16.929,3.491,242.372,63,207,145
BE242,1989,1294.555,17.043,4.303,266.918,65,217,153
BE251,1989,1214.047,9.555,0.348,209.768,65,210,146
BE252,1989,1214.792,9.01,0.365,207.536,64,210,147
BE253,1989,1220.977,10.03,1.026,244.183,65,211,147
BE254,1989,1202.049,16.093,1.109,240.639,65,208,144
BE255,1989,1214.623,8.662,0,196.308,64,210,147
BE256,1989,1231.867,12.485,0.866,245.827,65,211,147
BE257,1989,1216.12,13.354,0.878,231.668,64,209,146
BE258,1989,1196.913,7.334,0.224,223.864,63,209,147
BE310,1989,1210.925,14.892,4.395,285.556,64,211,148
BE321,1989,1097.417,7.323,3.887,289.817,49,200,152
BE322,1989,1155.3,13.412,5.317,305.686,64,209,146
BE323,1989,1089.667,6.343,3.333,307.991,50,201,152
