cntr,year,hdd_calendar,hdd_octmar,cdd_jja
AL,1950,2012.74,,278.39
AL,1951,1977.99,1544.6,183.21
AL,1952,2080.11,1872.28,252.08
AL,1953,2314.59,1844.15,182.62
AL,1954,2258.83,1925.31,199.94
AL,1955,1909.79,1583.1,184.26
AL,1956,2346.15,1832.98,239.11
AL,1957,2077.3,1799.94,242.65
AL,1958,2277.46,1776.59,219.57
AL,1959,2391.62,1824.51,129.78
AL,1960,2083.77,1792.33,188.51
AL,1961,2133.92,1699.32,195.73
AL,1962,2244.7,1756.61,263.36
AL,1963,2152.66,1840.22,244.78
AL,1964,2381.61,1806.77,159.22
AL,1965,2524.14,1972.6,212.19
AL,1966,2240.41,1847.37,206.49
AL,1967,2378.26,1895.66,202.04
AL,1968,2396.71,1936.25,162.03
AL,1969,2193.85,1881.06,147.17
AL,1970,2309.16,1755.09,184.46
AL,1971,2340.35,1862.23,196.67
AL,1972,2246.01,1819.34,156.95
AL,1973,2347.96,2051.85,185.68
AL,1974,2420.55,1806.91,212.44
AL,1975,2440.55,2068.4,158.47
AL,1976,2534.28,2011.68,78.14
AL,1977,2167.61,1752.67,209.97
AL,1978,2413.84,1829.23,167.13
AL,1979,2241.78,1834.75,162.17
AL,1980,2535.39,1909.64,193.53
AL,1981,2421.53,1916.1,180.12
AL,1982,2357.39,1970.51,220.37
AL,1983,2467.92,2009.63,121.92
AL,1984,2418.66,1946.73,141.75
AL,1985,2319.5,1886.04,208.5
AL,1986,2326.1,1810.86,175.25
AL,1987,2381.65,2072.43,261.53
AL,1988,2371.06,1854.89,292.75
AL,1989,2239.79,1939.01,173.15
AL,1990,2191.01,1847.61,195.34
AL,1991,2549.73,1831.94,159.8
AL,1992,2461.3,2146.38,201.35
AL,1993,2432.89,2019.83,231.24
AL,1994,2170.45,1732.65,239.36
AL,1995,2421.94,1896.51,176.41
AL,1996,2382.84,1996.56,203.7
AL,1997,2324.64,1787.88,188.82
AL,1998,2236.72,1841.3,330.04
AL,1999,2145.66,2004.22,292.05
AL,2000,2205.76,1942.64,310.92
AL,2001,2114.33,1566.68,320.36
AL,2002,2040.29,1843.95,250.85
AL,2003,2191.56,1866.05,364.01
AL,2004,2182.76,1839.56,251.48
AL,2005,2275.97,1868.97,190.52
AL,2006,2295.38,1956.9,218.27
AL,2007,2082.02,1727.09,303.22
AL,2008,2075.32,1838.11,278.2
AL,2009,2052.07,1809.9,200.69
AL,2010,1985.22,1701.71,231.04
AL,2011,2293.23,1656.53,240.04
AL,2012,2381.65,2207.21,385.75
AL,2013,2125.46,1809.07,276.88
AL,2014,2152.32,1685.75,215.7
