Country,Year,Fuel,Energy_Use_Household_ktoe
Albania,1990,Electricity,61.393
Albania,1991,Electricity,45.486
Albania,1992,Electricity,50.129
Albania,1993,Electricity,65.262
Albania,1994,Electricity,67.068
Albania,1995,Electricity,75.924
Albania,1996,Electricity,101.032
Albania,1997,Electricity,95.013
Albania,1998,Electricity,128.977
Albania,1999,Electricity,190.972
Albania,2000,Electricity,211.78
Albania,2001,Electricity,206.793
Albania,2002,Electricity,201.978
Albania,2003,Electricity,203.009
Albania,2004,Electricity,239.983
Albania,2005,Electricity,234.996
Albania,2006,Electricity,169.991
Albania,2007,Electricity,177.988
Albania,2008,Electricity,200
Albania,2009,Electricity,223.99
Albania,2010,Electricity,222.528
Albania,2011,Electricity,233.19
Albania,2012,Electricity,262.253
Albania,2013,Electricity,331.9
Albania,2014,Electricity,300.946
Albania,2015,Electricity,274.377
Albania,2016,Electricity,257.18
Albania,2017,Electricity,252.325
Albania,2018,Electricity,270.591
Albania,2019,Electricity,268.293
Albania,2020,Electricity,298.287
Albania,2021,Electricity,301.346
Albania,2022,Electricity,288.807
Albania,2023,Electricity,282.396
Albania,2024,Electricity,293.025
Austria,1990,Electricity,1021.324
Austria,1991,Electricity,1083.663
Austria,1992,Electricity,1098.194
Austria,1993,Electricity,1129.923
Austria,1994,Electricity,1115.993
Austria,1995,Electricity,1168.616
Austria,1996,Electricity,1220.894
Austria,1997,Electricity,1193.809
Austria,1998,Electricity,1199.14
Austria,1999,Electricity,1257.61
Austria,2000,Electricity,1286.5
Austria,2001,Electricity,1393.723
Austria,2002,Electricity,1438.521
Austria,2003,Electricity,1485.383
Austria,2004,Electricity,1471.969
Austria,2005,Electricity,1411.666
Austria,2006,Electricity,1413.728
Austria,2007,Electricity,1417.359
Austria,2008,Electricity,1428.793
Austria,2009,Electricity,1481.794
Austria,2010,Electricity,1518.271
Austria,2011,Electricity,1485.266
Austria,2012,Electricity,1508.282
Austria,2013,Electricity,1517.555
Austria,2014,Electricity,1445.877
Austria,2015,Electricity,1480.249
Austria,2016,Electricity,1533.864
Austria,2017,Electricity,1547.568
Austria,2018,Electricity,1542.786
Austria,2019,Electricity,1586.985
Austria,2020,Electricity,1757.162
Austria,2021,Electricity,1894.03
Austria,2022,Electricity,1818.532
Austria,2023,Electricity,1929.29
Austria,2024,Electricity,1878.914
Bosnia and Herzegovina,2014,Electricity,395.959
Bosnia and Herzegovina,2015,Electricity,406.363
Bosnia and Herzegovina,2016,Electricity,406.965
Bosnia and Herzegovina,2017,Electricity,408.942
Bosnia and Herzegovina,2018,Electricity,402.837
Bosnia and Herzegovina,2019,Electricity,406.363
Bosnia and Herzegovina,2020,Electricity,412.296
Bosnia and Herzegovina,2021,Electricity,422.356
Bosnia and Herzegovina,2022,Electricity,423.818
Bosnia and Herzegovina,2023,Electricity,429.923
Bosnia and Herzegovina,2024,Electricity,450.731
Belgium,1990,Electricity,1583.319
Belgium,1991,Electricity,1710.834
Belgium,1992,Electricity,1740.757
Belgium,1993,Electricity,1813.414
Belgium,1994,Electricity,1836.457
Belgium,1995,Electricity,1901.032
Belgium,1996,Electricity,1997.334
Belgium,1997,Electricity,1971.883
Belgium,1998,Electricity,2011.006
Belgium,1999,Electricity,2019.089
Belgium,2000,Electricity,2041.101
Belgium,2001,Electricity,2097.678
Belgium,2002,Electricity,2228.805
Belgium,2003,Electricity,2237.833
Belgium,2004,Electricity,1659.991
Belgium,2005,Electricity,1635.125
Belgium,2006,Electricity,1662.27
Belgium,2007,Electricity,1651.255
Belgium,2008,Electricity,1677.868
Belgium,2009,Electricity,1678.917
Belgium,2010,Electricity,1701.66
Belgium,2011,Electricity,1630.894
Belgium,2012,Electricity,1650.301
Belgium,2013,Electricity,1654.136
Belgium,2014,Electricity,1572.227
Belgium,2015,Electricity,1561.281
Belgium,2016,Electricity,1549.175
Belgium,2017,Electricity,1516.311
Belgium,2018,Electricity,1498.34
Belgium,2019,Electricity,1480.782
Belgium,2020,Electricity,1505.537
Belgium,2021,Electricity,1510.499
Belgium,2022,Electricity,1392.657
Belgium,2023,Electricity,1364.832
Belgium,2024,Electricity,1402.855
Bulgaria,1990,Electricity,900.602
Bulgaria,1991,Electricity,894.669
Bulgaria,1992,Electricity,859.673
Bulgaria,1993,Electricity,861.651
Bulgaria,1994,Electricity,843.164
Bulgaria,1995,Electricity,942.046
Bulgaria,1996,Electricity,987.618
Bulgaria,1997,Electricity,849.699
Bulgaria,1998,Electricity,906.277
Bulgaria,1999,Electricity,869.733
Bulgaria,2000,Electricity,847.635
Bulgaria,2001,Electricity,838.435
Bulgaria,2002,Electricity,800.172
Bulgaria,2003,Electricity,800.602
Bulgaria,2004,Electricity,754.084
Bulgaria,2005,Electricity,777.816
Bulgaria,2006,Electricity,800.086
Bulgaria,2007,Electricity,806.191
Bulgaria,2008,Electricity,862.167
Bulgaria,2009,Electricity,885.813
Bulgaria,2010,Electricity,907.911
Bulgaria,2011,Electricity,938.263
Bulgaria,2012,Electricity,931.9
Bulgaria,2013,Electricity,906.019
Bulgaria,2014,Electricity,910.576
Bulgaria,2015,Electricity,915.219
Bulgaria,2016,Electricity,922.872
Bulgaria,2017,Electricity,957.656
Bulgaria,2018,Electricity,942.65
Bulgaria,2019,Electricity,932.407
Bulgaria,2020,Electricity,976.456
Bulgaria,2021,Electricity,1027.798
Bulgaria,2022,Electricity,1029.208
Bulgaria,2023,Electricity,1058.619
Bulgaria,2024,Electricity,1109.891
Cyprus,1990,Electricity,38.607
Cyprus,1991,Electricity,40.585
Cyprus,1992,Electricity,50.473
Cyprus,1993,Electricity,55.976
Cyprus,1994,Electricity,58.04
Cyprus,1995,Electricity,65.262
Cyprus,1996,Electricity,70.851
Cyprus,1997,Electricity,71.711
Cyprus,1998,Electricity,77.73
Cyprus,1999,Electricity,81.857
Cyprus,2000,Electricity,90.714
Cyprus,2001,Electricity,89.596
Cyprus,2002,Electricity,99.484
Cyprus,2003,Electricity,111.35
Cyprus,2004,Electricity,113.156
Cyprus,2005,Electricity,123.216
Cyprus,2006,Electricity,128.977
Cyprus,2007,Electricity,138.263
Cyprus,2008,Electricity,144.712
Cyprus,2009,Electricity,148.065
Cyprus,2010,Electricity,149.441
Cyprus,2011,Electricity,148.151
Cyprus,2012,Electricity,143.852
Cyprus,2013,Electricity,123.56
Cyprus,2014,Electricity,122.528
Cyprus,2015,Electricity,130.267
Cyprus,2016,Electricity,136.285
Cyprus,2017,Electricity,143.119
Cyprus,2018,Electricity,145.166
Cyprus,2019,Electricity,152.338
Cyprus,2020,Electricity,155.274
Cyprus,2021,Electricity,156.269
Cyprus,2022,Electricity,152.905
Cyprus,2023,Electricity,145.615
Cyprus,2024,Electricity,161.337
Czechia,1990,Electricity,827.429
Czechia,1991,Electricity,848.925
Czechia,1992,Electricity,889.338
Czechia,1993,Electricity,980.138
Czechia,1994,Electricity,1133.62
Czechia,1995,Electricity,1276.612
Czechia,1996,Electricity,1376.698
Czechia,1997,Electricity,1333.018
Czechia,1998,Electricity,1247.291
Czechia,1999,Electricity,1207.911
Czechia,2000,Electricity,1188.478
Czechia,2001,Electricity,1224.334
Czechia,2002,Electricity,1214.187
Czechia,2003,Electricity,1247.463
Czechia,2004,Electricity,1248.925
Czechia,2005,Electricity,1265.606
Czechia,2006,Electricity,1306.793
Czechia,2007,Electricity,1259.329
Czechia,2008,Electricity,1264.23
Czechia,2009,Electricity,1262.855
Czechia,2010,Electricity,1292.175
Czechia,2011,Electricity,1220.98
Czechia,2012,Electricity,1253.74
Czechia,2013,Electricity,1265.348
Czechia,2014,Electricity,1214.531
Czechia,2015,Electricity,1236.629
Czechia,2016,Electricity,1284.179
Czechia,2017,Electricity,1307.934
Czechia,2018,Electricity,1294.027
Czechia,2019,Electricity,1311.852
Czechia,2020,Electricity,1373.386
Czechia,2021,Electricity,1484.089
Czechia,2022,Electricity,1350.146
Czechia,2023,Electricity,1330.754
Czechia,2024,Electricity,1344.332
Germany,1990,Electricity,11784.523
Germany,1991,Electricity,10503.353
Germany,1992,Electricity,10559.157
Germany,1993,Electricity,10842.046
Germany,1994,Electricity,10707.911
Germany,1995,Electricity,10935.168
Germany,1996,Electricity,11534.91
Germany,1997,Electricity,11247.807
Germany,1998,Electricity,11218.917
Germany,1999,Electricity,11288.134
Germany,2000,Electricity,11220.98
Germany,2001,Electricity,11521.926
Germany,2002,Electricity,11736.887
Germany,2003,Electricity,11960.447
Germany,2004,Electricity,12072.227
Germany,2005,Electricity,12149.613
Germany,2006,Electricity,12166.81
Germany,2007,Electricity,12046.432
Germany,2008,Electricity,11994.841
Germany,2009,Electricity,11969.046
Germany,2010,Electricity,12184.007
Germany,2011,Electricity,11745.486
Germany,2012,Electricity,11779.88
Germany,2013,Electricity,11693.895
Germany,2014,Electricity,11143.594
Germany,2015,Electricity,11066.208
Germany,2016,Electricity,11023.216
Germany,2017,Electricity,11257.438
Germany,2018,Electricity,10995.701
Germany,2019,Electricity,10880.396
Germany,2020,Electricity,10956.664
Germany,2021,Electricity,11306.965
Germany,2022,Electricity,11533.62
Germany,2023,Electricity,11303.009
Germany,2024,Electricity,11387.618
Denmark,1990,Electricity,831.47
Denmark,1991,Electricity,871.453
Denmark,1992,Electricity,877.816
Denmark,1993,Electricity,888.392
Denmark,1994,Electricity,896.647
Denmark,1995,Electricity,885.211
Denmark,1996,Electricity,911.092
Denmark,1997,Electricity,887.102
Denmark,1998,Electricity,882.459
Denmark,1999,Electricity,884.265
Denmark,2000,Electricity,878.332
Denmark,2001,Electricity,873.517
Denmark,2002,Electricity,876.182
Denmark,2003,Electricity,882.373
Denmark,2004,Electricity,888.392
Denmark,2005,Electricity,898.452
Denmark,2006,Electricity,909.114
Denmark,2007,Electricity,889.854
Denmark,2008,Electricity,883.921
Denmark,2009,Electricity,868.1
Denmark,2010,Electricity,893.293
Denmark,2011,Electricity,869.39
Denmark,2012,Electricity,858.899
Denmark,2013,Electricity,886.242
Denmark,2014,Electricity,868.788
Denmark,2015,Electricity,875.035
Denmark,2016,Electricity,883.099
Denmark,2017,Electricity,845.793
Denmark,2018,Electricity,837.647
Denmark,2019,Electricity,880.624
Denmark,2020,Electricity,887.07
Denmark,2021,Electricity,939.659
Denmark,2022,Electricity,833.966
Denmark,2023,Electricity,831.93
Denmark,2024,Electricity,885.075
Estonia,1990,Electricity,75.752
Estonia,1991,Electricity,79.45
Estonia,1992,Electricity,105.761
Estonia,1993,Electricity,94.153
Estonia,1994,Electricity,109.2
Estonia,1995,Electricity,91.745
Estonia,1996,Electricity,106.105
Estonia,1997,Electricity,103.611
Estonia,1998,Electricity,115.993
Estonia,1999,Electricity,117.197
Estonia,2000,Electricity,126.053
Estonia,2001,Electricity,136.285
Estonia,2002,Electricity,136.199
Estonia,2003,Electricity,137.059
Estonia,2004,Electricity,139.123
Estonia,2005,Electricity,139.295
Estonia,2006,Electricity,144.024
Estonia,2007,Electricity,152.451
Estonia,2008,Electricity,158.641
Estonia,2009,Electricity,161.995
Estonia,2010,Electricity,173.947
Estonia,2011,Electricity,166.294
Estonia,2012,Electricity,168.186
Estonia,2013,Electricity,160.361
Estonia,2014,Electricity,149.527
Estonia,2015,Electricity,148.581
Estonia,2016,Electricity,164.488
Estonia,2017,Electricity,166.81
Estonia,2018,Electricity,159.931
Estonia,2019,Electricity,177.988
Estonia,2020,Electricity,171.797
Estonia,2021,Electricity,191.66
Estonia,2022,Electricity,169.121
Estonia,2023,Electricity,186.004
Estonia,2024,Electricity,201.634
Greece,1990,Electricity,780.224
Greece,1991,Electricity,861.049
Greece,1992,Electricity,912.468
Greece,1993,Electricity,901.204
Greece,1994,Electricity,939.983
Greece,1995,Electricity,989.51
Greece,1996,Electricity,1053.568
Greece,1997,Electricity,1068.186
Greece,1998,Electricity,1099.398
Greece,1999,Electricity,1159.415
Greece,2000,Electricity,1221.582
Greece,2001,Electricity,1250.731
Greece,2002,Electricity,1356.406
Greece,2003,Electricity,1413.929
Greece,2004,Electricity,1449.011
Greece,2005,Electricity,1450.989
Greece,2006,Electricity,1519.862
Greece,2007,Electricity,1544.024
Greece,2008,Electricity,1558.555
Greece,2009,Electricity,1558.985
Greece,2010,Electricity,1558.899
Greece,2011,Electricity,1515.735
Greece,2012,Electricity,1638.693
Greece,2013,Electricity,1500.086
Greece,2014,Electricity,1474.721
Greece,2015,Electricity,1507.997
Greece,2016,Electricity,1719.433
Greece,2017,Electricity,1687.691
Greece,2018,Electricity,1441.325
Greece,2019,Electricity,1494.199
Greece,2020,Electricity,1503.543
Greece,2021,Electricity,1523.556
Greece,2022,Electricity,1425.755
Greece,2023,Electricity,1300.883
Greece,2024,Electricity,1482.674
Spain,1990,Electricity,2597.592
Spain,1991,Electricity,2656.234
Spain,1992,Electricity,2700.516
Spain,1993,Electricity,2782.631
Spain,1994,Electricity,2989.854
Spain,1995,Electricity,3094.411
Spain,1996,Electricity,3225.709
Spain,1997,Electricity,3448.409
Spain,1998,Electricity,3585.555
Spain,1999,Electricity,3907.395
Spain,2000,Electricity,3750.559
Spain,2001,Electricity,4272.141
Spain,2002,Electricity,4353.912
Spain,2003,Electricity,4663.371
Spain,2004,Electricity,4991.058
Spain,2005,Electricity,5381.255
Spain,2006,Electricity,5836.801
Spain,2007,Electricity,5865.348
Spain,2008,Electricity,5970.593
Spain,2009,Electricity,6140.241
Spain,2010,Electricity,6507.223
Spain,2011,Electricity,6544.024
Spain,2012,Electricity,6456.406
Spain,2013,Electricity,6110.06
Spain,2014,Electricity,6079.966
Spain,2015,Electricity,6024.85
Spain,2016,Electricity,5988.65
Spain,2017,Electricity,6138.693
Spain,2018,Electricity,6449.355
Spain,2019,Electricity,6275.236
Spain,2020,Electricity,6296.131
Spain,2021,Electricity,6289.682
Spain,2022,Electricity,6273.345
Spain,2023,Electricity,6289.905
Spain,2024,Electricity,6462.428
European Union - 27 countries (from 2020),1990,Electricity,44266.12
European Union - 27 countries (from 2020),1991,Electricity,45082.461
European Union - 27 countries (from 2020),1992,Electricity,45633.449
European Union - 27 countries (from 2020),1993,Electricity,46481.085
European Union - 27 countries (from 2020),1994,Electricity,47032.158
European Union - 27 countries (from 2020),1995,Electricity,47708.683
European Union - 27 countries (from 2020),1996,Electricity,50451.415
European Union - 27 countries (from 2020),1997,Electricity,50104.556
European Union - 27 countries (from 2020),1998,Electricity,50909.801
European Union - 27 countries (from 2020),1999,Electricity,51850.903
European Union - 27 countries (from 2020),2000,Electricity,52082.486
European Union - 27 countries (from 2020),2001,Electricity,53879.385
European Union - 27 countries (from 2020),2002,Electricity,54646.556
European Union - 27 countries (from 2020),2003,Electricity,56873.548
European Union - 27 countries (from 2020),2004,Electricity,57108.81
European Union - 27 countries (from 2020),2005,Electricity,57538.767
European Union - 27 countries (from 2020),2006,Electricity,58937.365
European Union - 27 countries (from 2020),2007,Electricity,58540.455
European Union - 27 countries (from 2020),2008,Electricity,59858.086
European Union - 27 countries (from 2020),2009,Electricity,60159.129
European Union - 27 countries (from 2020),2010,Electricity,62772.392
European Union - 27 countries (from 2020),2011,Electricity,60509.195
European Union - 27 countries (from 2020),2012,Electricity,61776.075
European Union - 27 countries (from 2020),2013,Electricity,61502.998
European Union - 27 countries (from 2020),2014,Electricity,58568.063
European Union - 27 countries (from 2020),2015,Electricity,59439.068
European Union - 27 countries (from 2020),2016,Electricity,60450.651
European Union - 27 countries (from 2020),2017,Electricity,60851.719
European Union - 27 countries (from 2020),2018,Electricity,60613.044
European Union - 27 countries (from 2020),2019,Electricity,60429.75
European Union - 27 countries (from 2020),2020,Electricity,61244.839
European Union - 27 countries (from 2020),2021,Electricity,63585.938
European Union - 27 countries (from 2020),2022,Electricity,60779.311
European Union - 27 countries (from 2020),2023,Electricity,59863.494
European Union - 27 countries (from 2020),2024,Electricity,61265.039
Finland,1990,Electricity,1255.288
Finland,1991,Electricity,1344.798
Finland,1992,Electricity,1363.457
Finland,1993,Electricity,1402.666
Finland,1994,Electricity,1460.275
Finland,1995,Electricity,1397.85
Finland,1996,Electricity,1481.943
Finland,1997,Electricity,1498.022
Finland,1998,Electricity,1559.931
Finland,1999,Electricity,1586.414
Finland,2000,Electricity,1499.656
Finland,2001,Electricity,1603.439
Finland,2002,Electricity,1641.788
Finland,2003,Electricity,1712.21
Finland,2004,Electricity,1701.29
Finland,2005,Electricity,1742.992
Finland,2006,Electricity,1777.816
Finland,2007,Electricity,1776.956
Finland,2008,Electricity,1753.654
Finland,2009,Electricity,1835.426
Finland,2010,Electricity,1969.39
Finland,2011,Electricity,1842.304
Finland,2012,Electricity,1924.506
Finland,2013,Electricity,1849.527
Finland,2014,Electricity,1828.375
Finland,2015,Electricity,1798.624
Finland,2016,Electricity,1936.199
Finland,2017,Electricity,1935.684
Finland,2018,Electricity,1954.514
Finland,2019,Electricity,1938.607
Finland,2020,Electricity,1895.099
Finland,2021,Electricity,2086.071
Finland,2022,Electricity,1945.486
Finland,2023,Electricity,1885.211
Finland,2024,Electricity,1894.669
France,1990,Electricity,8332.588
France,1991,Electricity,9184.609
France,1992,Electricity,9423.302
France,1993,Electricity,9584.695
France,1994,Electricity,9563.285
France,1995,Electricity,9358.727
France,1996,Electricity,10361.909
France,1997,Electricity,10239.381
France,1998,Electricity,10588.736
France,1999,Electricity,10914.273
France,2000,Electricity,11067.928
France,2001,Electricity,11512.21
France,2002,Electricity,11435.77
France,2003,Electricity,12171.453
France,2004,Electricity,12328.461
France,2005,Electricity,11907.395
France,2006,Electricity,12323.904
France,2007,Electricity,12174.463
France,2008,Electricity,13125.709
France,2009,Electricity,12814.445
France,2010,Electricity,13888.22
France,2011,Electricity,12728.305
France,2012,Electricity,13765.106
France,2013,Electricity,14456.511
France,2014,Electricity,12967.755
France,2015,Electricity,13525.513
France,2016,Electricity,14024.428
France,2017,Electricity,13854.075
France,2018,Electricity,13777.804
France,2019,Electricity,13733.627
France,2020,Electricity,13886.374
France,2021,Electricity,14575.679
France,2022,Electricity,13344.612
France,2023,Electricity,12960.987
France,2024,Electricity,12978.485
Georgia,2013,Electricity,193.809
Georgia,2014,Electricity,211.952
Georgia,2015,Electricity,211.694
Georgia,2016,Electricity,208.34
Georgia,2017,Electricity,211.599
Georgia,2018,Electricity,213.586
Georgia,2019,Electricity,211.608
Georgia,2020,Electricity,220.55
Georgia,2021,Electricity,227.085
Georgia,2022,Electricity,230.61
Georgia,2023,Electricity,236.543
Georgia,2024,Electricity,254.428
Croatia,1990,Electricity,383.921
Croatia,1991,Electricity,383.577
Croatia,1992,Electricity,348.065
Croatia,1993,Electricity,356.492
Croatia,1994,Electricity,361.909
Croatia,1995,Electricity,397.334
Croatia,1996,Electricity,421.152
Croatia,1997,Electricity,446.174
Croatia,1998,Electricity,452.88
Croatia,1999,Electricity,493.723
Croatia,2000,Electricity,492.605
Croatia,2001,Electricity,478.074
Croatia,2002,Electricity,511.952
Croatia,2003,Electricity,489.596
Croatia,2004,Electricity,522.098
Croatia,2005,Electricity,544.54
Croatia,2006,Electricity,560.619
Croatia,2007,Electricity,549.613
Croatia,2008,Electricity,577.042
Croatia,2009,Electricity,556.406
Croatia,2010,Electricity,573.001
Croatia,2011,Electricity,562.425
Croatia,2012,Electricity,557.696
Croatia,2013,Electricity,536.285
Croatia,2014,Electricity,518.745
Croatia,2015,Electricity,533.276
Croatia,2016,Electricity,526.913
Croatia,2017,Electricity,538.753
Croatia,2018,Electricity,533.25
Croatia,2019,Electricity,533.611
Croatia,2020,Electricity,522.519
Croatia,2021,Electricity,567.016
Croatia,2022,Electricity,555.83
Croatia,2023,Electricity,552.115
Croatia,2024,Electricity,586.244
Hungary,1990,Electricity,790.112
Hungary,1991,Electricity,839.897
Hungary,1992,Electricity,904.041
Hungary,1993,Electricity,835.942
Hungary,1994,Electricity,846.346
Hungary,1995,Electricity,841.531
Hungary,1996,Electricity,864.402
Hungary,1997,Electricity,840.929
Hungary,1998,Electricity,857.782
Hungary,1999,Electricity,845.486
Hungary,2000,Electricity,841.96
Hungary,2001,Electricity,871.023
Hungary,2002,Electricity,897.678
Hungary,2003,Electricity,951.247
Hungary,2004,Electricity,948.581
Hungary,2005,Electricity,955.718
Hungary,2006,Electricity,984.609
Hungary,2007,Electricity,967.326
Hungary,2008,Electricity,985.383
Hungary,2009,Electricity,966.036
Hungary,2010,Electricity,963.199
Hungary,2011,Electricity,972.657
Hungary,2012,Electricity,913.156
Hungary,2013,Electricity,909.716
Hungary,2014,Electricity,896.217
Hungary,2015,Electricity,931.986
Hungary,2016,Electricity,941.874
Hungary,2017,Electricity,967.24
Hungary,2018,Electricity,977.644
Hungary,2019,Electricity,998.968
Hungary,2020,Electricity,1055.46
Hungary,2021,Electricity,1072.657
Hungary,2022,Electricity,1061.737
Hungary,2023,Electricity,1077.558
Hungary,2024,Electricity,1107.137
Ireland,1990,Electricity,356.148
Ireland,1991,Electricity,374.119
Ireland,1992,Electricity,396.045
Ireland,1993,Electricity,402.923
Ireland,1994,Electricity,415.305
Ireland,1995,Electricity,426.483
Ireland,1996,Electricity,448.753
Ireland,1997,Electricity,457.868
Ireland,1998,Electricity,473.861
Ireland,1999,Electricity,516.681
Ireland,2000,Electricity,548.151
Ireland,2001,Electricity,578.504
Ireland,2002,Electricity,565.692
Ireland,2003,Electricity,598.968
Ireland,2004,Electricity,631.642
Ireland,2005,Electricity,645.881
Ireland,2006,Electricity,694.989
Ireland,2007,Electricity,693.288
Ireland,2008,Electricity,733.074
Ireland,2009,Electricity,698.467
Ireland,2010,Electricity,734.821
Ireland,2011,Electricity,712.229
Ireland,2012,Electricity,698.234
Ireland,2013,Electricity,683.383
Ireland,2014,Electricity,662.407
Ireland,2015,Electricity,677.623
Ireland,2016,Electricity,676.934
Ireland,2017,Electricity,683.822
Ireland,2018,Electricity,701.938
Ireland,2019,Electricity,696.991
Ireland,2020,Electricity,746.591
Ireland,2021,Electricity,751.653
Ireland,2022,Electricity,705.707
Ireland,2023,Electricity,696.799
Ireland,2024,Electricity,719.776
Iceland,1990,Electricity,49.441
Iceland,1991,Electricity,44.454
Iceland,1992,Electricity,46.604
Iceland,1993,Electricity,48.065
Iceland,1994,Electricity,47.807
