NUTS_ID,nuts_level,crop,year,area_ha,production_t,yield_t_ha,area_source,area_ha_alt
ITH41,3,Durum wheat,1995,200,900,4.5,CropStatHarm,56.21
ITH41,3,Durum wheat,1996,50,190,3.8,CropStatHarm,47.81
ITH41,3,Durum wheat,1997,30,135,4.5,CropStatHarm,20.38
ITH41,3,Durum wheat,1998,20,90,4.5,CropStatHarm,25.09
ITH41,3,Durum wheat,1999,2,9,4.5,CropStatHarm,1.38
ITH41,3,Durum wheat,2001,250,1000,4,CropStatHarm,236.77
ITH41,3,Durum wheat,2007,200,800,4,CropStatHarm,194.29
ITH41,3,Durum wheat,2008,200,800,4,CropStatHarm,74.26
ITH41,3,Durum wheat,2011,133,533.3,4.01,CropStatHarm,122.92
ITH41,3,Durum wheat,2012,111,444.4,4,CropStatHarm,108.51
ITH41,3,Durum wheat,2013,122,488.9,4.01,CropStatHarm,114.16
ITH41,3,Durum wheat,2014,119,475.3,3.99,CropStatHarm,59.89
ITH41,3,Durum wheat,2015,40,200,5,CropStatHarm,40.7
ITH41,3,Durum wheat,2016,208,1102.1,5.3,CropStatHarm,123.69
ITH41,3,Durum wheat,2017,157,808.7,5.15,CropStatHarm,164.1
ITH41,3,Durum wheat,2018,156,737.1,4.73,CropStatHarm,173.33
ITH41,3,Durum wheat,2019,136,544.6,4,CropStatHarm,148.95
ITH41,3,Durum wheat,2020,8,28.8,3.6,CropStatHarm,5.66
ITH41,3,Durum wheat,2021,11,43.6,3.96,CropStatHarm,14.62
ITH41,3,Durum wheat,2022,7,25,3.57,CropStatHarm,73.29
ITH41,3,Total barley,2000,3000,13500,4.5,CropStatHarm,2977.52
ITH41,3,Total barley,2001,2000,9000,4.5,CropStatHarm,1999.13
ITH41,3,Total barley,2002,4000,18000,4.5,CropStatHarm,3969.9
ITH41,3,Total barley,2003,3800,16340,4.3,CropStatHarm,3777.04
ITH41,3,Total barley,2004,3700,17760,4.8,CropStatHarm,3688.68
ITH41,3,Total barley,2005,3800,19000,5,CropStatHarm,3737.54
ITH41,3,Total barley,2006,3800,22800,6,CropStatHarm,3764.93
ITH41,3,Total barley,2007,3000,15000,5,CropStatHarm,3017.75
ITH41,3,Total barley,2008,3840,19200,5,CropStatHarm,3615.5
ITH41,3,Total barley,2009,3900,17940,4.6,CropStatHarm,4002.19
ITH41,3,Total barley,2010,1511,11550,7.64,CropStatHarm,1497.01
ITH41,3,Total barley,2011,2910,14871.9,5.11,CropStatHarm,2668.45
ITH41,3,Total barley,2012,1291,6622.3,5.13,CropStatHarm,1288.62
ITH41,3,Total barley,2013,1904,11014.7,5.79,CropStatHarm,1899.72
ITH41,3,Total barley,2014,1743,9491.1,5.45,CropStatHarm,1747.16
ITH41,3,Total barley,2015,1973,10851.5,5.5,CropStatHarm,1935.35
ITH41,3,Total barley,2016,3570,17850,5,CropStatHarm,3552.1
ITH41,3,Total barley,2017,2020,10100,5,CropStatHarm,2021.22
ITH41,3,Total barley,2018,2044,9829.9,4.81,CropStatHarm,2040.92
ITH41,3,Total barley,2019,2203,10654,4.84,CropStatHarm,2213.41
ITH41,3,Total barley,2020,1474,6128.9,4.16,CropStatHarm,1460.55
ITH41,3,Total barley,2021,1157,4352.6,3.76,CropStatHarm,2902.83
ITH41,3,Total barley,2022,2125,12622.5,5.94,CropStatHarm,2602.25
ES417,3,Durum wheat,1998,100,328,3.28,CropStatHarm,98.6
ES417,3,Durum wheat,1999,850,2967,3.49,CropStatHarm,846.32
ES417,3,Durum wheat,2000,100,327,3.27,CropStatHarm,100.35
ES417,3,Durum wheat,2001,126,235,1.87,CropStatHarm,126.22
ES417,3,Durum wheat,2002,103,240,2.33,CropStatHarm,104.43
ES417,3,Durum wheat,2003,432,1210,2.8,CropStatHarm,435.46
ES417,3,Durum wheat,2010,88,337,3.83,CropStatHarm,88.19
ES417,3,Durum wheat,2011,80,314,3.93,CropStatHarm,12370.44
ES417,3,Durum wheat,2012,145,171,1.18,CropStatHarm,147.33
ES417,3,Durum wheat,2013,6,23,3.83,CropStatHarm,5.6
ES417,3,Durum wheat,2014,58,150,2.59,CropStatHarm,58.19
ES417,3,Durum wheat,2015,161,343,2.13,CropStatHarm,158.55
ES417,3,Durum wheat,2016,163,458,2.81,CropStatHarm,165.65
ES417,3,Durum wheat,2017,454,453,1,CropStatHarm,449.13
ES417,3,Durum wheat,2018,162,439,2.71,CropStatHarm,163.18
ES417,3,Durum wheat,2019,101,359,3.55,CropStatHarm,102.4
ES417,3,Durum wheat,2020,17,90,5.29,CropStatHarm,35.44
ES417,3,Durum wheat,2021,2,6,3,CropStatHarm,34.67
ES417,3,Total barley,1998,199498,674556,3.38,CropStatHarm,199232.4
