NUTS_ID,year,window,gdd,heat,frost,precip
AL011,1950,Apr-Aug,1793.243,65.774,3.731,113.224
AL011,1950,Mar-Jul,1319.763,40.018,23.858,137.263
AL011,1951,Apr-Aug,1646.34,24.811,1.015,282.261
AL011,1951,Mar-Jul,1229.695,4.669,11.691,335.773
AL011,1952,Apr-Aug,1792.382,53.203,2.586,93.812
AL011,1952,Mar-Jul,1311.35,12.033,23.86,132.093
AL011,1953,Apr-Aug,1608.787,15.331,1.341,297.633
AL011,1953,Mar-Jul,1197.807,12.893,28.349,280.675
AL011,1954,Apr-Aug,1564.248,23.132,4.799,260.892
AL011,1954,Mar-Jul,1177.942,10.889,8.502,309.969
AL011,1955,Apr-Aug,1468.126,4.313,10.393,237.172
AL011,1955,Mar-Jul,1158.823,4.301,23.32,240.324
AL011,1956,Apr-Aug,1591.67,36.802,6.054,295.042
AL011,1956,Mar-Jul,1099.799,3.459,31.59,365.35
AL011,1957,Apr-Aug,1600.501,41.138,3.838,299.041
AL011,1957,Mar-Jul,1219.855,19.668,19.216,260.022
AL011,1958,Apr-Aug,1593.354,33.768,5.103,277.308
AL011,1958,Mar-Jul,1133.932,14.639,28.281,465.199
AL011,1959,Apr-Aug,1405.91,2.316,1.878,463.025
AL011,1959,Mar-Jul,1093.81,1.35,6.997,411.261
AL011,1960,Apr-Aug,1499.139,17.267,1.767,250.059
AL011,1960,Mar-Jul,1082.033,1.22,10.833,349.457
AL011,1961,Apr-Aug,1540.66,17.924,0.156,335.105
AL011,1961,Mar-Jul,1147.303,2.638,18.614,369.567
AL011,1962,Apr-Aug,1639.702,46.082,2.996,227.086
AL011,1962,Mar-Jul,1165.109,19.982,15.955,428.221
AL011,1963,Apr-Aug,1627.341,37.936,2.578,374.79
AL011,1963,Mar-Jul,1170.397,13.27,21.4,401.183
AL011,1964,Apr-Aug,1452.737,1.493,4.068,362.109
AL011,1964,Mar-Jul,1103.348,1.069,14.74,445.088
AL011,1965,Apr-Aug,1450.41,27.014,5.493,335.626
AL011,1965,Mar-Jul,1095.754,20.105,22.216,333.788
AL011,1966,Apr-Aug,1549.668,11.581,2.418,244.226
AL011,1966,Mar-Jul,1113.276,3.195,19.897,284.008
AL011,1967,Apr-Aug,1501.071,13.112,7.963,334.579
AL011,1967,Mar-Jul,1079.302,5.581,25.339,377.491
AL011,1968,Apr-Aug,1617.955,18.079,1.257,385.806
AL011,1968,Mar-Jul,1296.877,18.074,17.801,340.66
AL011,1969,Apr-Aug,1501.349,6.587,6.516,324.303
AL011,1969,Mar-Jul,1112.699,2.959,16.583,392.092
AL011,1970,Apr-Aug,1439.489,15.437,6.944,394.972
AL011,1970,Mar-Jul,1056.169,7.64,24.723,467.654
AL011,1971,Apr-Aug,1566.743,15.495,2.81,249.73
AL011,1971,Mar-Jul,1122.65,2.269,22.46,381.823
AL011,1972,Apr-Aug,1508.021,13.427,0.935,486.459
AL011,1972,Mar-Jul,1191.31,3.592,8.324,398.596
AL011,1973,Apr-Aug,1516.647,15.134,8.07,332.709
AL011,1973,Mar-Jul,1114.874,11.553,31.322,320.907
AL011,1974,Apr-Aug,1418.676,35.143,6.609,342.169
AL011,1974,Mar-Jul,1037.756,15.347,18.105,372.541
AL011,1975,Apr-Aug,1489.307,5.205,3.944,211.138
AL011,1975,Mar-Jul,1139.477,5.054,16.168,276.63
AL011,1976,Apr-Aug,1295.533,0.671,1.894,465.762
AL011,1976,Mar-Jul,1005.549,0.671,24.056,431.741
AL011,1977,Apr-Aug,1551.018,15.091,7.881,177.916
AL011,1977,Mar-Jul,1213.419,5.773,19.912,184.986
AL011,1978,Apr-Aug,1422.162,9.508,2.688,370.143
AL011,1978,Mar-Jul,1062.537,7.343,16.498,484.172
AL011,1979,Apr-Aug,1416.549,11.197,5.616,345.961
AL011,1979,Mar-Jul,1100.169,2.668,13.504,369.059
AL011,1980,Apr-Aug,1319.563,20.166,10.527,295.441
AL011,1980,Mar-Jul,920.418,4.393,27.106,360.154
AL011,1981,Apr-Aug,1490.12,22.491,3.393,212.669
AL011,1981,Mar-Jul,1148.793,7.105,11.142,277.483
AL011,1982,Apr-Aug,1627.419,27.015,6.012,183.23
AL011,1982,Mar-Jul,1209.399,23.137,24.872,225.595
AL011,1983,Apr-Aug,1499.819,7.621,3.288,268.601
AL011,1983,Mar-Jul,1169.308,6.28,16.985,281.213
AL011,1984,Apr-Aug,1337.663,11.301,4.125,183.105
AL011,1984,Mar-Jul,981.167,10.085,21.555,183.819
AL011,1985,Apr-Aug,1591.858,34.808,2.55,176.475
AL011,1985,Mar-Jul,1168.846,13.165,12.829,237.086
AL011,1986,Apr-Aug,1598.866,13.118,2.236,269.686
AL011,1986,Mar-Jul,1189.586,1.108,11.707,339.991
AL011,1987,Apr-Aug,1584.843,51.642,5.123,210.076
AL011,1987,Mar-Jul,1143.72,44.208,28.829,298.381
AL011,1988,Apr-Aug,1719.763,75.565,4.489,131.216
AL011,1988,Mar-Jul,1242.234,46.613,22.788,204.21
AL011,1989,Apr-Aug,1439.586,6.186,1.162,351.186
AL011,1989,Mar-Jul,1108.014,2.077,7.169,336.639
AL011,1990,Apr-Aug,1541.9,16.34,2.882,220.088
AL011,1990,Mar-Jul,1211.656,11.644,11.693,211.701
AL011,1991,Apr-Aug,1333.5,15.942,4.522,272.117
AL011,1991,Mar-Jul,991.474,13.396,11.676,303.894
AL011,1992,Apr-Aug,1550.43,43.328,3.811,292.185
AL011,1992,Mar-Jul,1059.903,6.038,25.321,324.141
AL011,1993,Apr-Aug,1638.49,64.153,3.528,172.767
AL011,1993,Mar-Jul,1184.439,25.468,23.804,267.837
AL011,1994,Apr-Aug,1657.3,52.569,2.248,229.949
AL011,1994,Mar-Jul,1231.781,16.183,13.805,206.268
AL011,1995,Apr-Aug,1470.725,15.35,8.716,292.874
AL011,1995,Mar-Jul,1102.973,13.444,30.044,297.9
AL011,1996,Apr-Aug,1600.657,21.75,5.213,179.012
AL011,1996,Mar-Jul,1164.009,13.745,25.103,240.771
AL011,1997,Apr-Aug,1478.083,14.828,17.218,147.845
AL011,1997,Mar-Jul,1103.945,13.683,40.903,159.186
AL011,1998,Apr-Aug,1674.324,93.395,2.179,244.023
AL011,1998,Mar-Jul,1194.621,44.222,29.413,228.013
AL011,1999,Apr-Aug,1695.185,42.085,1.434,225.745
AL011,1999,Mar-Jul,1231.962,5.778,19.365,254.414
AL011,2000,Apr-Aug,1759.618,67.832,2.611,153.618
AL011,2000,Mar-Jul,1309.694,33.305,24.003,201.9
AL011,2001,Apr-Aug,1797.976,64.272,5.815,260.212
AL011,2001,Mar-Jul,1406.156,20.981,8.016,264.4
AL011,2002,Apr-Aug,1702.147,19.017,2.114,310.075
AL011,2002,Mar-Jul,1369.851,18.187,8.653,290.568
AL011,2003,Apr-Aug,1871.888,61.766,6.502,155.14
AL011,2003,Mar-Jul,1384.248,27.799,31.764,142.614
AL011,2004,Apr-Aug,1537.03,18.382,0.811,297.92
AL011,2004,Mar-Jul,1167.499,15.171,14.683,373.818
AL011,2005,Apr-Aug,1667.517,29.564,7.103,151.549
AL011,2005,Mar-Jul,1286.925,20.787,23.08,184.055
AL011,2006,Apr-Aug,1628.164,30.754,0.533,283.549
AL011,2006,Mar-Jul,1237.312,16.78,14.426,323.007
AL011,2007,Apr-Aug,1890.623,126.261,1.347,169.289
AL011,2007,Mar-Jul,1443.267,85.728,7.672,241.446
AL011,2008,Apr-Aug,1738.851,49.36,1.362,217.751
AL011,2008,Mar-Jul,1290.508,25.728,8.264,321.084
AL011,2009,Apr-Aug,1727.938,28.809,0.171,299.675
AL011,2009,Mar-Jul,1289.44,15.045,20.659,364.057
AL011,2010,Apr-Aug,1696.662,34.532,1.577,217.06
AL011,2010,Mar-Jul,1257.784,11.565,17.351,291.923
AL011,2011,Apr-Aug,1694.67,72.165,2.947,189.049
AL011,2011,Mar-Jul,1234.823,19.88,18.197,237.219
AL011,2012,Apr-Aug,1830.01,141.257,4.337,265.626
AL011,2012,Mar-Jul,1355.465,81.228,22.295,273.453
AL011,2013,Apr-Aug,1756.272,58.862,0.175,232.446
AL011,2013,Mar-Jul,1309.31,25.753,11.893,365.89
AL011,2014,Apr-Aug,1578.704,22.761,3.18,323.593
AL011,2014,Mar-Jul,1169.261,4.182,12.647,358.794
AL011,2015,Apr-Aug,1818.523,113.959,7.257,139.748
AL011,2015,Mar-Jul,1331.886,69.771,25.007,205.96
AL011,2016,Apr-Aug,1810.593,53.171,0.607,245.645
AL011,2016,Mar-Jul,1396.865,37.915,8.566,309.525
AL011,2017,Apr-Aug,1890.219,170.934,2.971,151.582
AL011,2017,Mar-Jul,1454.106,85.171,7.18,194.265
AL011,2018,Apr-Aug,1910.346,33.281,0,249.715
AL011,2018,Mar-Jul,1489.485,12.993,9.361,394.072
AL011,2019,Apr-Aug,1779.067,114.68,0.173,281.047
AL011,2019,Mar-Jul,1336.162,46.861,8.543,293.78
AL011,2020,Apr-Aug,1755.754,95.091,4.757,174.149
AL011,2020,Mar-Jul,1317.527,52.734,14.35,223.262
AL011,2021,Apr-Aug,1873.146,219.3,8.986,161.281
AL011,2021,Mar-Jul,1355.897,126.187,31.222,217.408
AL011,2022,Apr-Aug,1945.573,158.552,4.505,209.002
AL011,2022,Mar-Jul,1481.179,112.083,27.045,215.249
AL011,2023,Apr-Aug,1795.755,156.371,5.461,258
AL011,2023,Mar-Jul,1361.101,96.851,12.997,321.812
AL011,2024,Apr-Aug,2212.569,311.459,1.188,246.966
AL011,2024,Mar-Jul,1722.167,183.889,4.57,322.538
AL012,1950,Apr-Aug,2461.482,361.597,0,141.196
AL012,1950,Mar-Jul,1984.468,238.696,0.707,147.583
AL012,1951,Apr-Aug,2342.622,201.498,0,306.476
AL012,1951,Mar-Jul,1912.068,100.844,0.243,376.107
AL012,1952,Apr-Aug,2496.707,321.173,0,71.4
AL012,1952,Mar-Jul,1973.183,167.279,7.716,130.134
AL012,1953,Apr-Aug,2309.84,178.384,0,281.29
AL012,1953,Mar-Jul,1821.383,107.316,9.161,257.219
AL012,1954,Apr-Aug,2230.753,179.56,0,235.107
AL012,1954,Mar-Jul,1856.445,103.95,0,321.479
AL012,1955,Apr-Aug,2182.739,101.603,0.485,163.334
AL012,1955,Mar-Jul,1815.99,89.899,3.97,168.954
AL012,1956,Apr-Aug,2263.232,202.094,1.375,342.698
AL012,1956,Mar-Jul,1718.693,71.44,10.162,402.671
AL012,1957,Apr-Aug,2319.924,223.504,0,244.094
AL012,1957,Mar-Jul,1897.709,138.749,4.688,226.732
AL012,1958,Apr-Aug,2299.767,196.035,0.243,315.436
AL012,1958,Mar-Jul,1770.038,88.991,3.544,522.485
AL012,1959,Apr-Aug,2186.557,91.666,0,351.25
AL012,1959,Mar-Jul,1852.589,57.614,0,347.769
AL012,1960,Apr-Aug,2270.484,135.405,0,201.975
AL012,1960,Mar-Jul,1847.342,55.877,0.132,351.089
AL012,1961,Apr-Aug,2290.431,158.512,0,358.951
AL012,1961,Mar-Jul,1879.271,77.109,0.596,403.511
AL012,1962,Apr-Aug,2356.939,263.906,0,200.268
AL012,1962,Mar-Jul,1836.944,122.169,2.934,458.373
AL012,1963,Apr-Aug,2368.504,219.123,0,367.018
AL012,1963,Mar-Jul,1865.542,115.768,7.881,401.054
AL012,1964,Apr-Aug,2249.451,106.383,0,385.918
