NUTS_ID,cntr,crop,year,yield_t_ha,ln_yield,area_ha,production_t,gdd_aa,gdd_mj,heat_aa,heat_mj,frost_aa,frost_mj,precip_aa,precip_mj
CZ010,CZ,Soft wheat,1998,4.11,1.41342302850814,5502,22615,1731.039,1366.805,60.527,35.586,0.616,13.883,234.82,236.6
CZ010,CZ,Soft wheat,1999,5.29,1.66581824587021,5598,29636,1697.245,1340.185,28.962,23.752,0.487,7.98,224.77,223.432
CZ010,CZ,Soft wheat,2000,4.57,1.51951320490611,7437,34008,1835.075,1400.271,76.343,41.239,0.489,6.566,200.578,263.268
CZ010,CZ,Soft wheat,2001,5.44,1.69377906086785,6860,37325,1663.73,1250.75,36.603,15.633,3.001,15.102,359.892,328.38
CZ010,CZ,Soft wheat,2002,5.01,1.61143591509677,5125,25650,1837.084,1411.278,41.792,37.072,5.707,16.621,408.109,300.948
CZ010,CZ,Soft wheat,2003,4.65,1.53686721959927,3355,15603,1976.116,1502.138,125.814,60.951,8.357,20.229,221.172,204.609
CZ010,CZ,Soft wheat,2004,6.44,1.86252854011626,3656,23545,1657.941,1246.664,43.133,17.46,0.617,15.817,232.563,210.121
CZ010,CZ,Soft wheat,2005,5.64,1.72988406550997,3734,21059,1671.296,1339.474,39.291,39.195,4.001,23.102,314.595,264.943
CZ010,CZ,Soft wheat,2006,5.03,1.61541998411165,3539,17790,1760.703,1431.357,104.621,103.35,4.613,27.616,317.863,262.64
CZ010,CZ,Soft wheat,2007,5.29,1.66581824587021,3576,18912,1891.924,1515.016,77.538,64.064,3.998,11.43,271.627,216.494
CZ010,CZ,Soft wheat,2008,6.54,1.87793716546911,3780.98,24711.54,1728.468,1325.736,52.557,38.793,3.202,18.534,290.931,249.395
CZ010,CZ,Soft wheat,2009,5.97,1.78674692740451,4276.05,25505.56,1818.894,1369.158,34.709,14.889,0.001,6.49,301.988,310.527
CZ010,CZ,Soft wheat,2010,5.43,1.69193913394584,4311.89,23415.37,1710.052,1362.609,81.556,73.874,3.617,16.206,391.881,271.026
CZ010,CZ,Soft wheat,2011,6.27,1.83577635464483,4616.38,28953.23,1774.759,1391.404,31.979,14.424,1.001,16.42,342.437,301.531
CZ010,CZ,Soft wheat,2012,4.73,1.55392520250384,4473.85,21176,1819.797,1437.434,80.256,48.597,3.203,12.693,284.529,226.937
CZ010,CZ,Soft wheat,2013,6.06,1.80170980008122,4448.98,26948.15,1724.553,1295.512,80.444,51.904,5.206,31.21,441.138,350.498
CZ010,CZ,Soft wheat,2014,7.08,1.95727390770563,4309.3,30497.12,1738.838,1438.686,64.671,54.38,1.002,9.308,303.404,280.907
CZ010,CZ,Soft wheat,2015,7.15,1.96711235670592,4184.76,29910.49,1884.53,1365.52,178.415,80.362,4.001,12.804,221.458,187.352
CZ010,CZ,Soft wheat,2016,7.1,1.96009478404727,4466.58,31730.92,1742.634,1336.974,48.935,33.871,2.998,12.485,274.235,263.44
CZ010,CZ,Soft wheat,2017,6.24,1.83098018238134,4324.49,26992.68,1828.974,1449.593,71.938,50.093,3.099,7.101,331.15,288.005
CZ010,CZ,Soft wheat,2018,5.61,1.72455071953461,3839.28,21553.99,2181.048,1661.827,150.818,68.912,0.001,15.004,200.107,185.604
CZ010,CZ,Soft wheat,2019,5.98,1.78842056796254,3937.68,23550.39,1912.215,1509.753,123.83,102.567,0.004,2.005,247.196,201.227
CZ010,CZ,Soft wheat,2020,6.24,1.83098018238134,3299.42,20571.17,1755.596,1321.84,55.37,21.586,4.517,14.908,305.643,252.642
CZ010,CZ,Soft wheat,2021,6.77,1.91250108692418,3644.38,24654.73,1618.854,1272.588,40.879,33.655,7.585,22.562,389.488,318.662
CZ010,CZ,Soft wheat,2022,6.44,1.86252854011626,3868.09,24908.49,1885.629,1446.254,88.819,59.459,5.004,24.93,370.533,291.729
CZ010,CZ,Spring barley,1998,3.73,1.31640823365572,2096,7824,1731.039,1366.805,60.527,35.586,0.616,13.883,234.82,236.6
CZ010,CZ,Spring barley,1999,4.24,1.44456326924387,2059,8732,1697.245,1340.185,28.962,23.752,0.487,7.98,224.77,223.432
CZ010,CZ,Spring barley,2000,2.82,1.03673688495002,1954,5500,1835.075,1400.271,76.343,41.239,0.489,6.566,200.578,263.268
CZ010,CZ,Spring barley,2001,3.58,1.27536280041261,1824,6531,1663.73,1250.75,36.603,15.633,3.001,15.102,359.892,328.38
CZ010,CZ,Spring barley,2002,4.26,1.44926916028128,1360,5792,1837.084,1411.278,41.792,37.072,5.707,16.621,408.109,300.948
CZ010,CZ,Spring barley,2003,4.36,1.47247205736094,1725,7521,1976.116,1502.138,125.814,60.951,8.357,20.229,221.172,204.609
CZ010,CZ,Spring barley,2004,5.47,1.69927861643389,1520,8308,1657.941,1246.664,43.133,17.46,0.617,15.817,232.563,210.121
CZ010,CZ,Spring barley,2005,4.7,1.54756250871601,1270,5964,1671.296,1339.474,39.291,39.195,4.001,23.102,314.595,264.943
CZ010,CZ,Spring barley,2006,3.98,1.38128181929635,2118,8430,1760.703,1431.357,104.621,103.35,4.613,27.616,317.863,262.64
CZ010,CZ,Spring barley,2007,3.53,1.26129787094521,2113,7452,1891.924,1515.016,77.538,64.064,3.998,11.43,271.627,216.494
CZ010,CZ,Spring barley,2008,5.49,1.70292825552144,2103.03,11548.97,1728.468,1325.736,52.557,38.793,3.202,18.534,290.931,249.395
CZ010,CZ,Spring barley,2009,4.95,1.5993875765806,1854,9174.3,1818.894,1369.158,34.709,14.889,0.001,6.49,301.988,310.527
CZ010,CZ,Spring barley,2010,4.57,1.51951320490611,1786.35,8169.71,1710.052,1362.609,81.556,73.874,3.617,16.206,391.881,271.026
CZ010,CZ,Spring barley,2011,5.59,1.72097928716701,1975.01,11032.14,1774.759,1391.404,31.979,14.424,1.001,16.42,342.437,301.531
CZ010,CZ,Spring barley,2012,4.69,1.54543258245819,1801.69,8443.06,1819.797,1437.434,80.256,48.597,3.203,12.693,284.529,226.937
CZ010,CZ,Spring barley,2013,5.24,1.65632149833295,1598.97,8369.96,1724.553,1295.512,80.444,51.904,5.206,31.21,441.138,350.498
CZ010,CZ,Spring barley,2014,6.21,1.82616089594539,1807.6,11220.73,1738.838,1438.686,64.671,54.38,1.002,9.308,303.404,280.907
CZ010,CZ,Spring barley,2015,6.33,1.84530023615608,1524.05,9641.06,1884.53,1365.52,178.415,80.362,4.001,12.804,221.458,187.352
CZ010,CZ,Spring barley,2016,6.09,1.80664808172181,1595.89,9712.58,1742.634,1336.974,48.935,33.871,2.998,12.485,274.235,263.44
CZ010,CZ,Spring barley,2017,5.53,1.71018781553424,1552.86,8587.98,1828.974,1449.593,71.938,50.093,3.099,7.101,331.15,288.005
CZ010,CZ,Spring barley,2018,5.07,1.62334081760309,1306.37,6625.26,2181.048,1661.827,150.818,68.912,0.001,15.004,200.107,185.604
CZ010,CZ,Spring barley,2019,5.32,1.67147330335355,1151.82,6130.15,1912.215,1509.753,123.83,102.567,0.004,2.005,247.196,201.227
CZ010,CZ,Spring barley,2020,5.38,1.68268837417369,1027.76,5525.33,1755.596,1321.84,55.37,21.586,4.517,14.908,305.643,252.642
CZ010,CZ,Spring barley,2021,5.81,1.75958057086382,766.54,4457.01,1618.854,1272.588,40.879,33.655,7.585,22.562,389.488,318.662
CZ010,CZ,Spring barley,2022,5.66,1.73342389221509,964.81,5456.98,1885.629,1446.254,88.819,59.459,5.004,24.93,370.533,291.729
CZ010,CZ,Total barley,1998,3.62,1.28647402583768,3278,11853,1731.039,1366.805,60.527,35.586,0.616,13.883,234.82,236.6
CZ010,CZ,Total barley,1999,4.24,1.44456326924387,3012,12759,1697.245,1340.185,28.962,23.752,0.487,7.98,224.77,223.432
CZ010,CZ,Total barley,2000,3.09,1.12817109090965,2384,7376,1835.075,1400.271,76.343,41.239,0.489,6.566,200.578,263.268
CZ010,CZ,Total barley,2001,3.8,1.33500106673234,2326,8844,1663.73,1250.75,36.603,15.633,3.001,15.102,359.892,328.38
CZ010,CZ,Total barley,2002,4.23,1.44220199305819,1596,6744,1837.084,1411.278,41.792,37.072,5.707,16.621,408.109,300.948
CZ010,CZ,Total barley,2003,4.31,1.46093790411566,2382,8345,1976.116,1502.138,125.814,60.951,8.357,20.229,221.172,204.609
CZ010,CZ,Total barley,2004,5.5,1.70474809223843,1634,9203,1657.941,1246.664,43.133,17.46,0.617,15.817,232.563,210.121
CZ010,CZ,Total barley,2005,4.76,1.56024766824333,1367,6970,1671.296,1339.474,39.291,39.195,4.001,23.102,314.595,264.943
CZ010,CZ,Total barley,2006,4.05,1.39871688111845,2202,9672,1760.703,1431.357,104.621,103.35,4.613,27.616,317.863,262.64
CZ010,CZ,Total barley,2007,3.78,1.3297240096315,2322,9470,1891.924,1515.016,77.538,64.064,3.998,11.43,271.627,216.494
CZ010,CZ,Total barley,2008,5.45,1.69561560867515,2217.72,13334.38,1728.468,1325.736,52.557,38.793,3.202,18.534,290.931,249.395
CZ010,CZ,Total barley,2009,5.06,1.62136648329937,2196.23,11347.78,1818.894,1369.158,34.709,14.889,0.001,6.49,301.988,310.527
CZ010,CZ,Total barley,2010,4.63,1.53255686809814,2222.52,9345.34,1710.052,1362.609,81.556,73.874,3.617,16.206,391.881,271.026
CZ010,CZ,Total barley,2011,5.59,1.72097928716701,2449.05,11953.7,1774.759,1391.404,31.979,14.424,1.001,16.42,342.437,301.531
CZ010,CZ,Total barley,2012,4.68,1.54329810992956,1944.01,9100.72,1819.797,1437.434,80.256,48.597,3.203,12.693,284.529,226.937
