IDREGION;CROP_NAME;YEAR;VALUE;SOURCE;CALCULATED_REGION;CALCULATED_CROP;CALCULATED_VALUE;COHERENCE_A_P_Y;ZERO_SET_AS_NULL;COHERENCE_CROP;UNIT
ITH41;Durum wheat;1995;900.0;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;1996;190.0;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;1997;135.0;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;1998;90.0;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;1999;9.0;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;2001;1000.0;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;2007;800.0;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;2008;800.0;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;2011;533.3;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;2012;444.4;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;2013;488.9;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;2014;475.3;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;2015;200.0;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;2016;1102.1;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;2017;808.7;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;2018;737.1;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;2019;544.6;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;2020;28.8;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;2021;43.6;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;2022;25.0;NSI;;;;Yes;;Yes;t
ITH41;Durum wheat;1995;4.5;NSI;;;Yes;Yes;;Yes;t/ha
ITH41;Durum wheat;1996;3.8;NSI;;;Yes;Yes;;Yes;t/ha
ITH41;Durum wheat;1997;4.5;NSI;;;Yes;Yes;;Yes;t/ha
ITH41;Durum wheat;1998;4.5;NSI;;;Yes;Yes;;Yes;t/ha
ITH41;Durum wheat;1999;4.5;NSI;;;Yes;Yes;;Yes;t/ha
ITH41;Durum wheat;2001;4.0;NSI;;;Yes;Yes;;Yes;t/ha
ITH41;Durum wheat;2007;4.0;NSI;;;Yes;Yes;;Yes;t/ha
ITH41;Durum wheat;2008;4.0;NSI;;;Yes;Yes;;Yes;t/ha
ITH41;Durum wheat;2011;4.01;NSI;;;;Yes;;Yes;t/ha
ITH41;Durum wheat;2012;4.0;NSI;;;;Yes;;Yes;t/ha
ITH41;Durum wheat;2013;4.01;NSI;;;Yes;Yes;;No;t/ha
ITH41;Durum wheat;2014;3.99;NSI;;;Yes;Yes;;Yes;t/ha
ITH41;Durum wheat;2015;5.0;NSI;;;Yes;Yes;;Yes;t/ha
ITH41;Durum wheat;2016;5.3;NSI;;;Yes;Yes;;Yes;t/ha
ITH41;Durum wheat;2017;5.15;NSI;;;;Yes;;Yes;t/ha
ITH41;Durum wheat;2018;4.73;NSI;;;Yes;Yes;;Yes;t/ha
ITH41;Durum wheat;2019;4.0;NSI;;;;Yes;;Yes;t/ha
ITH41;Durum wheat;2020;3.6;NSI;;;;Yes;;Yes;t/ha
ITH41;Durum wheat;2021;3.96;NSI;;;Yes;Yes;;Yes;t/ha
ITH41;Durum wheat;2022;3.57;NSI;;;Yes;Yes;;Yes;t/ha
ITH41;Total barley;2000;3000.0;NSI;;;;Yes;;;ha
ITH41;Total barley;2001;2000.0;NSI;;;;Yes;;;ha
ITH41;Total barley;2002;4000.0;NSI;;;;Yes;;;ha
ITH41;Total barley;2003;3800.0;NSI;;;;Yes;;;ha
ITH41;Total barley;2004;3700.0;NSI;;;;Yes;;;ha
ITH41;Total barley;2005;3800.0;NSI;;;;Yes;;;ha
ITH41;Total barley;2006;3800.0;NSI;;;;Yes;;Yes;ha
ITH41;Total barley;2007;3000.0;NSI;;;;Yes;;Yes;ha
ITH41;Total barley;2008;3840.0;NSI;;;;Yes;;Yes;ha
ITH41;Total barley;2009;3900.0;NSI;;;;Yes;;Yes;ha
ITH41;Total barley;2010;1511.0;NSI;;;;Yes;;Yes;ha
ITH41;Total barley;2011;2910.0;NSI;;;;Yes;;Yes;ha
ITH41;Total barley;2012;1291.0;NSI;;;;Yes;;Yes;ha
ITH41;Total barley;2013;1904.0;NSI;;;;Yes;;Yes;ha
ITH41;Total barley;2014;1743.0;NSI;;;;Yes;;Yes;ha
ITH41;Total barley;2015;1973.0;NSI;;;;Yes;;Yes;ha
ITH41;Total barley;2016;3570.0;NSI;;;;Yes;;Yes;ha
ITH41;Total barley;2017;2020.0;NSI;;;;Yes;;Yes;ha
ITH41;Total barley;2018;2044.0;NSI;;;;Yes;;Yes;ha
ITH41;Total barley;2019;2203.0;NSI;;;;Yes;;Yes;ha
ITH41;Total barley;2020;1474.0;NSI;;;;Yes;;Yes;ha
ITH41;Total barley;2021;1157.0;NSI;;;;Yes;;;ha
ITH41;Total barley;2022;2125.0;NSI;;;;Yes;;;ha
ITH41;Total barley;2000;13500.0;NSI;;;;Yes;;;t
ITH41;Total barley;2001;9000.0;NSI;;;;Yes;;;t
ITH41;Total barley;2002;18000.0;NSI;;;;Yes;;;t
ITH41;Total barley;2003;16340.0;NSI;;;;Yes;;;t
ITH41;Total barley;2004;17760.0;NSI;;;;Yes;;;t
ITH41;Total barley;2005;19000.0;NSI;;;;Yes;;Yes;t
ITH41;Total barley;2006;22800.0;NSI;;;;Yes;;Yes;t
ITH41;Total barley;2007;15000.0;NSI;;;;Yes;;Yes;t
ITH41;Total barley;2008;19200.0;NSI;;;;Yes;;Yes;t
ITH41;Total barley;2009;17940.0;NSI;;;;Yes;;Yes;t
ITH41;Total barley;2010;11550.0;NSI;;;;Yes;;Yes;t
ITH41;Total barley;2011;14871.9;NSI;;;;Yes;;Yes;t
ITH41;Total barley;2012;6622.3;NSI;;;;Yes;;Yes;t
ITH41;Total barley;2013;11014.7;NSI;;;;Yes;;Yes;t
ITH41;Total barley;2014;9491.1;NSI;;;;Yes;;Yes;t
ITH41;Total barley;2015;10851.5;NSI;;;;Yes;;;t
ITH41;Total barley;2016;17850.0;NSI;;;;Yes;;Yes;t
ITH41;Total barley;2017;10100.0;NSI;;;;Yes;;Yes;t
ITH41;Total barley;2018;9829.9;NSI;;;;Yes;;Yes;t
ITH41;Total barley;2019;10654.0;NSI;;;;Yes;;Yes;t
ITH41;Total barley;2020;6128.9;NSI;;;;Yes;;Yes;t
ITH41;Total barley;2021;4352.6;NSI;;;;Yes;;;t
