Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Albania","Area harvested","Barley","1961","ha","8734"
"Crops and livestock products","Albania","Yield","Barley","1961","kg/ha","1022.4"
"Crops and livestock products","Albania","Production","Barley","1961","t","8930"
"Crops and livestock products","Albania","Area harvested","Barley","1962","ha","8250"
"Crops and livestock products","Albania","Yield","Barley","1962","kg/ha","840.5"
"Crops and livestock products","Albania","Production","Barley","1962","t","6934"
"Crops and livestock products","Albania","Area harvested","Barley","1963","ha","8992"
"Crops and livestock products","Albania","Yield","Barley","1963","kg/ha","877"
"Crops and livestock products","Albania","Production","Barley","1963","t","7886"
"Crops and livestock products","Albania","Area harvested","Barley","1964","ha","8095"
"Crops and livestock products","Albania","Yield","Barley","1964","kg/ha","1025.8"
"Crops and livestock products","Albania","Production","Barley","1964","t","8304"
"Crops and livestock products","Albania","Area harvested","Barley","1965","ha","7400"
"Crops and livestock products","Albania","Yield","Barley","1965","kg/ha","986.5"
"Crops and livestock products","Albania","Production","Barley","1965","t","7300"
"Crops and livestock products","Albania","Area harvested","Barley","1966","ha","8000"
"Crops and livestock products","Albania","Yield","Barley","1966","kg/ha","1200"
"Crops and livestock products","Albania","Production","Barley","1966","t","9600"
"Crops and livestock products","Albania","Area harvested","Barley","1967","ha","10500"
"Crops and livestock products","Albania","Yield","Barley","1967","kg/ha","990.5"
"Crops and livestock products","Albania","Production","Barley","1967","t","10400"
"Crops and livestock products","Albania","Area harvested","Barley","1968","ha","9700"
"Crops and livestock products","Albania","Yield","Barley","1968","kg/ha","814.4"
"Crops and livestock products","Albania","Production","Barley","1968","t","7900"
"Crops and livestock products","Albania","Area harvested","Barley","1969","ha","9000"
"Crops and livestock products","Albania","Yield","Barley","1969","kg/ha","833.3"
"Crops and livestock products","Albania","Production","Barley","1969","t","7500"
"Crops and livestock products","Albania","Area harvested","Barley","1970","ha","9000"
"Crops and livestock products","Albania","Yield","Barley","1970","kg/ha","1077.8"
"Crops and livestock products","Albania","Production","Barley","1970","t","9700"
"Crops and livestock products","Albania","Area harvested","Barley","1971","ha","9000"
"Crops and livestock products","Albania","Yield","Barley","1971","kg/ha","833.3"
"Crops and livestock products","Albania","Production","Barley","1971","t","7500"
"Crops and livestock products","Albania","Area harvested","Barley","1972","ha","8500"
"Crops and livestock products","Albania","Yield","Barley","1972","kg/ha","905.9"
"Crops and livestock products","Albania","Production","Barley","1972","t","7700"
"Crops and livestock products","Albania","Area harvested","Barley","1973","ha","8900"
"Crops and livestock products","Albania","Yield","Barley","1973","kg/ha","1011.2"
"Crops and livestock products","Albania","Production","Barley","1973","t","9000"
"Crops and livestock products","Albania","Area harvested","Barley","1974","ha","10000"
"Crops and livestock products","Albania","Yield","Barley","1974","kg/ha","1000"
"Crops and livestock products","Albania","Production","Barley","1974","t","10000"
"Crops and livestock products","Albania","Area harvested","Barley","1975","ha","10200"
"Crops and livestock products","Albania","Yield","Barley","1975","kg/ha","980.4"
"Crops and livestock products","Albania","Production","Barley","1975","t","10000"
"Crops and livestock products","Albania","Area harvested","Barley","1976","ha","10500"
"Crops and livestock products","Albania","Yield","Barley","1976","kg/ha","1428.6"
"Crops and livestock products","Albania","Production","Barley","1976","t","15000"
"Crops and livestock products","Albania","Area harvested","Barley","1977","ha","11000"
"Crops and livestock products","Albania","Yield","Barley","1977","kg/ha","1636.4"
"Crops and livestock products","Albania","Production","Barley","1977","t","18000"
"Crops and livestock products","Albania","Area harvested","Barley","1978","ha","11000"
"Crops and livestock products","Albania","Yield","Barley","1978","kg/ha","1818.2"
"Crops and livestock products","Albania","Production","Barley","1978","t","20000"
"Crops and livestock products","Albania","Area harvested","Barley","1979","ha","12000"
"Crops and livestock products","Albania","Yield","Barley","1979","kg/ha","1916.7"
"Crops and livestock products","Albania","Production","Barley","1979","t","23000"
"Crops and livestock products","Albania","Area harvested","Barley","1980","ha","12000"
"Crops and livestock products","Albania","Yield","Barley","1980","kg/ha","2083.3"
"Crops and livestock products","Albania","Production","Barley","1980","t","25000"
"Crops and livestock products","Albania","Area harvested","Barley","1981","ha","12000"
"Crops and livestock products","Albania","Yield","Barley","1981","kg/ha","2083.3"
"Crops and livestock products","Albania","Production","Barley","1981","t","25000"
"Crops and livestock products","Albania","Area harvested","Barley","1982","ha","12100"
