model,bin_id,delta_sv,n_years,hos_year,component,dln,branch
EC-Earth3,-1.5,-1.0275,1,1,gdd_mj,0.0239637755635499,crop
EC-Earth3,-0.5,-0.427,1,2,gdd_mj,0.0159036546244617,crop
EC-Earth3,-1.5,-1.3474,1,3,gdd_mj,-0.00709651641917392,crop
EC-Earth3,-0.5,-0.6618,1,4,gdd_mj,-0.0425269945104531,crop
EC-Earth3,-1.5,-1.6418,1,5,gdd_mj,-0.00920747338847194,crop
EC-Earth3,-1.5,-1.4487,1,6,gdd_mj,-0.0167439479442344,crop
EC-Earth3,-0.5,-0.8901,1,8,gdd_mj,0.00382437655060571,crop
EC-Earth3,-1.5,-1.2916,1,9,gdd_mj,0.0779394488242205,crop
EC-Earth3,-2.5,-2.6913,1,10,gdd_mj,0.0935634184743838,crop
EC-Earth3,-1.5,-1.5274,1,11,gdd_mj,0.0458848002077113,crop
EC-Earth3,-2.5,-2.1055,1,12,gdd_mj,0.0215639867147722,crop
EC-Earth3,-3.5,-3.4794,1,13,gdd_mj,0.038540507103945,crop
EC-Earth3,-2.5,-2.0746,1,14,gdd_mj,0.0160231922976724,crop
EC-Earth3,-3.5,-3.1651,1,15,gdd_mj,-0.0537841502959386,crop
EC-Earth3,-3.5,-3.1261,1,16,gdd_mj,0.0974983533697238,crop
EC-Earth3,-2.5,-2.9432,1,17,gdd_mj,-0.0126826359420533,crop
EC-Earth3,-3.5,-3.0673,1,18,gdd_mj,0.0979807606354759,crop
EC-Earth3,-3.5,-3.5498,1,19,gdd_mj,0.104963494294653,crop
EC-Earth3,-4.5,-4.0869,1,20,gdd_mj,0.12597569239302,crop
EC-Earth3,-2.5,-2.4319,1,21,gdd_mj,0.0819729009230006,crop
EC-Earth3,-3.5,-3.1533,1,22,gdd_mj,0.172206893497184,crop
EC-Earth3,-4.5,-4.2706,1,23,gdd_mj,0.079820300626303,crop
EC-Earth3,-5.5,-5.0118,1,24,gdd_mj,0.012078546682425,crop
EC-Earth3,-4.5,-4.5954,1,25,gdd_mj,0.138214230346403,crop
EC-Earth3,-3.5,-3.0837,1,26,gdd_mj,0.110767934591213,crop
EC-Earth3,-3.5,-3.583,1,27,gdd_mj,0.069470049573084,crop
EC-Earth3,-5.5,-5.0621,1,28,gdd_mj,0.0741913473874832,crop
EC-Earth3,-6.5,-6.0801,1,29,gdd_mj,0.0708060200183848,crop
EC-Earth3,-5.5,-5.4695,1,30,gdd_mj,0.108457270301223,crop
EC-Earth3,-4.5,-4.6618,1,31,gdd_mj,0.0514630791591426,crop
EC-Earth3,-4.5,-4.6709,1,32,gdd_mj,0.107045454234679,crop
EC-Earth3,-6.5,-6.3408,1,33,gdd_mj,0.00958432762767661,crop
EC-Earth3,-5.5,-5.064,1,34,gdd_mj,0.0803250073520575,crop
EC-Earth3,-3.5,-3.9051,1,35,gdd_mj,-0.00697869073706736,crop
EC-Earth3,-5.5,-5.2512,1,36,gdd_mj,0.0505539867038246,crop
EC-Earth3,-4.5,-4.7716,1,37,gdd_mj,-0.0393739814520882,crop
EC-Earth3,-4.5,-4.4358,1,38,gdd_mj,0.0613302221681631,crop
EC-Earth3,-4.5,-4.9035,1,39,gdd_mj,0.0172895106958219,crop
EC-Earth3,-6.5,-6.18,1,40,gdd_mj,0.0444418752701614,crop
EC-Earth3,-6.5,-6.008,1,41,gdd_mj,0.12614267671246,crop
EC-Earth3,-6.5,-6.2364,1,42,gdd_mj,0.0819227016782538,crop
