model,bin_id,delta_sv,n_years,hos_year,component,dln
IPSL-CM6A-LR,-0.5,-0.7613,1,1,gdd_mj,0.0047332125231207
IPSL-CM6A-LR,-0.5,-0.9061,1,2,gdd_mj,-0.0393208075431472
IPSL-CM6A-LR,-2.5,-2.1752,1,3,gdd_mj,0.0455927513346216
IPSL-CM6A-LR,-0.5,-0.979,1,5,gdd_mj,0.00522444656436781
IPSL-CM6A-LR,-1.5,-1.6221,1,6,gdd_mj,0.0536495176118774
IPSL-CM6A-LR,-1.5,-1.1701,1,7,gdd_mj,0.0336960873495585
IPSL-CM6A-LR,-0.5,-0.5998,1,8,gdd_mj,-0.0370312889319185
IPSL-CM6A-LR,-0.5,-0.1997,1,9,gdd_mj,-0.0235381610068302
IPSL-CM6A-LR,-0.5,-0.7418,1,10,gdd_mj,-0.0564147366084043
IPSL-CM6A-LR,-2.5,-2.713,1,11,gdd_mj,0.00996715977411187
IPSL-CM6A-LR,-1.5,-1.3383,1,12,gdd_mj,0.0246592445949938
IPSL-CM6A-LR,-0.5,-0.4327,1,13,gdd_mj,0.0807748407326787
IPSL-CM6A-LR,-0.5,-0.4569,1,14,gdd_mj,0.0652618910692391
IPSL-CM6A-LR,-1.5,-1.3271,1,15,gdd_mj,0.0806707225976265
IPSL-CM6A-LR,-1.5,-1.1959,1,16,gdd_mj,0.0290026046792994
IPSL-CM6A-LR,-2.5,-2.5833,1,17,gdd_mj,0.0525851263276479
IPSL-CM6A-LR,-2.5,-2.8658,1,18,gdd_mj,0.0277593199542818
IPSL-CM6A-LR,-1.5,-1.0916,1,19,gdd_mj,0.0949225539471663
IPSL-CM6A-LR,-3.5,-3.2099,1,20,gdd_mj,0.0562347030555292
IPSL-CM6A-LR,-2.5,-2.3795,1,21,gdd_mj,0.0293887356979355
IPSL-CM6A-LR,-3.5,-3.4662,1,22,gdd_mj,0.0965554681105474
IPSL-CM6A-LR,-2.5,-2.7286,1,23,gdd_mj,0.0232165937207708
IPSL-CM6A-LR,-4.5,-4.0303,1,24,gdd_mj,-0.00690663433875735
IPSL-CM6A-LR,-2.5,-2.8085,1,25,gdd_mj,0.0376898617412784
IPSL-CM6A-LR,-2.5,-2.5323,1,26,gdd_mj,0.0177001905768472
IPSL-CM6A-LR,-3.5,-3.0615,1,27,gdd_mj,0.0350117257923613
IPSL-CM6A-LR,-2.5,-2.3161,1,28,gdd_mj,0.0137648252539361
IPSL-CM6A-LR,-3.5,-3.3374,1,29,gdd_mj,0.00198711316600763
IPSL-CM6A-LR,-4.5,-4.2179,1,30,gdd_mj,0.0176529599276826
IPSL-CM6A-LR,-5.5,-5.2566,1,31,gdd_mj,0.0620694113661182
IPSL-CM6A-LR,-3.5,-3.6201,1,32,gdd_mj,0.103465029932039
IPSL-CM6A-LR,-4.5,-4.2133,1,33,gdd_mj,0.142314243342599
IPSL-CM6A-LR,-4.5,-4.3351,1,34,gdd_mj,0.0536290712816499
