model,bin_id,delta_sv,n_years,hos_year,fuel,component,dln,branch
EC-Earth3,-1.5,-1.0275,1,1,Electricity,hdd_calendar,2.63145322525085e-05,energy Electricity
EC-Earth3,-0.5,-0.427,1,2,Electricity,hdd_calendar,-0.00223021149692197,energy Electricity
EC-Earth3,-1.5,-1.3474,1,3,Electricity,hdd_calendar,0.00588521977086616,energy Electricity
EC-Earth3,-0.5,-0.6618,1,4,Electricity,hdd_calendar,-0.000880975963497574,energy Electricity
EC-Earth3,-1.5,-1.6418,1,5,Electricity,hdd_calendar,0.000334884169119902,energy Electricity
EC-Earth3,-1.5,-1.4487,1,6,Electricity,hdd_calendar,-0.00333543975659986,energy Electricity
EC-Earth3,-0.5,-0.8901,1,8,Electricity,hdd_calendar,0.0176182349584982,energy Electricity
EC-Earth3,-1.5,-1.2916,1,9,Electricity,hdd_calendar,0.0271903042840188,energy Electricity
EC-Earth3,-2.5,-2.6913,1,10,Electricity,hdd_calendar,0.0261476527169035,energy Electricity
EC-Earth3,-1.5,-1.5274,1,11,Electricity,hdd_calendar,0.0261816747308675,energy Electricity
EC-Earth3,-2.5,-2.1055,1,12,Electricity,hdd_calendar,0.0223225956034495,energy Electricity
EC-Earth3,-3.5,-3.4794,1,13,Electricity,hdd_calendar,0.0200772226285887,energy Electricity
EC-Earth3,-2.5,-2.0746,1,14,Electricity,hdd_calendar,0.00646727749153181,energy Electricity
EC-Earth3,-3.5,-3.1651,1,15,Electricity,hdd_calendar,0.00559945781743924,energy Electricity
EC-Earth3,-3.5,-3.1261,1,16,Electricity,hdd_calendar,0.0162590197946633,energy Electricity
EC-Earth3,-2.5,-2.9432,1,17,Electricity,hdd_calendar,0.01666647420104,energy Electricity
EC-Earth3,-3.5,-3.0673,1,18,Electricity,hdd_calendar,0.0579147576031838,energy Electricity
EC-Earth3,-3.5,-3.5498,1,19,Electricity,hdd_calendar,0.0333975110576806,energy Electricity
EC-Earth3,-4.5,-4.0869,1,20,Electricity,hdd_calendar,0.0458556028505156,energy Electricity
EC-Earth3,-2.5,-2.4319,1,21,Electricity,hdd_calendar,0.050298686405196,energy Electricity
EC-Earth3,-3.5,-3.1533,1,22,Electricity,hdd_calendar,0.0694495346877756,energy Electricity
EC-Earth3,-4.5,-4.2706,1,23,Electricity,hdd_calendar,0.0478841583817609,energy Electricity
EC-Earth3,-5.5,-5.0118,1,24,Electricity,hdd_calendar,0.0228121952204883,energy Electricity
EC-Earth3,-4.5,-4.5954,1,25,Electricity,hdd_calendar,0.060408714183883,energy Electricity
EC-Earth3,-3.5,-3.0837,1,26,Electricity,hdd_calendar,0.0308121637071747,energy Electricity
EC-Earth3,-3.5,-3.583,1,27,Electricity,hdd_calendar,0.0418547176419665,energy Electricity
EC-Earth3,-5.5,-5.0621,1,28,Electricity,hdd_calendar,0.0427492124818407,energy Electricity
EC-Earth3,-6.5,-6.0801,1,29,Electricity,hdd_calendar,0.0599491084730148,energy Electricity
EC-Earth3,-5.5,-5.4695,1,30,Electricity,hdd_calendar,0.0432553270498607,energy Electricity
EC-Earth3,-4.5,-4.6618,1,31,Electricity,hdd_calendar,0.0254153292389852,energy Electricity
EC-Earth3,-4.5,-4.6709,1,32,Electricity,hdd_calendar,0.0194846751478386,energy Electricity
EC-Earth3,-6.5,-6.3408,1,33,Electricity,hdd_calendar,0.0179679825820533,energy Electricity
EC-Earth3,-5.5,-5.064,1,34,Electricity,hdd_calendar,0.0217160527548901,energy Electricity
EC-Earth3,-3.5,-3.9051,1,35,Electricity,hdd_calendar,0.0299776409099595,energy Electricity
EC-Earth3,-5.5,-5.2512,1,36,Electricity,hdd_calendar,0.0240401518734912,energy Electricity
EC-Earth3,-4.5,-4.7716,1,37,Electricity,hdd_calendar,0.0327931958867198,energy Electricity
EC-Earth3,-4.5,-4.4358,1,38,Electricity,hdd_calendar,0.039911952129382,energy Electricity
EC-Earth3,-4.5,-4.9035,1,39,Electricity,hdd_calendar,0.029406236195887,energy Electricity
EC-Earth3,-6.5,-6.18,1,40,Electricity,hdd_calendar,0.0334188985888371,energy Electricity
EC-Earth3,-6.5,-6.008,1,41,Electricity,hdd_calendar,0.066516821779778,energy Electricity
EC-Earth3,-6.5,-6.2364,1,42,Electricity,hdd_calendar,0.0231892682243613,energy Electricity
EC-Earth3,-6.5,-6.8341,1,43,Electricity,hdd_calendar,0.0255554045344172,energy Electricity
EC-Earth3,-6.5,-6.675,1,44,Electricity,hdd_calendar,0.0195985998281579,energy Electricity
EC-Earth3,-6.5,-6.8501,1,45,Electricity,hdd_calendar,0.0239134986664607,energy Electricity
EC-Earth3,-6.5,-6.7223,1,46,Electricity,hdd_calendar,0.0216594826791789,energy Electricity
EC-Earth3,-5.5,-5.7248,1,47,Electricity,hdd_calendar,0.0185067989613033,energy Electricity
EC-Earth3,-6.5,-6.2241,1,48,Electricity,hdd_calendar,0.023766382321794,energy Electricity
EC-Earth3,-5.5,-5.8453,1,49,Electricity,hdd_calendar,0.00479977915200464,energy Electricity
EC-Earth3,-6.5,-6.8563,1,50,Electricity,hdd_calendar,0.0288787725991144,energy Electricity
EC-Earth3,-7.5,-7.5461,1,51,Electricity,hdd_calendar,0.0310259278493661,energy Electricity
EC-Earth3,-6.5,-6.3315,1,52,Electricity,hdd_calendar,0.0222264065347594,energy Electricity
EC-Earth3,-6.5,-6.7481,1,53,Electricity,hdd_calendar,-0.00979907724851616,energy Electricity
EC-Earth3,-6.5,-6.1066,1,54,Electricity,hdd_calendar,0.0267450837679932,energy Electricity
EC-Earth3,-6.5,-6.0168,1,55,Electricity,hdd_calendar,0.0392432148690008,energy Electricity
EC-Earth3,-5.5,-5.2452,1,56,Electricity,hdd_calendar,0.0442292861597661,energy Electricity
EC-Earth3,-7.5,-7.1289,1,57,Electricity,hdd_calendar,0.0243388147732398,energy Electricity
EC-Earth3,-7.5,-7.2115,1,58,Electricity,hdd_calendar,0.0416053558585749,energy Electricity
EC-Earth3,-7.5,-7.9509,1,59,Electricity,hdd_calendar,0.0261330728115352,energy Electricity
EC-Earth3,-8.5,-8.2102,1,60,Electricity,hdd_calendar,-0.000533602886497094,energy Electricity
