model,bin_id,delta_sv,n_years,hos_year,fuel,component,dln,branch
IPSL-CM6A-LR,-0.5,-0.7613,1,1,Electricity,hdd_calendar,-0.0210300376333994,energy Electricity
IPSL-CM6A-LR,-0.5,-0.9061,1,2,Electricity,hdd_calendar,-0.0101052574859565,energy Electricity
IPSL-CM6A-LR,-2.5,-2.1752,1,3,Electricity,hdd_calendar,0.0183606703817109,energy Electricity
IPSL-CM6A-LR,-0.5,-0.979,1,5,Electricity,hdd_calendar,0.00456119607850661,energy Electricity
IPSL-CM6A-LR,-1.5,-1.6221,1,6,Electricity,hdd_calendar,0.00736585673384864,energy Electricity
IPSL-CM6A-LR,-1.5,-1.1701,1,7,Electricity,hdd_calendar,0.0115548859505242,energy Electricity
IPSL-CM6A-LR,-0.5,-0.5998,1,8,Electricity,hdd_calendar,0.00389342921718653,energy Electricity
IPSL-CM6A-LR,-0.5,-0.1997,1,9,Electricity,hdd_calendar,0.0122355488745987,energy Electricity
IPSL-CM6A-LR,-0.5,-0.7418,1,10,Electricity,hdd_calendar,-0.00937739880094622,energy Electricity
IPSL-CM6A-LR,-2.5,-2.713,1,11,Electricity,hdd_calendar,0.013482919964151,energy Electricity
IPSL-CM6A-LR,-1.5,-1.3383,1,12,Electricity,hdd_calendar,0.0205489884655407,energy Electricity
IPSL-CM6A-LR,-0.5,-0.4327,1,13,Electricity,hdd_calendar,0.0319510927919552,energy Electricity
IPSL-CM6A-LR,-0.5,-0.4569,1,14,Electricity,hdd_calendar,0.0285645717081593,energy Electricity
IPSL-CM6A-LR,-1.5,-1.3271,1,15,Electricity,hdd_calendar,0.0401624366139357,energy Electricity
IPSL-CM6A-LR,-1.5,-1.1959,1,16,Electricity,hdd_calendar,0.0275589362674235,energy Electricity
IPSL-CM6A-LR,-2.5,-2.5833,1,17,Electricity,hdd_calendar,0.0196140341879464,energy Electricity
IPSL-CM6A-LR,-2.5,-2.8658,1,18,Electricity,hdd_calendar,0.0176741511506628,energy Electricity
IPSL-CM6A-LR,-1.5,-1.0916,1,19,Electricity,hdd_calendar,0.0289749275859453,energy Electricity
IPSL-CM6A-LR,-3.5,-3.2099,1,20,Electricity,hdd_calendar,0.0190632493063029,energy Electricity
IPSL-CM6A-LR,-2.5,-2.3795,1,21,Electricity,hdd_calendar,0.0218409650308271,energy Electricity
IPSL-CM6A-LR,-3.5,-3.4662,1,22,Electricity,hdd_calendar,0.0484258000357275,energy Electricity
IPSL-CM6A-LR,-2.5,-2.7286,1,23,Electricity,hdd_calendar,0.00200417981963561,energy Electricity
IPSL-CM6A-LR,-4.5,-4.0303,1,24,Electricity,hdd_calendar,0.010080748342285,energy Electricity
IPSL-CM6A-LR,-2.5,-2.8085,1,25,Electricity,hdd_calendar,0.018179230217857,energy Electricity
IPSL-CM6A-LR,-2.5,-2.5323,1,26,Electricity,hdd_calendar,0.0140370107672138,energy Electricity
IPSL-CM6A-LR,-3.5,-3.0615,1,27,Electricity,hdd_calendar,0.0342964847537892,energy Electricity
IPSL-CM6A-LR,-2.5,-2.3161,1,28,Electricity,hdd_calendar,0.012823197227461,energy Electricity
IPSL-CM6A-LR,-3.5,-3.3374,1,29,Electricity,hdd_calendar,0.016212560824592,energy Electricity
IPSL-CM6A-LR,-4.5,-4.2179,1,30,Electricity,hdd_calendar,0.0160477846031423,energy Electricity
IPSL-CM6A-LR,-5.5,-5.2566,1,31,Electricity,hdd_calendar,0.0321569179593202,energy Electricity
