branch,model,bin_id,component,n,mean,sd,lo,hi,central
crop,EC-Earth3,-9.5,frost_mj,4,-0.0439106929196572,0.0191682217726584,-0.0697172421572087,-0.0234369862784127,-0.0432972410504532
crop,EC-Earth3,-9.5,gdd_mj,4,0.106865693444435,0.017140771091716,0.0813056657303171,0.117992800685709,0.1098599136031
crop,EC-Earth3,-9.5,heat_mj,4,0.00731730121498377,0.00419513284660585,0.00260689112264893,0.0127849178338359,0.00920064722067089
crop,EC-Earth3,-9.5,precip_mj,4,-0.0117270316568866,0.0149882526328501,-0.0227732350630478,0.0103613382384508,-0.011820889446214
crop,EC-Earth3,-9.5,precip_mj2,4,0.00219503140731113,0.0130829299798885,-0.0162270610468815,0.0141789962413017,0.00683526587933535
crop,EC-Earth3,-8.5,frost_mj,15,-0.0580439140093313,0.0338497378774717,-0.113546886904499,0.00462075275902543,-0.0603728030222579
crop,EC-Earth3,-8.5,gdd_mj,15,0.108700200586171,0.0576213286236058,-0.00128908047257918,0.18966738198577,0.115809300440509
crop,EC-Earth3,-8.5,heat_mj,15,0.00604122641746144,0.00638190004828066,-0.0114352736103776,0.0132401498109735,0.00925322948754912
crop,EC-Earth3,-8.5,precip_mj,15,-0.0350923594774451,0.0285796290054189,-0.0725118564633177,0.0110765011061406,-0.0352542361130242
crop,EC-Earth3,-8.5,precip_mj2,15,0.0219730563642086,0.0246913220397188,-0.0197698143335025,0.0507647646777739,0.0292807961681736
crop,EC-Earth3,-7.5,frost_mj,20,-0.0448328422845712,0.0268077398474134,-0.0863136728832672,0.00149554634110949,-0.0445025523141044
crop,EC-Earth3,-7.5,gdd_mj,20,0.0969638106989829,0.0535097875959059,0.00674367508784787,0.164844533793644,0.101924544862755
crop,EC-Earth3,-7.5,heat_mj,20,0.00543421953382498,0.00749523428184608,-0.0113648175396812,0.0144050389343758,0.00897041684672316
crop,EC-Earth3,-7.5,precip_mj,20,-0.0308723952175526,0.0348248822683278,-0.0880098731004949,0.0124879349644068,-0.0309604589673141
crop,EC-Earth3,-7.5,precip_mj2,20,0.0165314810757881,0.0299624003847123,-0.0249818277509206,0.0614530769937278,0.025302400430482
crop,EC-Earth3,-6.5,frost_mj,21,-0.0296913623079055,0.0238660954138311,-0.0889744702807584,0.0189435014663049,-0.0295765139882783
crop,EC-Earth3,-6.5,gdd_mj,21,0.0552333474522094,0.0503638032061072,-0.0563898988814435,0.154125106394312,0.0597687411128191
crop,EC-Earth3,-6.5,heat_mj,21,-4.22094240448004e-05,0.00763425730226985,-0.0147239397222159,0.0160574911646026,0.00400731188544895
crop,EC-Earth3,-6.5,precip_mj,21,-0.0418709806752701,0.0453608869364384,-0.107206547111515,0.0782708175546876,-0.042078483298847
crop,EC-Earth3,-6.5,precip_mj2,21,0.0255690273519242,0.0386958780602925,-0.0878343285224209,0.0739478552935634,0.0345061790605187
crop,EC-Earth3,-5.5,frost_mj,8,-0.03268821280261,0.0126867590870692,-0.051894437120362,-0.0165441589357142,-0.032391389097653
crop,EC-Earth3,-5.5,gdd_mj,8,0.0626561341535626,0.0428807716708566,0.000260922991470537,0.122884208657314,0.0656855447724263
crop,EC-Earth3,-5.5,heat_mj,8,0.00114897530363494,0.00814313790125565,-0.0101528285482684,0.0122057691504194,0.00452629229910033
crop,EC-Earth3,-5.5,precip_mj,8,-0.0316789929948375,0.0321866398384769,-0.0679319728569956,0.020953211046149,-0.0318088653063362
crop,EC-Earth3,-5.5,precip_mj2,8,0.0157066904939024,0.0286255505423573,-0.0339989710803129,0.0407010892141778,0.0228733380413699
crop,EC-Earth3,-4.5,frost_mj,8,-0.0312565007615714,0.0183051606854081,-0.0720870614943001,-0.0134757785975849,-0.0313944836482179
crop,EC-Earth3,-4.5,gdd_mj,8,0.0677205635214306,0.0590079203914639,-0.0393739814520882,0.138214230346403,0.0709814727678452
