branch,model,bin_id,n,mean,sd,lo,hi,central
crop,EC-Earth3,-9.5,4,0.0607403014901863,0.0289523693478928,0.0378746759968842,0.101475009432701,0.0707776962064391
crop,EC-Earth3,-8.5,15,0.0435782098810648,0.0419407037886716,-0.0424973864846322,0.107094073667971,0.0587162869609496
crop,EC-Earth3,-7.5,20,0.0432242738064722,0.0485852339727033,-0.0451707863237996,0.113648229292624,0.0607343508585417
crop,EC-Earth3,-6.5,21,0.00919782239691319,0.0482005519220991,-0.0855834090469076,0.09203564828704,0.0266272347716614
crop,EC-Earth3,-5.5,8,0.0151445941536525,0.048797903095651,-0.0448118050353306,0.0865847226945098,0.0288849207089073
crop,EC-Earth3,-4.5,8,0.0182830923126658,0.0727172983496555,-0.11606454488212,0.104776930381934,0.0348733810675018
crop,EC-Earth3,-3.5,9,0.0188024522876217,0.0741532015984014,-0.105450875953585,0.103857197053729,0.039395458175471
crop,EC-Earth3,-2.5,5,0.000723775267970372,0.030686153469109,-0.0290558968491686,0.0347283917463528,0.0176805154564315
crop,EC-Earth3,-1.5,6,0.00424782984932567,0.0289066126031478,-0.0199161589209706,0.0569960954903881,0.0215700581647569
crop,EC-Earth3,-0.5,3,-0.033813252293085,0.0314492338026864,-0.067268349263258,-0.00485371002884401,-0.0258986363550351
crop,IPSL-CM6A-LR,-9.5,5,0.0556353885737,0.0133146356687974,0.0414856811548451,0.0703416140949435,0.0699719031708698
crop,IPSL-CM6A-LR,-8.5,8,0.0715560228128192,0.0213157296923241,0.0350329762262347,0.0950953329610867,0.0841055828493904
crop,IPSL-CM6A-LR,-7.5,19,0.0449167401672753,0.0382066590009306,-0.0411353691357324,0.116350183182302,0.0572958936236477
crop,IPSL-CM6A-LR,-6.5,11,0.0317436736660416,0.0400679833940108,-0.0367913588979833,0.102186308943251,0.0458205318580614
crop,IPSL-CM6A-LR,-5.5,13,0.0403283954830702,0.0234380474590582,-0.00607131950632499,0.0850599721573054,0.0521913564096758
crop,IPSL-CM6A-LR,-4.5,11,0.0158041908142065,0.0345535878673157,-0.0325141738114821,0.0823617024410875,0.0287976418546763
crop,IPSL-CM6A-LR,-3.5,8,0.0246887803554226,0.0332301028214393,-0.0203995095068455,0.0618962506218875,0.0347608294253737
crop,IPSL-CM6A-LR,-2.5,9,0.00955356995490634,0.0236928875966359,-0.0272244496385908,0.0362542611122516,0.0239773689169623
crop,IPSL-CM6A-LR,-1.5,6,0.0185386176561431,0.0248114316398185,-0.0162036012147813,0.0511826587468171,0.0296690014105301
crop,IPSL-CM6A-LR,-0.5,8,-0.0151361934293221,0.0493142462989351,-0.076897703245271,0.0642689034357919,0.000551307217830898
energy Electricity,EC-Earth3,-9.5,4,0.0311249685938762,0.00967206783092683,0.0168499984971482,0.038272815908853,0.0298207707877213
energy Electricity,EC-Earth3,-8.5,15,0.0495617289429645,0.0241137552519192,-0.00578464798193606,0.0974257094308195,0.0474474837324895
energy Electricity,EC-Earth3,-7.5,20,0.0354604021004866,0.0142180031948421,0.0177083297588234,0.0634689542571177,0.032739595337875
energy Electricity,EC-Earth3,-6.5,21,0.0291670486992425,0.0149983887658103,-0.00666651825262173,0.0610823627751639,0.0266616936557545
energy Electricity,EC-Earth3,-5.5,8,0.0250688466075453,0.0112802467011866,0.00392268648421469,0.0396538622949998,0.02260822937576
energy Electricity,EC-Earth3,-4.5,8,0.0354997090246616,0.0139736025504725,0.0124909378746417,0.0540752266222893,0.0319009997354704
energy Electricity,EC-Earth3,-3.5,9,0.0317010818771277,0.016758384839323,0.0106353529279978,0.0601020866167964,0.0276980301099472
energy Electricity,EC-Earth3,-2.5,5,0.0215759830901383,0.0161021232937653,0.00101036091580346,0.0458174948997105,0.0199170587637081
energy Electricity,EC-Earth3,-1.5,6,0.00751659049888595,0.011422718528903,-0.00507734038212136,0.0220283638619384,0.00519888371015283
energy Electricity,EC-Earth3,-0.5,3,0.00848043913597365,0.0108619764259806,-0.00226822097211316,0.0194522919714961,0.00715141252463496
energy Electricity,IPSL-CM6A-LR,-9.5,5,0.0607680836837986,0.0293903883034828,0.023633455225314,0.102118707365081,0.0597171448842277
