model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-9.5,-9.1554,4,CZ,Soft wheat,gdd_mj,0.0704257972575943
EC-Earth3,-8.5,-8.4726,15,CZ,Soft wheat,gdd_mj,0.085960209667935
EC-Earth3,-7.5,-7.5562,20,CZ,Soft wheat,gdd_mj,0.0775503954769476
EC-Earth3,-6.5,-6.4767,21,CZ,Soft wheat,gdd_mj,0.035154358575375
EC-Earth3,-5.5,-5.3342,8,CZ,Soft wheat,gdd_mj,0.0391160872711986
EC-Earth3,-4.5,-4.5495,8,CZ,Soft wheat,gdd_mj,0.056680980963992
EC-Earth3,-3.5,-3.3459,9,CZ,Soft wheat,gdd_mj,0.0444228911824655
EC-Earth3,-2.5,-2.4493,5,CZ,Soft wheat,gdd_mj,0.0289010121231199
EC-Earth3,-1.5,-1.3807,6,CZ,Soft wheat,gdd_mj,0.00459083689222827
EC-Earth3,-0.5,-0.6596,3,CZ,Soft wheat,gdd_mj,-0.0253779862070672
HadGEM3-GC3-1LL,-8.5,-8.3848,12,CZ,Soft wheat,gdd_mj,0.0560968539848664
HadGEM3-GC3-1LL,-7.5,-7.5599,19,CZ,Soft wheat,gdd_mj,0.0445833582764451
HadGEM3-GC3-1LL,-6.5,-6.5442,24,CZ,Soft wheat,gdd_mj,0.051169935705353
HadGEM3-GC3-1LL,-5.5,-5.5797,10,CZ,Soft wheat,gdd_mj,0.0381177400566698
HadGEM3-GC3-1LL,-4.5,-4.5263,6,CZ,Soft wheat,gdd_mj,0.0592112839378171
HadGEM3-GC3-1LL,-3.5,-3.7835,7,CZ,Soft wheat,gdd_mj,0.0551985437286566
HadGEM3-GC3-1LL,-2.5,-2.4504,6,CZ,Soft wheat,gdd_mj,0.0548160441308631
HadGEM3-GC3-1LL,-1.5,-1.3098,8,CZ,Soft wheat,gdd_mj,0.0161636678647558
HadGEM3-GC3-1LL,-0.5,-0.331,6,CZ,Soft wheat,gdd_mj,0.025957647609062
HadGEM3-GC3-1MM,-14.5,-14.3032,4,CZ,Soft wheat,gdd_mj,0.102134488442288
HadGEM3-GC3-1MM,-13.5,-13.3931,8,CZ,Soft wheat,gdd_mj,0.11331476458469
HadGEM3-GC3-1MM,-12.5,-12.588,13,CZ,Soft wheat,gdd_mj,0.109263230153828
HadGEM3-GC3-1MM,-11.5,-11.5321,21,CZ,Soft wheat,gdd_mj,0.111721137706035
HadGEM3-GC3-1MM,-10.5,-10.4803,10,CZ,Soft wheat,gdd_mj,0.113171950292865
HadGEM3-GC3-1MM,-9.5,-9.6161,7,CZ,Soft wheat,gdd_mj,0.0526649548218146
HadGEM3-GC3-1MM,-8.5,-8.6582,7,CZ,Soft wheat,gdd_mj,0.0747579372010707
HadGEM3-GC3-1MM,-7.5,-7.6345,8,CZ,Soft wheat,gdd_mj,0.0875024632598961
HadGEM3-GC3-1MM,-6.5,-6.4299,4,CZ,Soft wheat,gdd_mj,0.0416869108173642
HadGEM3-GC3-1MM,-5.5,-5.3528,4,CZ,Soft wheat,gdd_mj,0.0452804280820773
HadGEM3-GC3-1MM,-4.5,-4.3969,4,CZ,Soft wheat,gdd_mj,0.0309384262957508
IPSL-CM6A-LR,-9.5,-9.3401,5,CZ,Soft wheat,gdd_mj,0.0804639947894446
IPSL-CM6A-LR,-8.5,-8.4598,8,CZ,Soft wheat,gdd_mj,0.0893544932360465
IPSL-CM6A-LR,-7.5,-7.5255,19,CZ,Soft wheat,gdd_mj,0.07293352869212
IPSL-CM6A-LR,-6.5,-6.5577,11,CZ,Soft wheat,gdd_mj,0.0660516901698766
IPSL-CM6A-LR,-5.5,-5.5623,13,CZ,Soft wheat,gdd_mj,0.0583279721558651
IPSL-CM6A-LR,-4.5,-4.3507,11,CZ,Soft wheat,gdd_mj,0.0438456913690918
IPSL-CM6A-LR,-3.5,-3.4644,8,CZ,Soft wheat,gdd_mj,0.052987643434386
IPSL-CM6A-LR,-2.5,-2.5669,9,CZ,Soft wheat,gdd_mj,0.0257530994535401
IPSL-CM6A-LR,-1.5,-1.2909,6,CZ,Soft wheat,gdd_mj,0.0291923304273607
IPSL-CM6A-LR,-0.5,-0.6347,8,CZ,Soft wheat,gdd_mj,0.00154038922902895
EC-Earth3,-9.5,-9.1554,4,DE,Soft wheat,gdd_mj,0.0862468501193585
EC-Earth3,-8.5,-8.4726,15,DE,Soft wheat,gdd_mj,0.0898769900014279
EC-Earth3,-7.5,-7.5562,20,DE,Soft wheat,gdd_mj,0.07908019339145
EC-Earth3,-6.5,-6.4767,21,DE,Soft wheat,gdd_mj,0.0444770658865381
