model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-9.5,-9.1554,4,CZ,Soft wheat,gdd,-0.000723031444340335
EC-Earth3,-8.5,-8.4726,15,CZ,Soft wheat,gdd,-0.000574409137062079
EC-Earth3,-7.5,-7.5562,20,CZ,Soft wheat,gdd,-0.000421010871405793
EC-Earth3,-6.5,-6.4767,21,CZ,Soft wheat,gdd,-0.000301189523309419
EC-Earth3,-5.5,-5.3342,8,CZ,Soft wheat,gdd,-0.00027939999618593
EC-Earth3,-4.5,-4.5495,8,CZ,Soft wheat,gdd,-9.08670173016612e-05
EC-Earth3,-3.5,-3.3459,9,CZ,Soft wheat,gdd,-9.10348675838867e-05
EC-Earth3,-2.5,-2.4493,5,CZ,Soft wheat,gdd,-0.000162682798042873
EC-Earth3,-1.5,-1.3807,6,CZ,Soft wheat,gdd,-9.79899827763577e-05
EC-Earth3,-0.5,-0.6596,3,CZ,Soft wheat,gdd,0.000295878109911879
HadGEM3-GC3-1LL,-8.5,-8.3848,12,CZ,Soft wheat,gdd,-0.000546469933129467
HadGEM3-GC3-1LL,-7.5,-7.5599,19,CZ,Soft wheat,gdd,-0.000306292487215484
HadGEM3-GC3-1LL,-6.5,-6.5442,24,CZ,Soft wheat,gdd,-0.000316705559347874
HadGEM3-GC3-1LL,-5.5,-5.5797,10,CZ,Soft wheat,gdd,-0.000129051026186172
HadGEM3-GC3-1LL,-4.5,-4.5263,6,CZ,Soft wheat,gdd,-0.000444261388022383
HadGEM3-GC3-1LL,-3.5,-3.7835,7,CZ,Soft wheat,gdd,-0.000347587992764903
HadGEM3-GC3-1LL,-2.5,-2.4504,6,CZ,Soft wheat,gdd,-0.000239620183802595
HadGEM3-GC3-1LL,-1.5,-1.3098,8,CZ,Soft wheat,gdd,5.93773439168466e-05
HadGEM3-GC3-1LL,-0.5,-0.331,6,CZ,Soft wheat,gdd,-4.34968829160063e-05
HadGEM3-GC3-1MM,-14.5,-14.3032,4,CZ,Soft wheat,gdd,0.000400101248490412
HadGEM3-GC3-1MM,-13.5,-13.3931,8,CZ,Soft wheat,gdd,0.00215846469076489
