model,bin_id,delta_sv,n_years,component,dln
EC-Earth3,-9.5,-9.1554,4,gdd,-0.000267093012800502
EC-Earth3,-8.5,-8.4726,15,gdd,-0.000339648030792267
EC-Earth3,-7.5,-7.5562,20,gdd,-0.000250055615162961
EC-Earth3,-6.5,-6.4767,21,gdd,-0.000155769429899643
EC-Earth3,-5.5,-5.3342,8,gdd,-0.000123713910446502
EC-Earth3,-4.5,-4.5495,8,gdd,-0.000215815701796026
EC-Earth3,-3.5,-3.3459,9,gdd,-0.00010748398337242
EC-Earth3,-2.5,-2.4493,5,gdd,-0.000162005908867788
EC-Earth3,-1.5,-1.3807,6,gdd,-8.77934859016296e-05
EC-Earth3,-0.5,-0.6596,3,gdd,8.81886711270731e-05
HadGEM3-GC3-1LL,-8.5,-8.3848,12,gdd,-0.000299128360898345
HadGEM3-GC3-1LL,-7.5,-7.5599,19,gdd,-0.00019762895702882
HadGEM3-GC3-1LL,-6.5,-6.5442,24,gdd,-0.000202981746455334
HadGEM3-GC3-1LL,-5.5,-5.5797,10,gdd,-0.000125735110108553
HadGEM3-GC3-1LL,-4.5,-4.5263,6,gdd,-0.000171414945556922
HadGEM3-GC3-1LL,-3.5,-3.7835,7,gdd,-0.000201538609700759
HadGEM3-GC3-1LL,-2.5,-2.4504,6,gdd,-9.08715375499481e-05
HadGEM3-GC3-1LL,-1.5,-1.3098,8,gdd,-5.02500227969192e-05
HadGEM3-GC3-1LL,-0.5,-0.331,6,gdd,-3.9570721680589e-05
HadGEM3-GC3-1MM,-14.5,-14.3032,4,gdd,0.00531181657956446
HadGEM3-GC3-1MM,-13.5,-13.3931,8,gdd,0.00582303821889358
HadGEM3-GC3-1MM,-12.5,-12.588,13,gdd,0.00262323793352853
HadGEM3-GC3-1MM,-11.5,-11.5321,21,gdd,0.00141418780706592
HadGEM3-GC3-1MM,-10.5,-10.4803,10,gdd,-0.000284725567183656
HadGEM3-GC3-1MM,-9.5,-9.6161,7,gdd,-0.00060886237889262
HadGEM3-GC3-1MM,-8.5,-8.6582,7,gdd,-0.000627341745396977
HadGEM3-GC3-1MM,-7.5,-7.6345,8,gdd,-0.000422152529953404
