model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
EC-Earth3,-9.5,-9.1554,4,AT,AUT,hdd_calendar,0.0352843057764366,Electricity
EC-Earth3,-8.5,-8.4726,15,AT,AUT,hdd_calendar,0.0535137556900617,Electricity
EC-Earth3,-7.5,-7.5562,20,AT,AUT,hdd_calendar,0.0382883738617102,Electricity
EC-Earth3,-6.5,-6.4767,21,AT,AUT,hdd_calendar,0.0281859517414933,Electricity
EC-Earth3,-5.5,-5.3342,8,AT,AUT,hdd_calendar,0.0223686731253785,Electricity
EC-Earth3,-4.5,-4.5495,8,AT,AUT,hdd_calendar,0.0327797290584711,Electricity
EC-Earth3,-3.5,-3.3459,9,AT,AUT,hdd_calendar,0.0271136267728252,Electricity
EC-Earth3,-2.5,-2.4493,5,AT,AUT,hdd_calendar,0.0211605485335078,Electricity
EC-Earth3,-1.5,-1.3807,6,AT,AUT,hdd_calendar,0.00558921874931446,Electricity
EC-Earth3,-0.5,-0.6596,3,AT,AUT,hdd_calendar,-0.00475397464904291,Electricity
HadGEM3-GC3-1LL,-8.5,-8.3848,12,AT,AUT,hdd_calendar,0.0429516352570985,Electricity
HadGEM3-GC3-1LL,-7.5,-7.5599,19,AT,AUT,hdd_calendar,0.0286500487244393,Electricity
HadGEM3-GC3-1LL,-6.5,-6.5442,24,AT,AUT,hdd_calendar,0.0389816490174395,Electricity
HadGEM3-GC3-1LL,-5.5,-5.5797,10,AT,AUT,hdd_calendar,0.0222781276176214,Electricity
HadGEM3-GC3-1LL,-4.5,-4.5263,6,AT,AUT,hdd_calendar,0.0315094080155124,Electricity
HadGEM3-GC3-1LL,-3.5,-3.7835,7,AT,AUT,hdd_calendar,0.0323195275080325,Electricity
HadGEM3-GC3-1LL,-2.5,-2.4504,6,AT,AUT,hdd_calendar,0.020272688136736,Electricity
HadGEM3-GC3-1LL,-1.5,-1.3098,8,AT,AUT,hdd_calendar,0.0112276056850149,Electricity
HadGEM3-GC3-1LL,-0.5,-0.331,6,AT,AUT,hdd_calendar,0.00695260148849199,Electricity
HadGEM3-GC3-1MM,-14.5,-14.3032,4,AT,AUT,hdd_calendar,0.0729620286561282,Electricity
HadGEM3-GC3-1MM,-13.5,-13.3931,8,AT,AUT,hdd_calendar,0.085921126133059,Electricity
HadGEM3-GC3-1MM,-12.5,-12.588,13,AT,AUT,hdd_calendar,0.0768248811826156,Electricity
HadGEM3-GC3-1MM,-11.5,-11.5321,21,AT,AUT,hdd_calendar,0.0724693589553164,Electricity
HadGEM3-GC3-1MM,-10.5,-10.4803,10,AT,AUT,hdd_calendar,0.0697814173330046,Electricity
HadGEM3-GC3-1MM,-9.5,-9.6161,7,AT,AUT,hdd_calendar,0.047014906854173,Electricity
HadGEM3-GC3-1MM,-8.5,-8.6582,7,AT,AUT,hdd_calendar,0.0404286437672796,Electricity
HadGEM3-GC3-1MM,-7.5,-7.6345,8,AT,AUT,hdd_calendar,0.0387695995646292,Electricity
HadGEM3-GC3-1MM,-6.5,-6.4299,4,AT,AUT,hdd_calendar,0.0293346010935013,Electricity
HadGEM3-GC3-1MM,-5.5,-5.3528,4,AT,AUT,hdd_calendar,0.0195765053854508,Electricity
HadGEM3-GC3-1MM,-4.5,-4.3969,4,AT,AUT,hdd_calendar,0.0139056502993772,Electricity
IPSL-CM6A-LR,-9.5,-9.3401,5,AT,AUT,hdd_calendar,0.057533413353799,Electricity
IPSL-CM6A-LR,-8.5,-8.4598,8,AT,AUT,hdd_calendar,0.0544607371964682,Electricity
IPSL-CM6A-LR,-7.5,-7.5255,19,AT,AUT,hdd_calendar,0.0411795862348658,Electricity
IPSL-CM6A-LR,-6.5,-6.5577,11,AT,AUT,hdd_calendar,0.0504751319499133,Electricity
IPSL-CM6A-LR,-5.5,-5.5623,13,AT,AUT,hdd_calendar,0.0299860329670333,Electricity
IPSL-CM6A-LR,-4.5,-4.3507,11,AT,AUT,hdd_calendar,0.0159208935960469,Electricity
IPSL-CM6A-LR,-3.5,-3.4644,8,AT,AUT,hdd_calendar,0.0202529686745691,Electricity
IPSL-CM6A-LR,-2.5,-2.5669,9,AT,AUT,hdd_calendar,0.00813606743343747,Electricity
IPSL-CM6A-LR,-1.5,-1.2909,6,AT,AUT,hdd_calendar,0.0219488237824932,Electricity
IPSL-CM6A-LR,-0.5,-0.6347,8,AT,AUT,hdd_calendar,-0.00206357275356847,Electricity
EC-Earth3,-9.5,-9.1554,4,BE,BEL,hdd_calendar,0.0434644903809035,Electricity
EC-Earth3,-8.5,-8.4726,15,BE,BEL,hdd_calendar,0.0630395046917103,Electricity
EC-Earth3,-7.5,-7.5562,20,BE,BEL,hdd_calendar,0.042981959987671,Electricity
EC-Earth3,-6.5,-6.4767,21,BE,BEL,hdd_calendar,0.0337599056141397,Electricity
EC-Earth3,-5.5,-5.3342,8,BE,BEL,hdd_calendar,0.0273521800774327,Electricity
EC-Earth3,-4.5,-4.5495,8,BE,BEL,hdd_calendar,0.0425601163324493,Electricity
EC-Earth3,-3.5,-3.3459,9,BE,BEL,hdd_calendar,0.0313886309693481,Electricity
EC-Earth3,-2.5,-2.4493,5,BE,BEL,hdd_calendar,0.0192653181072473,Electricity
EC-Earth3,-1.5,-1.3807,6,BE,BEL,hdd_calendar,0.00666523412772644,Electricity
EC-Earth3,-0.5,-0.6596,3,BE,BEL,hdd_calendar,0.00749242642492037,Electricity
HadGEM3-GC3-1LL,-8.5,-8.3848,12,BE,BEL,hdd_calendar,0.0424303369231219,Electricity
HadGEM3-GC3-1LL,-7.5,-7.5599,19,BE,BEL,hdd_calendar,0.0375156430658885,Electricity
HadGEM3-GC3-1LL,-6.5,-6.5442,24,BE,BEL,hdd_calendar,0.0391153984130067,Electricity
HadGEM3-GC3-1LL,-5.5,-5.5797,10,BE,BEL,hdd_calendar,0.0303175361372613,Electricity
HadGEM3-GC3-1LL,-4.5,-4.5263,6,BE,BEL,hdd_calendar,0.0281347146890387,Electricity
HadGEM3-GC3-1LL,-3.5,-3.7835,7,BE,BEL,hdd_calendar,0.0388726141840968,Electricity
HadGEM3-GC3-1LL,-2.5,-2.4504,6,BE,BEL,hdd_calendar,0.0232204681541985,Electricity
HadGEM3-GC3-1LL,-1.5,-1.3098,8,BE,BEL,hdd_calendar,0.0132285905804013,Electricity
HadGEM3-GC3-1LL,-0.5,-0.331,6,BE,BEL,hdd_calendar,0.0035785791456081,Electricity
HadGEM3-GC3-1MM,-14.5,-14.3032,4,BE,BEL,hdd_calendar,0.101596607481136,Electricity
HadGEM3-GC3-1MM,-13.5,-13.3931,8,BE,BEL,hdd_calendar,0.108645122346103,Electricity
HadGEM3-GC3-1MM,-12.5,-12.588,13,BE,BEL,hdd_calendar,0.100246979905549,Electricity
HadGEM3-GC3-1MM,-11.5,-11.5321,21,BE,BEL,hdd_calendar,0.0961129381781839,Electricity
