model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-9.5,-9.1554,4,CZ,Soft wheat,gdd,-0.000797714939234568
EC-Earth3,-8.5,-8.4726,15,CZ,Soft wheat,gdd,-0.000633741109676514
EC-Earth3,-7.5,-7.5562,20,CZ,Soft wheat,gdd,-0.000464498002582692
EC-Earth3,-6.5,-6.4767,21,CZ,Soft wheat,gdd,-0.000332300046098366
EC-Earth3,-5.5,-5.3342,8,CZ,Soft wheat,gdd,-0.00030825983119302
EC-Earth3,-4.5,-4.5495,8,CZ,Soft wheat,gdd,-0.000100252869709359
EC-Earth3,-3.5,-3.3459,9,CZ,Soft wheat,gdd,-0.000100438057613335
EC-Earth3,-2.5,-2.4493,5,CZ,Soft wheat,gdd,-0.00017948665908117
EC-Earth3,-1.5,-1.3807,6,CZ,Soft wheat,gdd,-0.00010811158182388
EC-Earth3,-0.5,-0.6596,3,CZ,Soft wheat,gdd,0.000326440005226238
HadGEM3-GC3-1LL,-8.5,-8.3848,12,CZ,Soft wheat,gdd,-0.000602916004431334
HadGEM3-GC3-1LL,-7.5,-7.5599,19,CZ,Soft wheat,gdd,-0.000337930106276394
HadGEM3-GC3-1LL,-6.5,-6.5442,24,CZ,Soft wheat,gdd,-0.000349418767341355
HadGEM3-GC3-1LL,-5.5,-5.5797,10,CZ,Soft wheat,gdd,-0.000142380988154927
HadGEM3-GC3-1LL,-4.5,-4.5263,6,CZ,Soft wheat,gdd,-0.000490150115772454
HadGEM3-GC3-1LL,-3.5,-3.7835,7,CZ,Soft wheat,gdd,-0.000383491114663894
HadGEM3-GC3-1LL,-2.5,-2.4504,6,CZ,Soft wheat,gdd,-0.000264371075224618
HadGEM3-GC3-1LL,-1.5,-1.3098,8,CZ,Soft wheat,gdd,6.55105592783069e-05
HadGEM3-GC3-1LL,-0.5,-0.331,6,CZ,Soft wheat,gdd,-4.79897708237188e-05
HadGEM3-GC3-1MM,-14.5,-14.3032,4,CZ,Soft wheat,gdd,0.000441428579110275
HadGEM3-GC3-1MM,-13.5,-13.3931,8,CZ,Soft wheat,gdd,0.00238141721651458
HadGEM3-GC3-1MM,-12.5,-12.588,13,CZ,Soft wheat,gdd,0.00102189744492215
HadGEM3-GC3-1MM,-11.5,-11.5321,21,CZ,Soft wheat,gdd,5.81187071847885e-05
HadGEM3-GC3-1MM,-10.5,-10.4803,10,CZ,Soft wheat,gdd,0.00140469776699094
HadGEM3-GC3-1MM,-9.5,-9.6161,7,CZ,Soft wheat,gdd,-0.000364179349696813
HadGEM3-GC3-1MM,-8.5,-8.6582,7,CZ,Soft wheat,gdd,-0.000704842978866954
HadGEM3-GC3-1MM,-7.5,-7.6345,8,CZ,Soft wheat,gdd,-0.000871447358455061
HadGEM3-GC3-1MM,-6.5,-6.4299,4,CZ,Soft wheat,gdd,-0.000366160986001971
HadGEM3-GC3-1MM,-5.5,-5.3528,4,CZ,Soft wheat,gdd,-0.000150652732706208
HadGEM3-GC3-1MM,-4.5,-4.3969,4,CZ,Soft wheat,gdd,-0.000237110113054248
