model,bin_id,delta_sv,n_years,component,dln
EC-Earth3,-9.5,-9.1554,4,gdd,-0.000322354760058259
EC-Earth3,-8.5,-8.4726,15,gdd,-0.000407354674161538
EC-Earth3,-7.5,-7.5562,20,gdd,-0.000304801098833988
EC-Earth3,-6.5,-6.4767,21,gdd,-0.00018915346913547
EC-Earth3,-5.5,-5.3342,8,gdd,-0.000155486860433244
EC-Earth3,-4.5,-4.5495,8,gdd,-0.000261024468586984
EC-Earth3,-3.5,-3.3459,9,gdd,-0.00013209336636652
EC-Earth3,-2.5,-2.4493,5,gdd,-0.000196065830261792
EC-Earth3,-1.5,-1.3807,6,gdd,-0.000108235557257145
EC-Earth3,-0.5,-0.6596,3,gdd,0.000101909476095528
HadGEM3-GC3-1LL,-8.5,-8.3848,12,gdd,-0.000360719293193314
HadGEM3-GC3-1LL,-7.5,-7.5599,19,gdd,-0.000241074176950046
HadGEM3-GC3-1LL,-6.5,-6.5442,24,gdd,-0.000244267724324125
HadGEM3-GC3-1LL,-5.5,-5.5797,10,gdd,-0.000157305415299051
HadGEM3-GC3-1LL,-4.5,-4.5263,6,gdd,-0.000208158154970238
HadGEM3-GC3-1LL,-3.5,-3.7835,7,gdd,-0.000247262516346795
HadGEM3-GC3-1LL,-2.5,-2.4504,6,gdd,-0.00011089664603201
HadGEM3-GC3-1LL,-1.5,-1.3098,8,gdd,-5.96132314113518e-05
HadGEM3-GC3-1LL,-0.5,-0.331,6,gdd,-4.92251996674736e-05
HadGEM3-GC3-1MM,-14.5,-14.3032,4,gdd,0.00656790647754498
HadGEM3-GC3-1MM,-13.5,-13.3931,8,gdd,0.00728192954018682
HadGEM3-GC3-1MM,-12.5,-12.588,13,gdd,0.00356914856206668
HadGEM3-GC3-1MM,-11.5,-11.5321,21,gdd,0.00202820491529782
HadGEM3-GC3-1MM,-10.5,-10.4803,10,gdd,1.61249603691141e-05
HadGEM3-GC3-1MM,-9.5,-9.6161,7,gdd,-0.000645346238697176
HadGEM3-GC3-1MM,-8.5,-8.6582,7,gdd,-0.000676498165708873
HadGEM3-GC3-1MM,-7.5,-7.6345,8,gdd,-0.000481949314713144
HadGEM3-GC3-1MM,-6.5,-6.4299,4,gdd,-0.000227510149521494
HadGEM3-GC3-1MM,-5.5,-5.3528,4,gdd,-0.000159751546965297
HadGEM3-GC3-1MM,-4.5,-4.3969,4,gdd,-0.000139066483287502
IPSL-CM6A-LR,-9.5,-9.3401,5,gdd,-0.000618943927152093
IPSL-CM6A-LR,-8.5,-8.4598,8,gdd,-0.00055479941245387
IPSL-CM6A-LR,-7.5,-7.5255,19,gdd,-0.000513111427228054
IPSL-CM6A-LR,-6.5,-6.5577,11,gdd,-0.000562006799576308
IPSL-CM6A-LR,-5.5,-5.5623,13,gdd,-0.000211722978920513
IPSL-CM6A-LR,-4.5,-4.3507,11,gdd,-0.000119501775542256
IPSL-CM6A-LR,-3.5,-3.4644,8,gdd,-0.00021388164838583
IPSL-CM6A-LR,-2.5,-2.5669,9,gdd,-0.000112309223135462
IPSL-CM6A-LR,-1.5,-1.2909,6,gdd,-8.66259219771275e-05
IPSL-CM6A-LR,-0.5,-0.6347,8,gdd,-1.43989144320441e-05
EC-Earth3,-9.5,-9.1554,4,heat,0.00723249146627029
EC-Earth3,-8.5,-8.4726,15,heat,0.00588153476018301
EC-Earth3,-7.5,-7.5562,20,heat,0.00693581658896916
EC-Earth3,-6.5,-6.4767,21,heat,0.000923531474150272
EC-Earth3,-5.5,-5.3342,8,heat,0.00214498502910796
EC-Earth3,-4.5,-4.5495,8,heat,0.00243068096698303
EC-Earth3,-3.5,-3.3459,9,heat,0.00291063869325916
EC-Earth3,-2.5,-2.4493,5,heat,0.000619505796806514
EC-Earth3,-1.5,-1.3807,6,heat,0.00482013999533193
EC-Earth3,-0.5,-0.6596,3,heat,-0.00717078957735664
HadGEM3-GC3-1LL,-8.5,-8.3848,12,heat,-0.000214574125497014
HadGEM3-GC3-1LL,-7.5,-7.5599,19,heat,0.000577490279314297
HadGEM3-GC3-1LL,-6.5,-6.5442,24,heat,0.00411044536415929
HadGEM3-GC3-1LL,-5.5,-5.5797,10,heat,0.000434597846668787
HadGEM3-GC3-1LL,-4.5,-4.5263,6,heat,0.00233792470185229
HadGEM3-GC3-1LL,-3.5,-3.7835,7,heat,0.00380578476948149
HadGEM3-GC3-1LL,-2.5,-2.4504,6,heat,-0.000840947921363178
HadGEM3-GC3-1LL,-1.5,-1.3098,8,heat,-0.000292083091929771
HadGEM3-GC3-1LL,-0.5,-0.331,6,heat,-0.00207913554305231
HadGEM3-GC3-1MM,-14.5,-14.3032,4,heat,0.00650434823828179
HadGEM3-GC3-1MM,-13.5,-13.3931,8,heat,0.0126712879801643
HadGEM3-GC3-1MM,-12.5,-12.588,13,heat,0.0105996439976544
HadGEM3-GC3-1MM,-11.5,-11.5321,21,heat,0.00806254645033728
HadGEM3-GC3-1MM,-10.5,-10.4803,10,heat,0.00812733602989732
HadGEM3-GC3-1MM,-9.5,-9.6161,7,heat,-0.00327685012301853
HadGEM3-GC3-1MM,-8.5,-8.6582,7,heat,0.00286168537073899
HadGEM3-GC3-1MM,-7.5,-7.6345,8,heat,0.00401596096412967
HadGEM3-GC3-1MM,-6.5,-6.4299,4,heat,0.000449783159761933
HadGEM3-GC3-1MM,-5.5,-5.3528,4,heat,-0.00324603684788924
HadGEM3-GC3-1MM,-4.5,-4.3969,4,heat,0.00103679485566953
IPSL-CM6A-LR,-9.5,-9.3401,5,heat,0.00911650050901938
IPSL-CM6A-LR,-8.5,-8.4598,8,heat,0.00949516024036181
IPSL-CM6A-LR,-7.5,-7.5255,19,heat,0.00612436982211907
IPSL-CM6A-LR,-6.5,-6.5577,11,heat,0.00553930261243781
IPSL-CM6A-LR,-5.5,-5.5623,13,heat,0.00572367688502854
IPSL-CM6A-LR,-4.5,-4.3507,11,heat,-0.00203740675211774
IPSL-CM6A-LR,-3.5,-3.4644,8,heat,0.00138898808914482
IPSL-CM6A-LR,-2.5,-2.5669,9,heat,0.00351394035863787
IPSL-CM6A-LR,-1.5,-1.2909,6,heat,0.000438468331256237
IPSL-CM6A-LR,-0.5,-0.6347,8,heat,-0.000172786213732688
EC-Earth3,-9.5,-9.1554,4,frost,-0.000804405134092618
EC-Earth3,-8.5,-8.4726,15,frost,0.00204686935483549
EC-Earth3,-7.5,-7.5562,20,frost,0.000328015263980206
EC-Earth3,-6.5,-6.4767,21,frost,0.00038003650179586
EC-Earth3,-5.5,-5.3342,8,frost,0.000250627069674531
EC-Earth3,-4.5,-4.5495,8,frost,0.000686342875938911
EC-Earth3,-3.5,-3.3459,9,frost,0.000730719562465715
EC-Earth3,-2.5,-2.4493,5,frost,0.00104745385962069
EC-Earth3,-1.5,-1.3807,6,frost,0.0011242123059287
EC-Earth3,-0.5,-0.6596,3,frost,-0.000954042292079919
HadGEM3-GC3-1LL,-8.5,-8.3848,12,frost,0.000783520943955595
HadGEM3-GC3-1LL,-7.5,-7.5599,19,frost,0.000134108069154907
HadGEM3-GC3-1LL,-6.5,-6.5442,24,frost,0.000611681474442889
HadGEM3-GC3-1LL,-5.5,-5.5797,10,frost,0.000312724677612619
HadGEM3-GC3-1LL,-4.5,-4.5263,6,frost,0.000538235742747311
HadGEM3-GC3-1LL,-3.5,-3.7835,7,frost,0.00089642477926372
HadGEM3-GC3-1LL,-2.5,-2.4504,6,frost,-0.00178744367876222
HadGEM3-GC3-1LL,-1.5,-1.3098,8,frost,-0.000166345485370249
HadGEM3-GC3-1LL,-0.5,-0.331,6,frost,2.29927289298473e-05
HadGEM3-GC3-1MM,-14.5,-14.3032,4,frost,-0.00289869464436298
HadGEM3-GC3-1MM,-13.5,-13.3931,8,frost,-0.00351756254959617
HadGEM3-GC3-1MM,-12.5,-12.588,13,frost,-0.00221645200502335
HadGEM3-GC3-1MM,-11.5,-11.5321,21,frost,-0.000468056873619593
HadGEM3-GC3-1MM,-10.5,-10.4803,10,frost,-6.99307298531156e-05
HadGEM3-GC3-1MM,-9.5,-9.6161,7,frost,0.00124773916968902
HadGEM3-GC3-1MM,-8.5,-8.6582,7,frost,0.000482902287292532
HadGEM3-GC3-1MM,-7.5,-7.6345,8,frost,-7.85777526471275e-05
HadGEM3-GC3-1MM,-6.5,-6.4299,4,frost,-0.000154233862885787
HadGEM3-GC3-1MM,-5.5,-5.3528,4,frost,-0.00211314235352757
HadGEM3-GC3-1MM,-4.5,-4.3969,4,frost,0.000634295885966267
IPSL-CM6A-LR,-9.5,-9.3401,5,frost,0.00130721777288126
IPSL-CM6A-LR,-8.5,-8.4598,8,frost,0.0017741180270648
IPSL-CM6A-LR,-7.5,-7.5255,19,frost,0.00162385405878428
IPSL-CM6A-LR,-6.5,-6.5577,11,frost,0.00254072639582457
IPSL-CM6A-LR,-5.5,-5.5623,13,frost,0.00112424091558603
IPSL-CM6A-LR,-4.5,-4.3507,11,frost,-0.000174418346679926
IPSL-CM6A-LR,-3.5,-3.4644,8,frost,-0.000104167425878362
IPSL-CM6A-LR,-2.5,-2.5669,9,frost,0.000956800178574237
IPSL-CM6A-LR,-1.5,-1.2909,6,frost,0.000356096786063079
IPSL-CM6A-LR,-0.5,-0.6347,8,frost,-2.77333860612435e-05
EC-Earth3,-9.5,-9.1554,4,precip,-0.00637106328702427
EC-Earth3,-8.5,-8.4726,15,precip,-0.046028340578303
EC-Earth3,-7.5,-7.5562,20,precip,-0.029671262836237
EC-Earth3,-6.5,-6.4767,21,precip,-0.0520185428504097
EC-Earth3,-5.5,-5.3342,8,precip,-0.0366129269590493
EC-Earth3,-4.5,-4.5495,8,precip,-0.0476917376062872
EC-Earth3,-3.5,-3.3459,9,precip,-0.0411811458104066
EC-Earth3,-2.5,-2.4493,5,precip,-0.0446221442218277
EC-Earth3,-1.5,-1.3807,6,precip,-0.0194125387527872
EC-Earth3,-0.5,-0.6596,3,precip,-0.0165766766207727
