branch,fuel,model,bin_id,dsv_amoc,dsv_isimip,n_amoc,n_isimip,dln_amoc,dln_isimip,dln_residual,share,pct_amoc,pct_isimip,pct_residual
crop (spec A),,EC-Earth3,-1.5,-1.3807,-1.5166,6,7,0.0215700581647569,-0.135241329489169,-0.156811387653926,,2.18043735690106,-12.6494916286085,-14.5134718240741
crop (spec A),,EC-Earth3,-2.5,-2.4493,-2.5562,5,17,0.0176805154564315,-0.105811905462399,-0.12349242091883,,1.78377410126078,-10.0406159149169,-11.6171660174578
crop (spec A),,EC-Earth3,-3.5,-3.3459,-3.2771,9,5,0.039395458175471,-0.0925614068877964,-0.131956865063267,,4.01817507026301,-8.84067688575547,-12.3621203191966
crop (spec A),,IPSL-CM6A-LR,-1.5,-1.2909,-1.7768,6,5,0.0296690014105301,-0.0970705933491928,-0.126739594759723,,3.01135113983713,-9.25080590234668,-11.9036949874951
crop (spec A),,IPSL-CM6A-LR,-2.5,-2.5669,-2.5185,9,16,0.0239773689169623,-0.0829524729973071,-0.106929841914269,,2.4267137353684,-7.96051102089546,-10.1411285957104
crop (spec A),,IPSL-CM6A-LR,-3.5,-3.4644,-3.4513,8,9,0.0347608294253737,-0.10454998092607,-0.139310810351444,,3.53720486564653,-9.92702230265807,-13.0042405392112
crop (spec C),,EC-Earth3,-1.5,-1.3807,-1.5166,6,7,-0.00341331237524427,-0.0146623907383475,-0.0112490783631032,23.2793712577664,-0.340749364682069,-1.45554213345083,-1.1186044061761
crop (spec C),,EC-Earth3,-2.5,-2.4493,-2.5562,5,17,-0.0169343356842841,-0.00313252129336866,0.0138018143909155,540.597624033171,-1.67917557881814,-0.312762006760903,1.38974991320646
crop (spec C),,EC-Earth3,-3.5,-3.3459,-3.2771,9,5,-0.0119212316903706,-0.00389225802180102,0.00802897366856959,306.280612014885,-1.18504553341552,-0.38846930037304,0.806129231493857
crop (spec C),,IPSL-CM6A-LR,-1.5,-1.2909,-1.7768,6,5,-0.0100164750140996,-0.0089021950799048,0.00111427993419477,112.516912112048,-0.996647720144028,-0.886268786185662,0.111490097473022
crop (spec C),,IPSL-CM6A-LR,-2.5,-2.5669,-2.5185,9,16,-0.00882821213429136,-0.00304905949544373,0.00577915263884763,289.538860999057,-0.878935789144708,-0.304441583433901,0.579588415726362
crop (spec C),,IPSL-CM6A-LR,-3.5,-3.4644,-3.4513,8,9,-0.0103765840214817,-0.00234864906117204,0.00802793496030966,441.810749550787,-1.03229330052854,-0.234589314294953,0.806024523389159
energy,Electricity,EC-Earth3,-1.5,-1.3807,-1.5166,6,7,0.00519888371015283,-0.0220706342195698,-0.0272695179297226,,0.521242135611688,-2.18288597440873,-2.69010614330882
energy,Electricity,EC-Earth3,-2.5,-2.4493,-2.5562,5,17,0.0199170587637081,-0.0164447295343809,-0.036361788298089,,2.01167267753597,-1.63102531214649,-3.57086389632804
energy,Electricity,EC-Earth3,-3.5,-3.3459,-3.2771,9,5,0.0276980301099472,-0.0169058861191614,-0.0446039162291086,,2.80851867724994,-1.67637835433113,-4.36237880798638
energy,Electricity,IPSL-CM6A-LR,-1.5,-1.2909,-1.7768,6,5,0.018557621327858,-0.0144299238177613,-0.0329875451456193,,1.87308841046756,-1.43263114386933,-3.24493897840563
energy,Electricity,IPSL-CM6A-LR,-2.5,-2.5669,-2.5185,9,16,0.0111065340557618,-0.017341709988548,-0.0284482440443098,,1.11684405818262,-1.71922079901071,-2.80474028200628
energy,Electricity,IPSL-CM6A-LR,-3.5,-3.4644,-3.4513,8,9,0.0243610328314084,-0.0164208717482731,-0.0407819045796815,,2.46601870877181,-1.62867841819301,-3.99615128855815
energy,Natural gas,EC-Earth3,-1.5,-1.3807,-1.5166,6,7,0.0118530237001032,-0.0492336177949419,-0.0610866414950451,,1.1923549156706,-4.80412907756986,-5.92582710248978
energy,Natural gas,EC-Earth3,-2.5,-2.4493,-2.5562,5,17,0.0328325989386261,-0.0428744483283235,-0.0757070472669496,,3.33775362648978,-4.19683350064274,-7.29122403256993
energy,Natural gas,EC-Earth3,-3.5,-3.3459,-3.2771,9,5,0.0462496341551396,-0.0341877698684794,-0.080437404023619,,4.73358291209785,-3.36099713284027,-7.7287340124054
energy,Natural gas,IPSL-CM6A-LR,-1.5,-1.2909,-1.7768,6,5,0.0310318525320547,-0.0433453544051446,-0.0743772069371993,,3.1518359834869,-4.24193717329573,-7.16785415042566
energy,Natural gas,IPSL-CM6A-LR,-2.5,-2.5669,-2.5185,9,16,0.0199027576530714,-0.0449438464665162,-0.0648466041195876,,2.01021380775053,-4.39488340230305,-6.27887833087448
energy,Natural gas,IPSL-CM6A-LR,-3.5,-3.4644,-3.4513,8,9,0.0337415131487968,-0.0445650481562251,-0.0783065613050219,,3.43172147709627,-4.35866148571338,-7.53190882986004
