branch,model,bin_id,delta_sv,n_years,benchmark,drop_gdd,gdd_share
ISIMIP ssp370 (T),EC-Earth3,-2.5,-2.5448,11,-23.9735869529971,-16.4968057765618,-7.47678117643527
ISIMIP ssp370 (T),EC-Earth3,-3.5,-3.4737,8,-29.6541536111553,-20.5806784682105,-9.07347514294479
ISIMIP ssp370 (T),EC-Earth3,-4.5,-4.5546,8,-25.4430579275489,-16.1504709050469,-9.29258702250199
ISIMIP ssp370 (T),IPSL-CM6A-LR,-2.5,-2.2964,6,-17.9804412529955,-10.3204998015162,-7.65994145147938
ISIMIP ssp370 (T),IPSL-CM6A-LR,-3.5,-3.5013,7,-22.1616553124006,-13.5992593707156,-8.56239594168494
ISIMIP ssp370 (T),IPSL-CM6A-LR,-4.5,-4.3046,12,-22.4654961264717,-14.0049092625788,-8.46058686389287
ISIMIP ssp370 (T),IPSL-CM6A-LR,-5.5,-5.3985,4,-24.8452350961164,-14.0759196676745,-10.7693154284419
NAHosMIP (A),EC-Earth3,-0.5,-0.6596,3,-2.55661432295355,-2.90993958845441,0.353325265500859
NAHosMIP (A),EC-Earth3,-1.5,-1.3807,6,2.18043735690106,0.950104924830564,1.23033243207049
NAHosMIP (A),EC-Earth3,-2.5,-2.4493,5,1.78377410126078,-1.63857265492248,3.42234675618326
NAHosMIP (A),EC-Earth3,-3.5,-3.3459,9,4.01817507026301,-0.692184776412053,4.71035984667506
NAHosMIP (A),EC-Earth3,-4.5,-4.5495,8,3.54885880389817,-1.84362930054737,5.39248810444554
NAHosMIP (A),EC-Earth3,-5.5,-5.3342,8,2.93061358387638,-1.72162997424762,4.652243558124
NAHosMIP (A),EC-Earth3,-6.5,-6.4767,21,2.69849071394257,-1.6799997720691,4.37849048601167
NAHosMIP (A),EC-Earth3,-7.5,-7.5562,20,6.26165935039684,-0.860666860934622,7.12232621133146
NAHosMIP (A),EC-Earth3,-8.5,-8.4726,15,6.04743276613595,-1.74225358904213,7.78968635517808
NAHosMIP (A),EC-Earth3,-9.5,-9.1554,4,7.33425912148285,-0.340594131570482,7.67485325305333
NAHosMIP (A),HadGEM3-GC3-1LL,-0.5,-0.331,6,1.18869584253307,-1.01329709217014,2.20199293470321
NAHosMIP (A),HadGEM3-GC3-1LL,-1.5,-1.3098,8,1.90262771479575,-0.110379646166447,2.01300736096219
NAHosMIP (A),HadGEM3-GC3-1LL,-2.5,-2.4504,6,3.24314974481836,-2.05330964932867,5.29645939414704
NAHosMIP (A),HadGEM3-GC3-1LL,-3.5,-3.7835,7,4.80519628117329,-0.579331758017965,5.38452803919125
NAHosMIP (A),HadGEM3-GC3-1LL,-4.5,-4.5263,6,2.7378407098372,-1.89670474808302,4.63454545792023
NAHosMIP (A),HadGEM3-GC3-1LL,-5.5,-5.5797,10,3.1473242776989,-1.1782913977479,4.3256156754468
NAHosMIP (A),HadGEM3-GC3-1LL,-6.5,-6.5442,24,4.29882748599932,-0.99048823973068,5.28931572573
NAHosMIP (A),HadGEM3-GC3-1LL,-7.5,-7.5599,19,4.2517079893748,-1.57088961843667,5.82259760781146
NAHosMIP (A),HadGEM3-GC3-1LL,-8.5,-8.3848,12,3.87920269934152,-2.51821380728896,6.39741650663048
NAHosMIP (A),HadGEM3-GC3-1MM,-4.5,-4.3969,4,1.67865103837181,-0.493858908973244,2.17250994734506
NAHosMIP (A),HadGEM3-GC3-1MM,-5.5,-5.3528,4,3.32370555742161,-2.17909335734309,5.5027989147647
NAHosMIP (A),HadGEM3-GC3-1MM,-6.5,-6.4299,4,4.49945552553006,-1.2805297589039,5.77998528443396
NAHosMIP (A),HadGEM3-GC3-1MM,-7.5,-7.6345,8,6.04444699396136,-2.39700261985895,8.44144961382031
