IDCROP;IDREGION;YEAR;AREA
1;AT1;1980;193663.2
1;AT1;1981;197978.4
1;AT1;1982;206906.4
1;AT1;1983;222828
1;AT1;1984;223944
1;AT1;1985;227217.6
1;AT1;1986;230342.4
1;AT1;1987;226176
1;AT1;1988;208320
1;AT1;1989;198201.6
1;AT1;1990;198201.6
1;AT1;1991;194556
1;AT1;1992;175956
1;AT1;1993;171689.7
1;AT1;1994;170604.8
1;AT1;1995;183321.6
1;AT1;1996;179181.9
1;AT1;1997;186367.5
1;AT1;1998;187756.6
1;AT1;1999;184540.2
1;AT1;2000;216639.9
1;AT1;2001;216424.5
1;AT1;2002;215712.2
1;AT1;2003;201687
1;AT1;2004;218000
1;AT1;2005;218253
1;AT1;2006;213079.1
1;AT1;2007;220136.8
1;AT1;2008;218936.5
1;AT1;2009;229961.4
1;AT1;2010;227423.95
1;AT1;2011;228903.84
1;AT1;2012;233968.28
1;AT1;2013;224817.66
1;AT1;2014;226094.58
1;AT1;2015;216608.07
1;AT1;2016;225594.66
1;AT1;2017;211280.3
1;AT1;2018;208923.13
1;AT1;2019;201724.44
1;AT1;2020;202132.7
1;AT1;2021;201028.8
1;AT1;2022;210277.36
1;AT11;1980;32535.42
1;AT11;1981;33260.37
1;AT11;1982;34760.28
1;AT11;1983;37435.1
1;AT11;1984;37622.59
1;AT11;1985;38172.56
1;AT11;1986;38697.52
1;AT11;1987;37997.57
1;AT11;1988;34997.76
1;AT11;1989;33297.87
1;AT11;1990;33297.87
1;AT11;1991;32685.41
1;AT11;1992;29560.61
1;AT11;1993;30560.77
1;AT11;1994;29855.84
1;AT11;1995;33731.17
1;AT11;1996;35657.2
1;AT11;1997;36341.66
1;AT11;1998;36800.29
1;AT11;1999;32663.62
1;AT11;2000;42028.14
1;AT11;2001;40687.81
1;AT11;2002;40553.89
1;AT11;2003;39934.03
1;AT11;2004;41420
1;AT11;2005;43650.6
1;AT11;2006;41124.27
1;AT11;2007;44027.36
1;AT11;2008;42911.55
1;AT11;2009;45762.32
1;AT11;2010;45257.37
1;AT11;2011;43491.73
1;AT11;2012;47495.56
1;AT11;2013;44738.71
1;AT11;2014;45218.92
1;AT11;2015;42021.97
1;AT11;2016;46021.31
1;AT11;2017;42256.06
1;AT11;2018;42202.47
1;AT11;2019;40344.89
1;AT11;2020;40022.27
1;AT11;2021;40406.79
1;AT11;2022;42265.75
1;AT111;1980;5335.81
1;AT111;1981;5454.7
1;AT111;1982;5700.69
1;AT111;1983;6139.36
1;AT111;1984;6170.11
1;AT111;1985;6260.3
1;AT111;1986;6346.39
1;AT111;1987;6231.6
1;AT111;1988;5739.63
1;AT111;1989;5460.85
1;AT111;1990;5460.85
1;AT111;1991;5360.41
1;AT111;1992;4847.94
1;AT111;1993;5011.97
1;AT111;1994;4896.36
1;AT111;1995;5531.91
1;AT111;1996;5847.78
1;AT111;1997;5960.03
1;AT111;1998;6035.25
1;AT111;1999;5356.83
1;AT111;2000;6892.62
1;AT111;2001;6672.8
1;AT111;2002;6650.84
1;AT111;2003;6549.18
1;AT111;2004;6792.88
1;AT111;2005;7158.7
1;AT111;2006;6744.38
1;AT111;2007;7220.49
1;AT111;2008;7037.49
1;AT111;2009;7505.02
1;AT111;2010;7422.21
1;AT111;2011;7132.64
1;AT111;2012;7789.27
1;AT111;2013;7337.15
1;AT111;2014;7415.9
1;AT111;2015;6891.6
1;AT111;2016;7547.49
1;AT111;2017;6929.99
1;AT111;2018;6921.21
1;AT111;2019;6616.56
1;AT111;2020;6563.65
1;AT111;2021;6626.71
1;AT111;2022;6931.58
1;AT112;1980;16983.49
1;AT112;1981;17361.91
1;AT112;1982;18144.86
1;AT112;1983;19541.12
1;AT112;1984;19638.99
1;AT112;1985;19926.07
1;AT112;1986;20200.11
1;AT112;1987;19834.73
1;AT112;1988;18268.83
1;AT112;1989;17381.49
1;AT112;1990;17381.49
1;AT112;1991;17061.78
1;AT112;1992;15430.64
1;AT112;1993;15952.72
1;AT112;1994;15584.75
1;AT112;1995;17607.67
1;AT112;1996;18613.06
1;AT112;1997;18970.35
1;AT112;1998;19209.75
1;AT112;1999;17050.41
1;AT112;2000;21938.69
1;AT112;2001;21239.03
1;AT112;2002;21169.13
1;AT112;2003;20845.56
1;AT112;2004;21621.24
1;AT112;2005;22785.61
1;AT112;2006;21466.87
1;AT112;2007;22982.28
1;AT112;2008;22399.83
1;AT112;2009;23887.93
1;AT112;2010;23624.35
1;AT112;2011;22702.68
1;AT112;2012;24792.68
1;AT112;2013;23353.61
1;AT112;2014;23604.27
1;AT112;2015;21935.47
1;AT112;2016;24023.12
1;AT112;2017;22057.66
1;AT112;2018;22029.69
1;AT112;2019;21060.03
1;AT112;2020;20891.63
1;AT112;2021;21092.34
1;AT112;2022;22062.72
1;AT113;1980;10216.12
1;AT113;1981;10443.76
1;AT113;1982;10914.73
1;AT113;1983;11754.62
1;AT113;1984;11813.49
1;AT113;1985;11986.18
1;AT113;1986;12151.02
1;AT113;1987;11931.24
1;AT113;1988;10989.3
1;AT113;1989;10455.53
1;AT113;1990;10455.53
1;AT113;1991;10263.22
1;AT113;1992;9282.03
1;AT113;1993;9596.08
1;AT113;1994;9374.73
1;AT113;1995;10591.59
1;AT113;1996;11196.36
1;AT113;1997;11411.28
1;AT113;1998;11555.29
1;AT113;1999;10256.38
1;AT113;2000;13196.84
1;AT113;2001;12775.97
1;AT113;2002;12733.92
1;AT113;2003;12539.28
1;AT113;2004;13005.88
1;AT113;2005;13706.29
1;AT113;2006;12913.02
1;AT113;2007;13824.59
1;AT113;2008;13474.23
1;AT113;2009;14369.37
1;AT113;2010;14210.81
1;AT113;2011;13656.4
1;AT113;2012;14913.61
1;AT113;2013;14047.96
1;AT113;2014;14198.74
1;AT113;2015;13194.9
1;AT113;2016;14450.69
1;AT113;2017;13268.4
1;AT113;2018;13251.58
1;AT113;2019;12668.29
1;AT113;2020;12566.99
1;AT113;2021;12687.73
1;AT113;2022;13271.45
1;AT12;1980;159384.81
1;AT12;1981;162936.22
1;AT12;1982;170283.97
1;AT12;1983;183387.44
1;AT12;1984;184305.91
1;AT12;1985;187000.08
1;AT12;1986;189571.8
1;AT12;1987;186142.85
1;AT12;1988;171447.36
1;AT12;1989;163119.92
1;AT12;1990;163119.92
1;AT12;1991;160119.59
1;AT12;1992;144811.79
1;AT12;1993;139583.73
1;AT12;1994;139042.91
1;AT12;1995;147940.53
1;AT12;1996;142270.43
1;AT12;1997;148348.53
1;AT12;1998;149266.5
1;AT12;1999;150215.72
1;AT12;2000;172662
1;AT12;2001;173788.87
1;AT12;2002;173216.9
1;AT12;2003;160139.48
1;AT12;2004;174618
1;AT12;2005;173292.88
1;AT12;2006;170676.36
1;AT12;2007;174788.62
1;AT12;2008;174711.33
1;AT12;2009;182819.31
1;AT12;2010;180802.04
1;AT12;2011;184038.69
1;AT12;2012;184834.94
1;AT12;2013;178954.86
1;AT12;2014;179519.1
1;AT12;2015;173503.06
1;AT12;2016;178445.38
1;AT12;2017;167967.84
1;AT12;2018;165467.12
1;AT12;2019;160169.21
1;AT12;2020;161099.76
1;AT12;2021;159817.9
1;AT12;2022;167170.5
1;AT121;1980;15619.71
1;AT121;1981;15967.75
1;AT121;1982;16687.83
1;AT121;1983;17971.97
1;AT121;1984;18061.98
1;AT121;1985;18326.01
1;AT121;1986;18578.04
1;AT121;1987;18242
1;AT121;1988;16801.84
1;AT121;1989;15985.75
1;AT121;1990;15985.75
1;AT121;1991;15691.72
1;AT121;1992;14191.56
1;AT121;1993;13679.21
1;AT121;1994;13626.21
1;AT121;1995;14498.17
1;AT121;1996;13942.5
1;AT121;1997;14538.16
1;AT121;1998;14628.12
1;AT121;1999;14721.14
1;AT121;2000;16920.88
1;AT121;2001;17031.31
1;AT121;2002;16975.26
1;AT121;2003;15693.67
1;AT121;2004;17112.56
1;AT121;2005;16982.7
1;AT121;2006;16726.28
1;AT121;2007;17129.28
1;AT121;2008;17121.71
1;AT121;2009;17916.29
1;AT121;2010;17718.6
1;AT121;2011;18035.79
1;AT121;2012;18113.82
1;AT121;2013;17537.58
1;AT121;2014;17592.87
1;AT121;2015;17003.3
1;AT121;2016;17487.65
1;AT121;2017;16460.85
1;AT121;2018;16215.78
1;AT121;2019;15696.58
1;AT121;2020;15787.78
1;AT121;2021;15662.15
1;AT121;2022;16382.71
1;AT122;1980;6534.78
1;AT122;1981;6680.39
1;AT122;1982;6981.64
1;AT122;1983;7518.89
1;AT122;1984;7556.54
1;AT122;1985;7667
1;AT122;1986;7772.44
1;AT122;1987;7631.86
1;AT122;1988;7029.34
1;AT122;1989;6687.92
1;AT122;1990;6687.92
1;AT122;1991;6564.9
1;AT122;1992;5937.28
1;AT122;1993;5722.93
1;AT122;1994;5700.76
1;AT122;1995;6065.56
1;AT122;1996;5833.09
1;AT122;1997;6082.29
1;AT122;1998;6119.93
1;AT122;1999;6158.84
1;AT122;2000;7079.14
1;AT122;2001;7125.34
1;AT122;2002;7101.89
1;AT122;2003;6565.72
1;AT122;2004;7159.34
1;AT122;2005;7105.01
1;AT122;2006;6997.73
1;AT122;2007;7166.33
1;AT122;2008;7163.16
1;AT122;2009;7495.59
1;AT122;2010;7412.88
1;AT122;2011;7545.59
1;AT122;2012;7578.23
1;AT122;2013;7337.15
1;AT122;2014;7360.28
1;AT122;2015;7113.63
1;AT122;2016;7316.26
1;AT122;2017;6886.68
1;AT122;2018;6784.15
1;AT122;2019;6566.94
1;AT122;2020;6605.09
1;AT122;2021;6552.53
1;AT122;2022;6853.99
1;AT123;1980;9403.7
1;AT123;1981;9613.24
1;AT123;1982;10046.75
1;AT123;1983;10819.86
1;AT123;1984;10874.05
1;AT123;1985;11033.01
1;AT123;1986;11184.74
1;AT123;1987;10982.43
1;AT123;1988;10115.39
1;AT123;1989;9624.08
1;AT123;1990;9624.08
1;AT123;1991;9447.06
1;AT123;1992;8543.9
1;AT123;1993;8235.44
1;AT123;1994;8203.53
1;AT123;1995;8728.49
1;AT123;1996;8393.96
1;AT123;1997;8752.56
1;AT123;1998;8806.72
1;AT123;1999;8862.73
1;AT123;2000;10187.06
1;AT123;2001;10253.54
1;AT123;2002;10219.8
1;AT123;2003;9448.23
1;AT123;2004;10302.46
1;AT123;2005;10224.28
1;AT123;2006;10069.91
1;AT123;2007;10312.53
1;AT123;2008;10307.97
1;AT123;2009;10786.34
1;AT123;2010;10667.32
1;AT123;2011;10858.28
1;AT123;2012;10905.26
1;AT123;2013;10558.34
1;AT123;2014;10591.63
1;AT123;2015;10236.68
