model,bin_id,delta_sv,n_years,ssp_year,component,dln,branch
EC-Earth3,-1.5,-1.5166,1,2071,gdd_mj,-0.202083314074284,crop
EC-Earth3,-1.5,-1.5166,1,2072,gdd_mj,-0.174304012966796,crop
EC-Earth3,-3.5,-3.2771,1,2073,gdd_mj,-0.132588445643657,crop
EC-Earth3,-2.5,-2.5562,1,2074,gdd_mj,-0.125082424623533,crop
EC-Earth3,-2.5,-2.5562,1,2075,gdd_mj,-0.151462791983731,crop
EC-Earth3,-2.5,-2.5562,1,2076,gdd_mj,-0.122276836723266,crop
EC-Earth3,-2.5,-2.5562,1,2077,gdd_mj,-0.146185459656611,crop
EC-Earth3,-1.5,-1.5166,1,2078,gdd_mj,-0.105208207810942,crop
EC-Earth3,-2.5,-2.5562,1,2079,gdd_mj,-0.121483979512088,crop
EC-Earth3,-1.5,-1.5166,1,2080,gdd_mj,-0.150328754898585,crop
EC-Earth3,-2.5,-2.5562,1,2081,gdd_mj,-0.136075530846381,crop
EC-Earth3,-2.5,-2.5562,1,2082,gdd_mj,-0.0163839127217908,crop
EC-Earth3,-2.5,-2.5562,1,2083,gdd_mj,-0.116287082585613,crop
EC-Earth3,-2.5,-2.5562,1,2084,gdd_mj,-0.0561773263833277,crop
EC-Earth3,-2.5,-2.5562,1,2085,gdd_mj,-0.0372359876109407,crop
EC-Earth3,-2.5,-2.5562,1,2086,gdd_mj,-0.0891254336773199,crop
EC-Earth3,-3.5,-3.2771,1,2087,gdd_mj,-0.0930075296900477,crop
EC-Earth3,-1.5,-1.5166,1,2088,gdd_mj,-0.0745544812302026,crop
EC-Earth3,-1.5,-1.5166,1,2089,gdd_mj,-0.0830508388200252,crop
EC-Earth3,-2.5,-2.5562,1,2090,gdd_mj,-0.103823965229292,crop
EC-Earth3,-3.5,-3.2771,1,2092,gdd_mj,-0.139399647959515,crop
EC-Earth3,-3.5,-3.2771,1,2093,gdd_mj,-0.0689637105721116,crop
EC-Earth3,-2.5,-2.5562,1,2094,gdd_mj,-0.112304494506861,crop
EC-Earth3,-2.5,-2.5562,1,2095,gdd_mj,-0.110634119284125,crop
EC-Earth3,-2.5,-2.5562,1,2096,gdd_mj,-0.0919210479676332,crop
EC-Earth3,-1.5,-1.5166,1,2097,gdd_mj,-0.113739881748875,crop
EC-Earth3,-2.5,-2.5562,1,2098,gdd_mj,-0.14761443740415,crop
EC-Earth3,-3.5,-3.2771,1,2099,gdd_mj,-0.0567835273076271,crop
EC-Earth3,-2.5,-2.5562,1,2100,gdd_mj,-0.0536510130395658,crop
EC-Earth3,-1.5,-1.5166,1,2071,heat_mj,-0.0592848034702225,crop
