model,bin_id,delta_sv,n_years,ssp_year,component,crop,dln,branch
EC-Earth3,-2.5,-2.5448,1,2071,gdd_mj,Soft wheat,-0.192954319934143,crop
EC-Earth3,-2.5,-2.5448,1,2072,gdd_mj,Soft wheat,-0.125887152394067,crop
EC-Earth3,-2.5,-2.5448,1,2073,gdd_mj,Soft wheat,-0.148532878307268,crop
EC-Earth3,-2.5,-2.5448,1,2075,gdd_mj,Soft wheat,-0.183288526209612,crop
EC-Earth3,-2.5,-2.5448,1,2076,gdd_mj,Soft wheat,-0.200797834797511,crop
EC-Earth3,-2.5,-2.5448,1,2077,gdd_mj,Soft wheat,-0.137460319293073,crop
EC-Earth3,-3.5,-3.4737,1,2078,gdd_mj,Soft wheat,-0.174339001060617,crop
EC-Earth3,-2.5,-2.5448,1,2079,gdd_mj,Soft wheat,-0.173073121236931,crop
EC-Earth3,-2.5,-2.5448,1,2080,gdd_mj,Soft wheat,-0.170305233156666,crop
EC-Earth3,-2.5,-2.5448,1,2081,gdd_mj,Soft wheat,-0.153484214516586,crop
EC-Earth3,-4.5,-4.5546,1,2082,gdd_mj,Soft wheat,-0.145559364673303,crop
EC-Earth3,-4.5,-4.5546,1,2083,gdd_mj,Soft wheat,-0.155524475834767,crop
EC-Earth3,-2.5,-2.5448,1,2084,gdd_mj,Soft wheat,-0.123457955889415,crop
EC-Earth3,-2.5,-2.5448,1,2085,gdd_mj,Soft wheat,-0.199527966125529,crop
EC-Earth3,-3.5,-3.4737,1,2086,gdd_mj,Soft wheat,-0.205025634721516,crop
EC-Earth3,-3.5,-3.4737,1,2087,gdd_mj,Soft wheat,-0.19508961843671,crop
EC-Earth3,-3.5,-3.4737,1,2088,gdd_mj,Soft wheat,-0.190322823057927,crop
EC-Earth3,-4.5,-4.5546,1,2089,gdd_mj,Soft wheat,-0.173315862093979,crop
EC-Earth3,-4.5,-4.5546,1,2091,gdd_mj,Soft wheat,-0.206045825654767,crop
EC-Earth3,-4.5,-4.5546,1,2092,gdd_mj,Soft wheat,-0.181842423716559,crop
EC-Earth3,-4.5,-4.5546,1,2093,gdd_mj,Soft wheat,-0.179110698293813,crop
EC-Earth3,-4.5,-4.5546,1,2094,gdd_mj,Soft wheat,-0.230154491472643,crop
EC-Earth3,-3.5,-3.4737,1,2095,gdd_mj,Soft wheat,-0.188776921679691,crop
EC-Earth3,-3.5,-3.4737,1,2096,gdd_mj,Soft wheat,-0.314212530976747,crop
EC-Earth3,-3.5,-3.4737,1,2097,gdd_mj,Soft wheat,-0.243440503778892,crop
EC-Earth3,-3.5,-3.4737,1,2099,gdd_mj,Soft wheat,-0.202332597462803,crop
EC-Earth3,-4.5,-4.5546,1,2100,gdd_mj,Soft wheat,-0.201327154336476,crop
EC-Earth3,-2.5,-2.5448,1,2071,heat_mj,Soft wheat,-0.126622316966296,crop
EC-Earth3,-2.5,-2.5448,1,2072,heat_mj,Soft wheat,-0.0816091587652112,crop
EC-Earth3,-2.5,-2.5448,1,2073,heat_mj,Soft wheat,-0.1045326955433,crop
EC-Earth3,-2.5,-2.5448,1,2075,heat_mj,Soft wheat,-0.124322335155933,crop
EC-Earth3,-2.5,-2.5448,1,2076,heat_mj,Soft wheat,-0.113252073969439,crop
EC-Earth3,-2.5,-2.5448,1,2077,heat_mj,Soft wheat,-0.117776057182255,crop
EC-Earth3,-3.5,-3.4737,1,2078,heat_mj,Soft wheat,-0.10295459035561,crop
EC-Earth3,-2.5,-2.5448,1,2079,heat_mj,Soft wheat,-0.123540335645521,crop
EC-Earth3,-2.5,-2.5448,1,2080,heat_mj,Soft wheat,-0.100635845792406,crop
EC-Earth3,-2.5,-2.5448,1,2081,heat_mj,Soft wheat,-0.0831318451937409,crop
EC-Earth3,-4.5,-4.5546,1,2082,heat_mj,Soft wheat,-0.075435621878446,crop
EC-Earth3,-4.5,-4.5546,1,2083,heat_mj,Soft wheat,-0.0634767875860538,crop
EC-Earth3,-2.5,-2.5448,1,2084,heat_mj,Soft wheat,-0.0865358527317428,crop
EC-Earth3,-2.5,-2.5448,1,2085,heat_mj,Soft wheat,-0.152656653740913,crop
EC-Earth3,-3.5,-3.4737,1,2086,heat_mj,Soft wheat,-0.111172664677736,crop
EC-Earth3,-3.5,-3.4737,1,2087,heat_mj,Soft wheat,-0.128424909427952,crop
EC-Earth3,-3.5,-3.4737,1,2088,heat_mj,Soft wheat,-0.103600104411904,crop
EC-Earth3,-4.5,-4.5546,1,2089,heat_mj,Soft wheat,-0.0885529153824246,crop
EC-Earth3,-4.5,-4.5546,1,2091,heat_mj,Soft wheat,-0.126015002570607,crop
EC-Earth3,-4.5,-4.5546,1,2092,heat_mj,Soft wheat,-0.134177912613311,crop
EC-Earth3,-4.5,-4.5546,1,2093,heat_mj,Soft wheat,-0.153164980751997,crop
EC-Earth3,-4.5,-4.5546,1,2094,heat_mj,Soft wheat,-0.129832941664045,crop
EC-Earth3,-3.5,-3.4737,1,2095,heat_mj,Soft wheat,-0.141521491710996,crop
EC-Earth3,-3.5,-3.4737,1,2096,heat_mj,Soft wheat,-0.291270773843745,crop
EC-Earth3,-3.5,-3.4737,1,2097,heat_mj,Soft wheat,-0.204467969799837,crop
EC-Earth3,-3.5,-3.4737,1,2099,heat_mj,Soft wheat,-0.137850868469719,crop
EC-Earth3,-4.5,-4.5546,1,2100,heat_mj,Soft wheat,-0.128206479177335,crop
EC-Earth3,-2.5,-2.5448,1,2071,frost_mj,Soft wheat,0.0445178092347459,crop
EC-Earth3,-2.5,-2.5448,1,2072,frost_mj,Soft wheat,0.0379048468956053,crop
EC-Earth3,-2.5,-2.5448,1,2073,frost_mj,Soft wheat,0.0287073480765582,crop
EC-Earth3,-2.5,-2.5448,1,2075,frost_mj,Soft wheat,0.0350162509455532,crop
EC-Earth3,-2.5,-2.5448,1,2076,frost_mj,Soft wheat,0.0423542143049206,crop
EC-Earth3,-2.5,-2.5448,1,2077,frost_mj,Soft wheat,0.0179684639469915,crop
EC-Earth3,-3.5,-3.4737,1,2078,frost_mj,Soft wheat,0.0443169616380154,crop
EC-Earth3,-2.5,-2.5448,1,2079,frost_mj,Soft wheat,0.0415479130704641,crop
EC-Earth3,-2.5,-2.5448,1,2080,frost_mj,Soft wheat,0.0454083483765537,crop
EC-Earth3,-2.5,-2.5448,1,2081,frost_mj,Soft wheat,0.0408811270426705,crop
EC-Earth3,-4.5,-4.5546,1,2082,frost_mj,Soft wheat,0.0266241026347651,crop
EC-Earth3,-4.5,-4.5546,1,2083,frost_mj,Soft wheat,0.0459245007198148,crop
EC-Earth3,-2.5,-2.5448,1,2084,frost_mj,Soft wheat,0.0360019526656733,crop
EC-Earth3,-2.5,-2.5448,1,2085,frost_mj,Soft wheat,0.0449135507802824,crop
EC-Earth3,-3.5,-3.4737,1,2086,frost_mj,Soft wheat,0.0482015889860933,crop
EC-Earth3,-3.5,-3.4737,1,2087,frost_mj,Soft wheat,0.0337201151161628,crop
EC-Earth3,-3.5,-3.4737,1,2088,frost_mj,Soft wheat,0.0494285929260897,crop
EC-Earth3,-4.5,-4.5546,1,2089,frost_mj,Soft wheat,0.0340364719953725,crop
EC-Earth3,-4.5,-4.5546,1,2091,frost_mj,Soft wheat,0.0450229331532662,crop
EC-Earth3,-4.5,-4.5546,1,2092,frost_mj,Soft wheat,0.0437736307177536,crop
EC-Earth3,-4.5,-4.5546,1,2093,frost_mj,Soft wheat,0.0408798673764847,crop
EC-Earth3,-4.5,-4.5546,1,2094,frost_mj,Soft wheat,0.050997746692923,crop
EC-Earth3,-3.5,-3.4737,1,2095,frost_mj,Soft wheat,0.0408466853422899,crop
EC-Earth3,-3.5,-3.4737,1,2096,frost_mj,Soft wheat,0.0492378454879726,crop
EC-Earth3,-3.5,-3.4737,1,2097,frost_mj,Soft wheat,0.0434998434808674,crop
EC-Earth3,-3.5,-3.4737,1,2099,frost_mj,Soft wheat,0.0480679953241137,crop
EC-Earth3,-4.5,-4.5546,1,2100,frost_mj,Soft wheat,0.0489330774595191,crop
EC-Earth3,-2.5,-2.5448,1,2071,precip_mj,Soft wheat,-0.0367126426193288,crop
EC-Earth3,-2.5,-2.5448,1,2072,precip_mj,Soft wheat,0.007953146984463,crop
EC-Earth3,-2.5,-2.5448,1,2073,precip_mj,Soft wheat,-0.0242195029283752,crop
EC-Earth3,-2.5,-2.5448,1,2075,precip_mj,Soft wheat,-0.0273003491094743,crop
EC-Earth3,-2.5,-2.5448,1,2076,precip_mj,Soft wheat,-0.0392042053578407,crop
EC-Earth3,-2.5,-2.5448,1,2077,precip_mj,Soft wheat,-0.034639973936438,crop
EC-Earth3,-3.5,-3.4737,1,2078,precip_mj,Soft wheat,0.0279362120803911,crop
EC-Earth3,-2.5,-2.5448,1,2079,precip_mj,Soft wheat,-0.00731351903301743,crop
EC-Earth3,-2.5,-2.5448,1,2080,precip_mj,Soft wheat,-0.0427473186136705,crop
EC-Earth3,-2.5,-2.5448,1,2081,precip_mj,Soft wheat,0.0227410437298783,crop
EC-Earth3,-4.5,-4.5546,1,2082,precip_mj,Soft wheat,0.0776823980688185,crop
EC-Earth3,-4.5,-4.5546,1,2083,precip_mj,Soft wheat,0.0533966668866044,crop
EC-Earth3,-2.5,-2.5448,1,2084,precip_mj,Soft wheat,-0.0376223779874746,crop
EC-Earth3,-2.5,-2.5448,1,2085,precip_mj,Soft wheat,-0.0581264116168409,crop
EC-Earth3,-3.5,-3.4737,1,2086,precip_mj,Soft wheat,-0.0364719227001433,crop
EC-Earth3,-3.5,-3.4737,1,2087,precip_mj,Soft wheat,-0.0797547775388834,crop
EC-Earth3,-3.5,-3.4737,1,2088,precip_mj,Soft wheat,0.0304600231775733,crop
EC-Earth3,-4.5,-4.5546,1,2089,precip_mj,Soft wheat,0.0456199860655659,crop
EC-Earth3,-4.5,-4.5546,1,2091,precip_mj,Soft wheat,-0.0487050233963152,crop
EC-Earth3,-4.5,-4.5546,1,2092,precip_mj,Soft wheat,-0.0565190197111191,crop
EC-Earth3,-4.5,-4.5546,1,2093,precip_mj,Soft wheat,-0.0277346422364437,crop
EC-Earth3,-4.5,-4.5546,1,2094,precip_mj,Soft wheat,-0.0266180572805295,crop
EC-Earth3,-3.5,-3.4737,1,2095,precip_mj,Soft wheat,-0.0903617087759391,crop
EC-Earth3,-3.5,-3.4737,1,2096,precip_mj,Soft wheat,-0.183069863110622,crop
EC-Earth3,-3.5,-3.4737,1,2097,precip_mj,Soft wheat,-0.0388714770719793,crop
EC-Earth3,-3.5,-3.4737,1,2099,precip_mj,Soft wheat,0.0455596593472092,crop
EC-Earth3,-4.5,-4.5546,1,2100,precip_mj,Soft wheat,0.0054210212487808,crop
EC-Earth3,-2.5,-2.5448,1,2071,precip_mj2,Soft wheat,0.0212207503014096,crop
EC-Earth3,-2.5,-2.5448,1,2072,precip_mj2,Soft wheat,-0.0201085202584885,crop
EC-Earth3,-2.5,-2.5448,1,2073,precip_mj2,Soft wheat,0.0160085276971519,crop
EC-Earth3,-2.5,-2.5448,1,2075,precip_mj2,Soft wheat,0.016758304884411,crop
EC-Earth3,-2.5,-2.5448,1,2076,precip_mj2,Soft wheat,0.0245198148475146,crop
EC-Earth3,-2.5,-2.5448,1,2077,precip_mj2,Soft wheat,0.0249216698866122,crop
EC-Earth3,-3.5,-3.4737,1,2078,precip_mj2,Soft wheat,-0.0388625097103945,crop
EC-Earth3,-2.5,-2.5448,1,2079,precip_mj2,Soft wheat,-0.00839584068311635,crop
EC-Earth3,-2.5,-2.5448,1,2080,precip_mj2,Soft wheat,0.0139654544502791,crop
EC-Earth3,-2.5,-2.5448,1,2081,precip_mj2,Soft wheat,-0.0295422536652569,crop
EC-Earth3,-4.5,-4.5546,1,2082,precip_mj2,Soft wheat,-0.0862149102741233,crop
EC-Earth3,-4.5,-4.5546,1,2083,precip_mj2,Soft wheat,-0.0603199375459675,crop
EC-Earth3,-2.5,-2.5448,1,2084,precip_mj2,Soft wheat,0.018201180793329,crop
EC-Earth3,-2.5,-2.5448,1,2085,precip_mj2,Soft wheat,0.0379468903702949,crop
EC-Earth3,-3.5,-3.4737,1,2086,precip_mj2,Soft wheat,0.0182439515508605,crop
EC-Earth3,-3.5,-3.4737,1,2087,precip_mj2,Soft wheat,0.0552758348474998,crop
EC-Earth3,-3.5,-3.4737,1,2088,precip_mj2,Soft wheat,-0.0479553402286377,crop
EC-Earth3,-4.5,-4.5546,1,2089,precip_mj2,Soft wheat,-0.0492637833080694,crop
EC-Earth3,-4.5,-4.5546,1,2091,precip_mj2,Soft wheat,0.0300310649736255,crop
EC-Earth3,-4.5,-4.5546,1,2092,precip_mj2,Soft wheat,0.0393163861589586,crop
EC-Earth3,-4.5,-4.5546,1,2093,precip_mj2,Soft wheat,0.0147171791794198,crop
EC-Earth3,-4.5,-4.5546,1,2094,precip_mj2,Soft wheat,0.00834724918948861,crop
EC-Earth3,-3.5,-3.4737,1,2095,precip_mj2,Soft wheat,0.0610810172034875,crop
EC-Earth3,-3.5,-3.4737,1,2096,precip_mj2,Soft wheat,0.109517300510865,crop
EC-Earth3,-3.5,-3.4737,1,2097,precip_mj2,Soft wheat,0.0175739492224916,crop
EC-Earth3,-3.5,-3.4737,1,2099,precip_mj2,Soft wheat,-0.0687027037069127,crop
EC-Earth3,-4.5,-4.5546,1,2100,precip_mj2,Soft wheat,-0.0188666105719238,crop
EC-Earth3,-2.5,-2.5448,1,2071,gdd_mj,Spring barley,-0.377745531035638,crop
EC-Earth3,-2.5,-2.5448,1,2072,gdd_mj,Spring barley,-0.286133365740666,crop
EC-Earth3,-2.5,-2.5448,1,2073,gdd_mj,Spring barley,-0.315100131760205,crop
EC-Earth3,-2.5,-2.5448,1,2075,gdd_mj,Spring barley,-0.361376691939325,crop
EC-Earth3,-2.5,-2.5448,1,2076,gdd_mj,Spring barley,-0.385007663607742,crop
EC-Earth3,-2.5,-2.5448,1,2077,gdd_mj,Spring barley,-0.26998216377823,crop
EC-Earth3,-3.5,-3.4737,1,2078,gdd_mj,Spring barley,-0.354783202181035,crop
EC-Earth3,-2.5,-2.5448,1,2079,gdd_mj,Spring barley,-0.320856141666178,crop
EC-Earth3,-2.5,-2.5448,1,2080,gdd_mj,Spring barley,-0.382737605670171,crop
EC-Earth3,-2.5,-2.5448,1,2081,gdd_mj,Spring barley,-0.302617995255997,crop
EC-Earth3,-4.5,-4.5546,1,2082,gdd_mj,Spring barley,-0.285824106356629,crop
EC-Earth3,-4.5,-4.5546,1,2083,gdd_mj,Spring barley,-0.288143564142045,crop
EC-Earth3,-2.5,-2.5448,1,2084,gdd_mj,Spring barley,-0.34253632630808,crop
EC-Earth3,-2.5,-2.5448,1,2085,gdd_mj,Spring barley,-0.411212099385855,crop
EC-Earth3,-3.5,-3.4737,1,2086,gdd_mj,Spring barley,-0.429029771429422,crop
EC-Earth3,-3.5,-3.4737,1,2087,gdd_mj,Spring barley,-0.382943278512898,crop
EC-Earth3,-3.5,-3.4737,1,2088,gdd_mj,Spring barley,-0.369743664150618,crop
EC-Earth3,-4.5,-4.5546,1,2089,gdd_mj,Spring barley,-0.357454965559955,crop
