model,bin_id,delta_sv,n_years,ssp_year,component,crop,dln,branch
EC-Earth3,-1.5,-1.5166,1,2071,gdd,Soft wheat,0.00030528509414787,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2072,gdd,Soft wheat,0.00017987905031804,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2073,gdd,Soft wheat,0.000132105216910458,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2074,gdd,Soft wheat,0.000120429181061633,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2075,gdd,Soft wheat,0.000183203833673496,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2076,gdd,Soft wheat,0.000123558276306231,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2077,gdd,Soft wheat,-8.94140374765654e-05,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2078,gdd,Soft wheat,7.93726760307549e-05,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2079,gdd,Soft wheat,0.000123491982152033,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2080,gdd,Soft wheat,0.000150192274740145,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2081,gdd,Soft wheat,0.000446524455719668,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2082,gdd,Soft wheat,4.70925345056305e-05,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2083,gdd,Soft wheat,9.69805489109946e-05,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2084,gdd,Soft wheat,-0.000154991623864499,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2085,gdd,Soft wheat,8.76403176352616e-05,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2086,gdd,Soft wheat,-1.36659586617955e-05,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2087,gdd,Soft wheat,7.85719454229543e-05,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2088,gdd,Soft wheat,0.00014916969540512,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2089,gdd,Soft wheat,8.63692672267576e-05,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2090,gdd,Soft wheat,0.000279881319755474,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2092,gdd,Soft wheat,7.10492014121417e-05,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2093,gdd,Soft wheat,-7.45427755290396e-05,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2094,gdd,Soft wheat,0.000614180129621822,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2095,gdd,Soft wheat,0.00014204285591223,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2096,gdd,Soft wheat,0.000253366486662648,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2097,gdd,Soft wheat,0.000107838096557389,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2098,gdd,Soft wheat,0.000130007976298974,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2099,gdd,Soft wheat,8.50774997843001e-05,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2100,gdd,Soft wheat,0.00012974710604594,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2071,heat,Soft wheat,-0.0183533517664203,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2072,heat,Soft wheat,-0.024895104450719,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2073,heat,Soft wheat,-0.0173361767367727,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2074,heat,Soft wheat,-0.0149579555695381,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2075,heat,Soft wheat,-0.0201633209649272,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2076,heat,Soft wheat,-0.0108161297044904,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2077,heat,Soft wheat,-0.000131140163865756,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2078,heat,Soft wheat,-0.00260439635817645,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2079,heat,Soft wheat,-0.0294266141656881,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2080,heat,Soft wheat,-0.0254135730144023,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2081,heat,Soft wheat,-0.0196143718179938,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2082,heat,Soft wheat,-0.00989864430434702,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2083,heat,Soft wheat,0.00606252663471591,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2084,heat,Soft wheat,0.000449986880979268,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2085,heat,Soft wheat,-0.0158970403214193,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2086,heat,Soft wheat,-0.0108871828876578,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2087,heat,Soft wheat,-0.00624856814041271,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2088,heat,Soft wheat,-0.0171881756607773,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2089,heat,Soft wheat,-0.0153783525552557,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2090,heat,Soft wheat,-0.0168188799353106,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2092,heat,Soft wheat,-0.00685296017220917,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2093,heat,Soft wheat,0.000476072732996948,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2094,heat,Soft wheat,-0.0384611421835453,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2095,heat,Soft wheat,-0.0138555311376103,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2096,heat,Soft wheat,-0.0102265185434786,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2097,heat,Soft wheat,-0.0157613786295826,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2098,heat,Soft wheat,-0.00919263433486289,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2099,heat,Soft wheat,-0.00463870399267801,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2100,heat,Soft wheat,-0.0101195271958359,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2071,frost,Soft wheat,-0.00112948909805872,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2072,frost,Soft wheat,-0.000106172807811044,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2073,frost,Soft wheat,-0.0030451319883656,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2074,frost,Soft wheat,-0.000990331379316278,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2075,frost,Soft wheat,-0.00148251347110186,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2076,frost,Soft wheat,0.00145995182536987,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2077,frost,Soft wheat,0.00165395625445633,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2078,frost,Soft wheat,-0.000241108578377812,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2079,frost,Soft wheat,-0.00287078670571345,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2080,frost,Soft wheat,-0.00151026202128403,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2081,frost,Soft wheat,0.0022237964312838,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2082,frost,Soft wheat,0.00450005447801867,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2083,frost,Soft wheat,-0.00319356472183283,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2084,frost,Soft wheat,0.00155123610678787,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2085,frost,Soft wheat,-0.00268436728624061,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2086,frost,Soft wheat,-0.0017040566482053,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2087,frost,Soft wheat,-0.00205637080327111,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2088,frost,Soft wheat,-0.00110441716118922,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2089,frost,Soft wheat,-0.00340925576092965,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2090,frost,Soft wheat,0.00674975560729251,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2092,frost,Soft wheat,-0.00410724681134207,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2093,frost,Soft wheat,0.000924422356960719,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2094,frost,Soft wheat,0.000927989001719731,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2095,frost,Soft wheat,-0.00226054522631474,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2096,frost,Soft wheat,0.00079203918379043,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2097,frost,Soft wheat,0.000675213187994806,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2098,frost,Soft wheat,-0.000907895844519101,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2099,frost,Soft wheat,0.00162328584321137,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2100,frost,Soft wheat,0.00081151454515674,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2071,precip,Soft wheat,-0.0249698037966169,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2072,precip,Soft wheat,0.0144317526299764,crop_gddwin
EC-Earth3,-3.5,-3.2771,1,2073,precip,Soft wheat,-0.0487516385452704,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2074,precip,Soft wheat,0.0314800123746984,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2075,precip,Soft wheat,-0.0254468282488272,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2076,precip,Soft wheat,0.0328355918555647,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2077,precip,Soft wheat,0.0215146955741971,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2078,precip,Soft wheat,0.0225475956269987,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2079,precip,Soft wheat,-0.00763337803231682,crop_gddwin
EC-Earth3,-1.5,-1.5166,1,2080,precip,Soft wheat,-0.0531109892792616,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2081,precip,Soft wheat,0.0174251592634719,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2082,precip,Soft wheat,0.058417633596943,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2083,precip,Soft wheat,0.102351591433293,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2084,precip,Soft wheat,0.0841590838723479,crop_gddwin
EC-Earth3,-2.5,-2.5562,1,2085,precip,Soft wheat,0.0289031416124577,crop_gddwin
