model,bin_id,delta_sv,n_years,ssp_year,component,crop,dln,branch
EC-Earth3,-2.5,-2.5448,1,2071,gdd,Soft wheat,0.000324926056387396,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2072,gdd,Soft wheat,0.000115700987599907,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2073,gdd,Soft wheat,0.000401928271001469,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2075,gdd,Soft wheat,0.000481153292253265,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2076,gdd,Soft wheat,0.00051290210361554,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2077,gdd,Soft wheat,0.000759930293013787,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2078,gdd,Soft wheat,0.000437569871628283,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2079,gdd,Soft wheat,0.000245094139028638,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2080,gdd,Soft wheat,0.000201028411063105,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2081,gdd,Soft wheat,0.000367947886847003,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2082,gdd,Soft wheat,0.000499577040577069,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2083,gdd,Soft wheat,0.000393373140996684,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2084,gdd,Soft wheat,0.000140668774564821,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2085,gdd,Soft wheat,0.000231992850896269,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2086,gdd,Soft wheat,5.37490264498202e-05,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2087,gdd,Soft wheat,0.000422225309700404,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2088,gdd,Soft wheat,0.000275857235503441,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2089,gdd,Soft wheat,0.000234320486005434,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2091,gdd,Soft wheat,0.000144321856837086,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2092,gdd,Soft wheat,0.000625553375344662,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2093,gdd,Soft wheat,0.00066762099288744,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2094,gdd,Soft wheat,-0.000172689076367376,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2095,gdd,Soft wheat,0.000200525186026989,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2096,gdd,Soft wheat,0.000198176142472418,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2097,gdd,Soft wheat,0.000597687597149902,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2099,gdd,Soft wheat,0.000219333767547553,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2100,gdd,Soft wheat,0.000167231400586612,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2071,heat,Soft wheat,-0.0310432037675924,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2072,heat,Soft wheat,-0.00639449811521374,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2073,heat,Soft wheat,-0.0404756727592731,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2075,heat,Soft wheat,-0.0276437707270623,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2076,heat,Soft wheat,-0.0263672762468969,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2077,heat,Soft wheat,-0.0368795517523155,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2078,heat,Soft wheat,-0.0211436202392318,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2079,heat,Soft wheat,-0.0191417367486898,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2080,heat,Soft wheat,-0.0115106960533297,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2081,heat,Soft wheat,-0.0127382100505483,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2082,heat,Soft wheat,-0.0217935639454862,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2083,heat,Soft wheat,-0.0147589696690096,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2084,heat,Soft wheat,-0.0136130464098087,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2085,heat,Soft wheat,-0.0144498381823583,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2086,heat,Soft wheat,-0.00497506361145467,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2087,heat,Soft wheat,-0.0280663084606864,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2088,heat,Soft wheat,-0.0218896446893103,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2089,heat,Soft wheat,-0.00791617271983615,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2091,heat,Soft wheat,-0.0140665136758589,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2092,heat,Soft wheat,-0.021016009386037,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2093,heat,Soft wheat,-0.0403262305146022,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2094,heat,Soft wheat,0.00152509905066539,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2095,heat,Soft wheat,-0.0194602921490206,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2096,heat,Soft wheat,-0.0424446432057082,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2097,heat,Soft wheat,-0.0350447586975453,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2099,heat,Soft wheat,-0.0152843911181546,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2100,heat,Soft wheat,-0.0176631942268408,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2071,frost,Soft wheat,0.00158123576187263,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2072,frost,Soft wheat,-0.00109422572958661,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2073,frost,Soft wheat,-0.00324220771860203,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2075,frost,Soft wheat,-0.00148951821452556,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2076,frost,Soft wheat,-0.000486923499677636,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2077,frost,Soft wheat,0.00277119455229825,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2078,frost,Soft wheat,-0.00265161642316664,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2079,frost,Soft wheat,-0.00274070098960412,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2080,frost,Soft wheat,-0.00273148408025974,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2081,frost,Soft wheat,-0.00105756756772239,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2082,frost,Soft wheat,0.00077443121882763,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2083,frost,Soft wheat,-0.00466845562101649,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2084,frost,Soft wheat,-0.00118492164287939,crop_gddwin
EC-Earth3,-2.5,-2.5448,1,2085,frost,Soft wheat,-0.00331018350266798,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2086,frost,Soft wheat,-0.00310691102536356,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2087,frost,Soft wheat,-0.00308642213039195,crop_gddwin
EC-Earth3,-3.5,-3.4737,1,2088,frost,Soft wheat,-0.00392693929167496,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2089,frost,Soft wheat,-0.00139199171367563,crop_gddwin
EC-Earth3,-4.5,-4.5546,1,2091,frost,Soft wheat,-0.00238269366504334,crop_gddwin
