model,bin_id,delta_sv,n_years,ssp_year,component,crop,dln,branch
IPSL-CM6A-LR,-3.5,-3.4498,1,2071,gdd,Soft wheat,7.68978410352651e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2072,gdd,Soft wheat,0.000375487194733005,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2073,gdd,Soft wheat,0.000336054821923886,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2074,gdd,Soft wheat,0.000410293047774322,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2075,gdd,Soft wheat,-0.000122170660928836,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2076,gdd,Soft wheat,8.4228643943089e-05,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2077,gdd,Soft wheat,0.000184445907781093,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2078,gdd,Soft wheat,-1.1836907102626e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2079,gdd,Soft wheat,-0.000157248091711686,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2080,gdd,Soft wheat,-5.37776089198931e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2081,gdd,Soft wheat,0.00018936936272144,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2082,gdd,Soft wheat,5.22787831802782e-05,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2084,gdd,Soft wheat,6.14880907479604e-05,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2085,gdd,Soft wheat,-8.59471443037934e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2086,gdd,Soft wheat,0.000129430848900188,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2087,gdd,Soft wheat,0.00014460516140624,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.291,1,2088,gdd,Soft wheat,6.44985525724624e-05,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2089,gdd,Soft wheat,-0.000127893003504398,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2090,gdd,Soft wheat,-4.33164280089929e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2091,gdd,Soft wheat,-9.34585655298125e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2092,gdd,Soft wheat,0.000137336781091507,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2093,gdd,Soft wheat,8.21685712640094e-05,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2094,gdd,Soft wheat,-0.000317708291128928,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.4498,1,2095,gdd,Soft wheat,-0.000208210116278488,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.5023,1,2096,gdd,Soft wheat,0.00011966117779515,crop_gddwin
