model,bin_id,delta_sv,n_years,ssp_year,component,crop,dln,branch
IPSL-CM6A-LR,-4.5,-4.3046,1,2071,gdd,Soft wheat,0.000177654397497071,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.5013,1,2072,gdd,Soft wheat,0.000623968657136961,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.2964,1,2073,gdd,Soft wheat,0.000182331020349144,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.2964,1,2074,gdd,Soft wheat,0.000212380306230562,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.2964,1,2075,gdd,Soft wheat,0.000499049361892685,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.2964,1,2076,gdd,Soft wheat,0.000232131223850996,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2077,gdd,Soft wheat,-4.87656807150573e-05,crop_gddwin
IPSL-CM6A-LR,-5.5,-5.3985,1,2078,gdd,Soft wheat,-9.97978678077096e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.5013,1,2079,gdd,Soft wheat,0.000483244563518885,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.2964,1,2080,gdd,Soft wheat,-0.000250117556237466,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2081,gdd,Soft wheat,0.000335272826745366,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2082,gdd,Soft wheat,0.000780171088817323,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2083,gdd,Soft wheat,0.000297636475607466,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2084,gdd,Soft wheat,0.000269104829342335,crop_gddwin
IPSL-CM6A-LR,-5.5,-5.3985,1,2085,gdd,Soft wheat,0.000124659464397577,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.5013,1,2086,gdd,Soft wheat,-0.000357512767467801,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.5013,1,2087,gdd,Soft wheat,0.000287817515268742,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2088,gdd,Soft wheat,0.000147126017199134,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.5013,1,2089,gdd,Soft wheat,0.000720751974540352,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.5013,1,2090,gdd,Soft wheat,0.000202843530812296,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2091,gdd,Soft wheat,-8.13889317893888e-05,crop_gddwin
IPSL-CM6A-LR,-5.5,-5.3985,1,2092,gdd,Soft wheat,4.39341951400857e-06,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2093,gdd,Soft wheat,0.000123619950309941,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.2964,1,2094,gdd,Soft wheat,4.73703701193397e-05,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.5013,1,2095,gdd,Soft wheat,0.000824457712186771,crop_gddwin
IPSL-CM6A-LR,-5.5,-5.3985,1,2096,gdd,Soft wheat,2.40005641157887e-05,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2098,gdd,Soft wheat,-8.33515508092255e-05,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2099,gdd,Soft wheat,0.00029388572876444,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2100,gdd,Soft wheat,0.000374074525620786,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2071,heat,Soft wheat,-0.0433404597979355,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.5013,1,2072,heat,Soft wheat,-0.0427659231116157,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.2964,1,2073,heat,Soft wheat,-0.0222614323864413,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.2964,1,2074,heat,Soft wheat,-0.0150036773981277,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.2964,1,2075,heat,Soft wheat,-0.028417879755452,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.2964,1,2076,heat,Soft wheat,-0.021938400548577,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2077,heat,Soft wheat,-0.00534768819466099,crop_gddwin
IPSL-CM6A-LR,-5.5,-5.3985,1,2078,heat,Soft wheat,-0.011850816044907,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.5013,1,2079,heat,Soft wheat,-0.0330393177230295,crop_gddwin
IPSL-CM6A-LR,-2.5,-2.2964,1,2080,heat,Soft wheat,-0.0240591143814291,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2081,heat,Soft wheat,-0.00872959660368879,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2082,heat,Soft wheat,-0.0708973966530436,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2083,heat,Soft wheat,-0.0170628620756419,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2084,heat,Soft wheat,-0.0351538626441706,crop_gddwin
IPSL-CM6A-LR,-5.5,-5.3985,1,2085,heat,Soft wheat,-0.0227848802326929,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.5013,1,2086,heat,Soft wheat,-0.00481586769640685,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.5013,1,2087,heat,Soft wheat,-0.0273377112805098,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2088,heat,Soft wheat,-0.00889436110388175,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.5013,1,2089,heat,Soft wheat,-0.0417436932113072,crop_gddwin
IPSL-CM6A-LR,-3.5,-3.5013,1,2090,heat,Soft wheat,-0.0210736676021401,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2091,heat,Soft wheat,-0.0200375068923873,crop_gddwin
IPSL-CM6A-LR,-5.5,-5.3985,1,2092,heat,Soft wheat,-0.0119954507534962,crop_gddwin
IPSL-CM6A-LR,-4.5,-4.3046,1,2093,heat,Soft wheat,-0.0408318171915207,crop_gddwin
