model,bin_id,delta_sv,n_years,ssp_year,component,crop,dln,branch
IPSL-CM6A-LR,-2.5,-2.5185,1,2071,gdd_mj,Soft wheat,-0.0394275681922253,crop
IPSL-CM6A-LR,-2.5,-2.5185,1,2072,gdd_mj,Soft wheat,-0.0284967175598777,crop
IPSL-CM6A-LR,-3.5,-3.4513,1,2073,gdd_mj,Soft wheat,-0.0990133280885946,crop
IPSL-CM6A-LR,-1.5,-1.7768,1,2074,gdd_mj,Soft wheat,-0.119158005701089,crop
IPSL-CM6A-LR,-2.5,-2.5185,1,2075,gdd_mj,Soft wheat,-0.0599324079489622,crop
IPSL-CM6A-LR,-2.5,-2.5185,1,2076,gdd_mj,Soft wheat,-0.0654076615911587,crop
IPSL-CM6A-LR,-1.5,-1.7768,1,2077,gdd_mj,Soft wheat,-0.116872456859057,crop
IPSL-CM6A-LR,-1.5,-1.7768,1,2078,gdd_mj,Soft wheat,-0.0568657940510977,crop
IPSL-CM6A-LR,-2.5,-2.5185,1,2079,gdd_mj,Soft wheat,-0.0745647906562676,crop
IPSL-CM6A-LR,-3.5,-3.4513,1,2080,gdd_mj,Soft wheat,-0.0650403139310975,crop
IPSL-CM6A-LR,-3.5,-3.4513,1,2081,gdd_mj,Soft wheat,-0.0497400226150021,crop
IPSL-CM6A-LR,-2.5,-2.5185,1,2082,gdd_mj,Soft wheat,-0.0638272328854643,crop
IPSL-CM6A-LR,-2.5,-2.5185,1,2083,gdd_mj,Soft wheat,-0.0641529827502336,crop
IPSL-CM6A-LR,-3.5,-3.4513,1,2084,gdd_mj,Soft wheat,-0.0654244713097355,crop
IPSL-CM6A-LR,-2.5,-2.5185,1,2085,gdd_mj,Soft wheat,-0.0758586288039937,crop
IPSL-CM6A-LR,-2.5,-2.5185,1,2086,gdd_mj,Soft wheat,-0.106574108813944,crop
IPSL-CM6A-LR,-3.5,-3.4513,1,2087,gdd_mj,Soft wheat,-0.101409114169086,crop
IPSL-CM6A-LR,-3.5,-3.4513,1,2088,gdd_mj,Soft wheat,-0.0802733158360111,crop
