model,bin_id,delta_sv,n_years,ssp_year,component,crop,dln,branch
IPSL-CM6A-LR,-4.5,-4.3046,1,2071,gdd_mj,Soft wheat,-0.108477031862429,crop
IPSL-CM6A-LR,-3.5,-3.5013,1,2072,gdd_mj,Soft wheat,-0.128380904713461,crop
IPSL-CM6A-LR,-2.5,-2.2964,1,2073,gdd_mj,Soft wheat,-0.121223898909994,crop
IPSL-CM6A-LR,-2.5,-2.2964,1,2074,gdd_mj,Soft wheat,-0.117212696274808,crop
IPSL-CM6A-LR,-2.5,-2.2964,1,2075,gdd_mj,Soft wheat,-0.0867664440697123,crop
IPSL-CM6A-LR,-2.5,-2.2964,1,2076,gdd_mj,Soft wheat,-0.14614703815103,crop
IPSL-CM6A-LR,-4.5,-4.3046,1,2077,gdd_mj,Soft wheat,-0.135407165516691,crop
IPSL-CM6A-LR,-5.5,-5.3985,1,2078,gdd_mj,Soft wheat,-0.192054078682717,crop
IPSL-CM6A-LR,-3.5,-3.5013,1,2079,gdd_mj,Soft wheat,-0.17203845432847,crop
IPSL-CM6A-LR,-2.5,-2.2964,1,2080,gdd_mj,Soft wheat,-0.14718588917305,crop
IPSL-CM6A-LR,-4.5,-4.3046,1,2081,gdd_mj,Soft wheat,-0.149210354716129,crop
IPSL-CM6A-LR,-4.5,-4.3046,1,2082,gdd_mj,Soft wheat,-0.163088651919595,crop
IPSL-CM6A-LR,-4.5,-4.3046,1,2083,gdd_mj,Soft wheat,-0.132658278343585,crop
IPSL-CM6A-LR,-4.5,-4.3046,1,2084,gdd_mj,Soft wheat,-0.135137242951816,crop
IPSL-CM6A-LR,-5.5,-5.3985,1,2085,gdd_mj,Soft wheat,-0.16026492333921,crop
IPSL-CM6A-LR,-3.5,-3.5013,1,2086,gdd_mj,Soft wheat,-0.161652111353256,crop
IPSL-CM6A-LR,-3.5,-3.5013,1,2087,gdd_mj,Soft wheat,-0.135500059819883,crop
IPSL-CM6A-LR,-4.5,-4.3046,1,2088,gdd_mj,Soft wheat,-0.137531063916885,crop
IPSL-CM6A-LR,-3.5,-3.5013,1,2089,gdd_mj,Soft wheat,-0.181159922265583,crop
IPSL-CM6A-LR,-3.5,-3.5013,1,2090,gdd_mj,Soft wheat,-0.149758356342031,crop
