model,bin_id,delta_sv,n_years,ssp_year,fuel,component,dln,branch
IPSL-CM6A-LR,-2.5,-2.5185,1,2071,Electricity,hdd_calendar,-0.0117722137526352,energy Electricity
IPSL-CM6A-LR,-2.5,-2.5185,1,2072,Electricity,hdd_calendar,-0.0237422990023148,energy Electricity
IPSL-CM6A-LR,-3.5,-3.4513,1,2073,Electricity,hdd_calendar,-0.0297761806555793,energy Electricity
IPSL-CM6A-LR,-1.5,-1.7768,1,2074,Electricity,hdd_calendar,-0.0283629424417851,energy Electricity
IPSL-CM6A-LR,-2.5,-2.5185,1,2075,Electricity,hdd_calendar,-0.0235212093406191,energy Electricity
IPSL-CM6A-LR,-2.5,-2.5185,1,2076,Electricity,hdd_calendar,-0.0199265071546183,energy Electricity
IPSL-CM6A-LR,-1.5,-1.7768,1,2077,Electricity,hdd_calendar,-0.0437159623773547,energy Electricity
IPSL-CM6A-LR,-1.5,-1.7768,1,2078,Electricity,hdd_calendar,-0.0258431986715412,energy Electricity
IPSL-CM6A-LR,-2.5,-2.5185,1,2079,Electricity,hdd_calendar,-0.0341186130813863,energy Electricity
IPSL-CM6A-LR,-3.5,-3.4513,1,2080,Electricity,hdd_calendar,-0.0342547182362148,energy Electricity
IPSL-CM6A-LR,-3.5,-3.4513,1,2081,Electricity,hdd_calendar,-0.0232317409853563,energy Electricity
IPSL-CM6A-LR,-2.5,-2.5185,1,2082,Electricity,hdd_calendar,-0.0257599546063199,energy Electricity
IPSL-CM6A-LR,-2.5,-2.5185,1,2083,Electricity,hdd_calendar,-0.0194427596657984,energy Electricity
IPSL-CM6A-LR,-3.5,-3.4513,1,2084,Electricity,hdd_calendar,-0.0224599414883407,energy Electricity
IPSL-CM6A-LR,-2.5,-2.5185,1,2085,Electricity,hdd_calendar,-0.0332782958803685,energy Electricity
IPSL-CM6A-LR,-2.5,-2.5185,1,2086,Electricity,hdd_calendar,-0.0414870147840179,energy Electricity
IPSL-CM6A-LR,-3.5,-3.4513,1,2087,Electricity,hdd_calendar,-0.0413841993300019,energy Electricity
IPSL-CM6A-LR,-3.5,-3.4513,1,2088,Electricity,hdd_calendar,-0.0279284084736127,energy Electricity
IPSL-CM6A-LR,-2.5,-2.5185,1,2089,Electricity,hdd_calendar,-0.0350293820746752,energy Electricity
