branch,model,bin_id,component,crop,n,mean,sd,lo,hi,central
crop,EC-Earth3,-3.5,frost_mj,ALL,5,0.0219745645053901,0.00850283463194537,0.00949309566489702,0.0324031449870632,0.0239877330001996
crop,EC-Earth3,-3.5,gdd_mj,ALL,5,-0.0981485722345917,0.037003410448932,-0.139399647959515,-0.0567835273076272,-0.0977626474561522
crop,EC-Earth3,-3.5,heat_mj,ALL,5,-0.0186770300484185,0.00757731048755777,-0.0282445016373125,-0.00811931915538078,-0.0164299471293075
crop,EC-Earth3,-3.5,precip_mj,ALL,5,0.032954800804511,0.0397716242429238,-0.0206848922671039,0.0915721801704073,0.0328426939168607
crop,EC-Earth3,-3.5,precip_mj2,ALL,5,-0.0448212522091596,0.0424863375505303,-0.108132882597984,0.0111716320394165,-0.035199239219397
crop,EC-Earth3,-3.5,frost_mj,Durum wheat,5,0.0105854068615352,0.00489839958240604,0.00366998786645584,0.0169615610858809,0.0117538542466196
crop,EC-Earth3,-3.5,gdd_mj,Durum wheat,5,-0.100243032328376,0.0319282541083775,-0.143443742811761,-0.0648026199140138,-0.101261271776158
crop,EC-Earth3,-3.5,heat_mj,Durum wheat,5,0.0241618016833094,0.00859172180713795,0.015469763946119,0.0366492840024403,0.0227821493350194
crop,EC-Earth3,-3.5,precip_mj,Durum wheat,5,-0.00113486339376022,0.0554530176110112,-0.058411261225924,0.0631939528571426,-0.00161911698323966
crop,EC-Earth3,-3.5,precip_mj2,Durum wheat,5,-0.0123831668777538,0.0433796470800243,-0.0717027722854665,0.031780575928314,-0.0027310650035353
crop,EC-Earth3,-3.5,frost_mj,Soft wheat,5,0.024542361748089,0.0100525551563274,0.00963883428998782,0.0370568581648131,0.0268561330111696
crop,EC-Earth3,-3.5,gdd_mj,Soft wheat,5,-0.0677960417950682,0.0308227382612979,-0.104002335666798,-0.0325487019989408,-0.067376144552609
crop,EC-Earth3,-3.5,heat_mj,Soft wheat,5,-0.0268415566661257,0.0135322083805121,-0.0420377319380314,-0.0102743017515994,-0.0229179864574391
crop,EC-Earth3,-3.5,precip_mj,Soft wheat,5,0.0387743673044845,0.0480215761235246,-0.0296216160678968,0.104968331893082,0.038730569303757
crop,EC-Earth3,-3.5,precip_mj2,Soft wheat,5,-0.0498755450126861,0.0506443596188067,-0.124005191570982,0.0175715722922662,-0.0400087132429308
crop,EC-Earth3,-3.5,frost_mj,Spring barley,5,0.0195479353524871,0.00564925257819366,0.0119544102109041,0.0253515247877921,0.0210209499518855
crop,EC-Earth3,-3.5,gdd_mj,Spring barley,5,-0.155773495685296,0.0423405659127748,-0.211136880023796,-0.114807932293292,-0.154795644564191
crop,EC-Earth3,-3.5,heat_mj,Spring barley,5,-0.0474987051078541,0.0127007257317885,-0.0625530447980631,-0.0273872543085191,-0.0444257557782237
crop,EC-Earth3,-3.5,precip_mj,Spring barley,5,0.0379453970033491,0.0274051973582609,-0.00805120271168615,0.0630261849941266,0.0377957903560507
crop,EC-Earth3,-3.5,precip_mj2,Spring barley,5,-0.0507673561906962,0.0296976859301076,-0.0748548488943767,0.000675316921127255,-0.0422209031415781
crop,EC-Earth3,-3.5,frost_mj,Winter barley,5,0.0231543910498505,0.0100505734684804,0.00961100310676432,0.0360910907948477,0.025316337454426
crop,EC-Earth3,-3.5,gdd_mj,Winter barley,5,-0.139430070516044,0.0716824800890776,-0.216387569621107,-0.064728721309854,-0.139008600595508
crop,EC-Earth3,-3.5,heat_mj,Winter barley,5,0.0251374706701749,0.0127522260280129,0.00913305329701971,0.0416708714705562,0.0219178215828787
crop,EC-Earth3,-3.5,precip_mj,Winter barley,5,0.0266254659508318,0.0541515728504639,-0.0541951996576507,0.097856158500856,0.0265564325260827
crop,EC-Earth3,-3.5,precip_mj2,Winter barley,5,-0.0390791332666636,0.0552451803474543,-0.116846003130774,0.0390446051237792,-0.0289484155007051
crop,EC-Earth3,-2.5,frost_mj,ALL,17,0.0150717348950028,0.0125947369589532,-0.00970678395458263,0.0328800227806143,0.0183121675861175
crop,EC-Earth3,-2.5,gdd_mj,ALL,17,-0.102219167279778,0.0399850364500348,-0.151462791983731,-0.0163839127217908,-0.101627421595127
crop,EC-Earth3,-2.5,heat_mj,ALL,17,-0.0258001833812998,0.0108215210727176,-0.0486313665526461,-0.0104941993217251,-0.0219860831472385
crop,EC-Earth3,-2.5,precip_mj,ALL,17,0.0148503143821623,0.034269068342419,-0.0580307308997861,0.0656358251495754,0.0146078042608987
crop,EC-Earth3,-2.5,precip_mj2,ALL,17,-0.0257961622863195,0.0313620192675152,-0.0708374283364404,0.0421961392938907,-0.0151183725670494
crop,EC-Earth3,-2.5,frost_mj,Durum wheat,17,0.00970941902991409,0.00844801943696832,-0.0099290907462578,0.0201666354472376,0.0124669158848035
crop,EC-Earth3,-2.5,gdd_mj,Durum wheat,17,-0.100672061997714,0.0339522441941707,-0.149652987407567,-0.023094922324596,-0.102024151571119
crop,EC-Earth3,-2.5,heat_mj,Durum wheat,17,0.0278766080344354,0.00788078781806506,0.0151556726205085,0.0445304402805083,0.0257259817772333
crop,EC-Earth3,-2.5,precip_mj,Durum wheat,17,0.00287624733333818,0.0505713450869218,-0.104274062773952,0.105788130303705,0.00201542462273894
crop,EC-Earth3,-2.5,precip_mj2,Durum wheat,17,-0.0166857268105487,0.0364822193085494,-0.100706223009542,0.0483974727428844,-0.00312542776966874
crop,EC-Earth3,-2.5,frost_mj,Soft wheat,17,0.0163709313235719,0.0146187743498147,-0.0122558361951866,0.0370936957060674,0.0200016140762505
crop,EC-Earth3,-2.5,gdd_mj,Soft wheat,17,-0.0717512072701936,0.0300671543633363,-0.114965493243403,-0.0076452295595227,-0.0710713623381673
crop,EC-Earth3,-2.5,heat_mj,Soft wheat,17,-0.0392343349531584,0.0178979407495703,-0.0789395150066372,-0.0129205353400512,-0.0331829430502891
crop,EC-Earth3,-2.5,precip_mj,Soft wheat,17,0.0187564859516141,0.038832126962441,-0.0741499837378561,0.0777047246074038,0.0186175329632991
crop,EC-Earth3,-2.5,precip_mj2,Soft wheat,17,-0.0292211006322811,0.0375517399028599,-0.0954926633199048,0.0562330469837438,-0.0186756266733963
crop,EC-Earth3,-2.5,frost_mj,Spring barley,17,0.0142697251173374,0.00798845095519144,-0.00173884131405803,0.0254385859654229,0.0162689583763072
crop,EC-Earth3,-2.5,gdd_mj,Spring barley,17,-0.153828748162244,0.0578076921870488,-0.259779809636719,-0.0548860516247057,-0.152748151095333
crop,EC-Earth3,-2.5,heat_mj,Spring barley,17,-0.0583644122846679,0.0236462185496537,-0.0916404893494446,-0.0230204660730613,-0.0517816907501394
crop,EC-Earth3,-2.5,precip_mj,Spring barley,17,0.0156203884943577,0.042136487617352,-0.0669466776625924,0.0757348016527271,0.0153601614889145
crop,EC-Earth3,-2.5,precip_mj2,Spring barley,17,-0.0262303114853439,0.0339069958037063,-0.0685982243850457,0.0382721327832062,-0.0158882168725932
crop,EC-Earth3,-2.5,frost_mj,Winter barley,17,0.0147659980352711,0.0169011362806629,-0.0231356015399151,0.0360270235564726,0.0185260453070751
crop,EC-Earth3,-2.5,gdd_mj,Winter barley,17,-0.155263053118913,0.073437766378337,-0.254797061678213,0.00761497633234039,-0.154317743613911
crop,EC-Earth3,-2.5,heat_mj,Winter barley,17,0.037252230832829,0.0165406053606492,0.0108468328859203,0.0747182451030473,0.0322018168515489
crop,EC-Earth3,-2.5,precip_mj,Winter barley,17,0.00634040116126062,0.0424831562253986,-0.082233973587518,0.0543683358140525,0.00614657814968099
crop,EC-Earth3,-2.5,precip_mj2,Winter barley,17,-0.0176669358222792,0.0389744079994929,-0.0751091893872873,0.0616051560789423,-0.00806475375119774
crop,EC-Earth3,-1.5,frost_mj,ALL,7,0.0239204846229266,0.00691461650899051,0.0108245259289381,0.0319122904352967,0.0260306167408122
crop,EC-Earth3,-1.5,gdd_mj,ALL,7,-0.129038498792816,0.0478244886873904,-0.202083314074284,-0.0745544812302026,-0.1293523479189
crop,EC-Earth3,-1.5,heat_mj,ALL,7,-0.0304504619716534,0.015751095477373,-0.0592848034702226,-0.0155669264222166,-0.0262370665724132
crop,EC-Earth3,-1.5,precip_mj,ALL,7,-0.00206662960154956,0.0431498078177639,-0.0488969468435408,0.0592435178246095,-0.00253627905160964
crop,EC-Earth3,-1.5,precip_mj2,ALL,7,-0.0136961909808173,0.0402309485946454,-0.0749735372473378,0.0229780035886605,-0.00314625268705804
crop,EC-Earth3,-1.5,frost_mj,Durum wheat,7,0.0119722899693419,0.00348825322573376,0.00692060319124746,0.0156447315733638,0.0132332816488886
crop,EC-Earth3,-1.5,gdd_mj,Durum wheat,7,-0.121539962736891,0.054107436665111,-0.180555094436243,-0.0612205003104058,-0.123652041811475
crop,EC-Earth3,-1.5,heat_mj,Durum wheat,7,0.0326989712722838,0.0176100489559011,0.00924224291308975,0.0504192771544073,0.0293064306907711
crop,EC-Earth3,-1.5,precip_mj,Durum wheat,7,-0.0366926679009065,0.0859532373631016,-0.134468568711924,0.0929562905997282,-0.0382329840113553
crop,EC-Earth3,-1.5,precip_mj2,Durum wheat,7,0.00885631286405275,0.0642674243763694,-0.0964835815356127,0.0744154880864602,0.0253058687256872
crop,EC-Earth3,-1.5,frost_mj,Soft wheat,7,0.0262689276153153,0.00813978942168413,0.0116859338407082,0.0355297536242089,0.0286615509172851
crop,EC-Earth3,-1.5,gdd_mj,Soft wheat,7,-0.0905597259151411,0.0327185174382611,-0.139318934099589,-0.0503941682643944,-0.090600264116834
crop,EC-Earth3,-1.5,heat_mj,Soft wheat,7,-0.0457001132393865,0.024366596513277,-0.0894268503638483,-0.023353055109771,-0.0386764738326117
crop,EC-Earth3,-1.5,precip_mj,Soft wheat,7,0.00384134446408805,0.0419399948556608,-0.034676713633521,0.0665805896560506,0.0036177064444854
crop,EC-Earth3,-1.5,precip_mj2,Soft wheat,7,-0.0161266142998441,0.0425940309718905,-0.0803322536708773,0.0234138656129301,-0.00653810816916262
crop,EC-Earth3,-1.5,frost_mj,Spring barley,7,0.0217086078341455,0.00478578534067592,0.014345400389312,0.0281557291899117,0.0232283783167516
crop,EC-Earth3,-1.5,gdd_mj,Spring barley,7,-0.198511792946151,0.0750712419726199,-0.318098634960665,-0.107575605667726,-0.198465427513266
crop,EC-Earth3,-1.5,heat_mj,Spring barley,7,-0.068329652373262,0.0343834163192506,-0.129673093504895,-0.0293064818604241,-0.0610639060828683
crop,EC-Earth3,-1.5,precip_mj,Spring barley,7,-0.00370187950858604,0.0411553260780424,-0.0606577410815727,0.0411800880365686,-0.00441064275178388
crop,EC-Earth3,-1.5,precip_mj2,Spring barley,7,-0.016988324370232,0.0337318830216701,-0.0648199953477085,0.0224350957500848,-0.00579721350727623
crop,EC-Earth3,-1.5,frost_mj,Winter barley,7,0.0261070170083874,0.00990402509774761,0.00506388467329649,0.0348693875884895,0.0285160221237984
crop,EC-Earth3,-1.5,gdd_mj,Winter barley,7,-0.193917260980813,0.0797236156159166,-0.319975394677591,-0.0954503202720966,-0.194564870676882
crop,EC-Earth3,-1.5,heat_mj,Winter barley,7,0.0408145996506531,0.023394433742794,0.0214533053649242,0.0861795007753647,0.0345862929385175
crop,EC-Earth3,-1.5,precip_mj,Winter barley,7,0.00113298550979061,0.0420153867249346,-0.0410093644355327,0.0735649225787918,0.000770921673597203
crop,EC-Earth3,-1.5,precip_mj2,Winter barley,7,-0.0153901354677833,0.043101926936001,-0.0932328122858256,0.0290002094526482,-0.0060920529790616
crop,IPSL-CM6A-LR,-3.5,frost_mj,ALL,9,0.0214334966014158,0.00700886379473256,0.0103577678287194,0.0312317403143099,0.0238368691374734
crop,IPSL-CM6A-LR,-3.5,gdd_mj,ALL,9,-0.107345208097322,0.024265593525193,-0.137463104452475,-0.0626790289074733,-0.106764647676193
crop,IPSL-CM6A-LR,-3.5,heat_mj,ALL,9,-0.0239978603416777,0.00692864196024855,-0.0344422466515906,-0.0155195775273424,-0.020340727918547
crop,IPSL-CM6A-LR,-3.5,precip_mj,ALL,9,0.00130175635230056,0.0198296730288936,-0.0182648695951517,0.0348461181680049,0.00112762648706265
crop,IPSL-CM6A-LR,-3.5,precip_mj2,ALL,9,-0.00913713880895383,0.0184003361167065,-0.042288725243591,0.01280837559347,-0.00240910095586591
crop,IPSL-CM6A-LR,-3.5,frost_mj,Durum wheat,9,0.0125903207701149,0.00490470536479015,0.00473122264827544,0.0183427464182483,0.0141245582164372
crop,IPSL-CM6A-LR,-3.5,gdd_mj,Durum wheat,9,-0.0917300077411283,0.0181394456088,-0.109270037197206,-0.050922408399715,-0.0926439750751547
crop,IPSL-CM6A-LR,-3.5,heat_mj,Durum wheat,9,0.0215235564758548,0.0047902603858674,0.0152271840659885,0.0278311964064795,0.0195113705195807
crop,IPSL-CM6A-LR,-3.5,precip_mj,Durum wheat,9,-0.0120794497941942,0.0445247755062342,-0.0680326464805775,0.0480051765930443,-0.0127760874883434
crop,IPSL-CM6A-LR,-3.5,precip_mj2,Durum wheat,9,-0.00359590780656922,0.0312223407761132,-0.0478020860902793,0.0393104713992057,0.00669586581888301
crop,IPSL-CM6A-LR,-3.5,frost_mj,Soft wheat,9,0.0237152566410435,0.00813929776591206,0.0110242020685337,0.0350531731658777,0.0264169074619171
