branch,model,bin_id,component,crop,n,mean,sd,lo,hi,central
crop,EC-Earth3,-4.5,frost_mj,ALL,8,0.0382614447201296,0.00704896994725254,0.0246435891141289,0.0458719321731066,0.0409443311344375
crop,EC-Earth3,-4.5,gdd_mj,ALL,8,-0.258663894245194,0.0414857144672098,-0.31935922685416,-0.197462403281849,-0.260000308413263
crop,EC-Earth3,-4.5,heat_mj,ALL,8,-0.0711184906913279,0.0224606991196144,-0.0979564999379251,-0.0366648480389218,-0.0673696091298785
crop,EC-Earth3,-4.5,precip_mj,ALL,8,-0.00368823370681077,0.0554806149593233,-0.063894189626231,0.0778566434876485,-0.00432638387570595
crop,EC-Earth3,-4.5,precip_mj2,ALL,8,-0.0136522621108186,0.0462163493844521,-0.0848686870818689,0.0392163637178001,-0.00285505914418295
crop,EC-Earth3,-4.5,frost_mj,Durum wheat,8,0.0234844824431533,0.00338519602337864,0.0160290363457493,0.0271658942132346,0.0248135232111871
crop,EC-Earth3,-4.5,gdd_mj,Durum wheat,8,-0.258969441299667,0.0433339942272193,-0.326675625068584,-0.188136767019145,-0.261895488329262
crop,EC-Earth3,-4.5,heat_mj,Durum wheat,8,0.0881354642071922,0.0241310731669843,0.0532910289699953,0.112272940355397,0.0855349976974559
crop,EC-Earth3,-4.5,precip_mj,Durum wheat,8,-0.0712265514918591,0.0808576142086764,-0.155842910135373,0.0720665474372405,-0.0735665456435121
crop,EC-Earth3,-4.5,precip_mj2,Durum wheat,8,0.0310845318526889,0.0547845795907948,-0.0744794914976552,0.0809352872985423,0.0454707244499009
crop,EC-Earth3,-4.5,frost_mj,Soft wheat,8,0.0420240413437374,0.00808701495832247,0.0266241026347651,0.050997746692923,0.0451181672272187
crop,EC-Earth3,-4.5,gdd_mj,Soft wheat,8,-0.184110037009538,0.0276396145681822,-0.230154491472643,-0.145559364673303,-0.184590897920798
crop,EC-Earth3,-4.5,heat_mj,Soft wheat,8,-0.112357830203028,0.0320795815095251,-0.153164980751997,-0.0634767875860538,-0.106911407622171
crop,EC-Earth3,-4.5,precip_mj,Soft wheat,8,0.00281791620567027,0.0506770089275497,-0.0565190197111191,0.0776823980688185,0.00246626573447031
crop,EC-Earth3,-4.5,precip_mj2,Soft wheat,8,-0.0152816702748239,0.0458570050800703,-0.0862149102741233,0.0393163861589586,-0.00561037535055989
crop,EC-Earth3,-4.5,frost_mj,Spring barley,8,0.0325929180483259,0.00520023192024007,0.0221440285917352,0.0371134836844174,0.0343385565957759
crop,EC-Earth3,-4.5,gdd_mj,Spring barley,8,-0.3808071735698,0.067899206289541,-0.457952018650987,-0.285824106356629,-0.383542215064389
crop,EC-Earth3,-4.5,heat_mj,Spring barley,8,-0.150370832886789,0.0564150560716712,-0.210130275646534,-0.0645187090257162,-0.142243303549118
crop,EC-Earth3,-4.5,precip_mj,Spring barley,8,0.0137429082097663,0.0633007244993609,-0.0696837006333849,0.11726593991834,0.0130501191721273
crop,EC-Earth3,-4.5,precip_mj2,Spring barley,8,-0.0348641219556208,0.0463473690072118,-0.114006144530124,0.030517982874506,-0.0220205586146636
crop,EC-Earth3,-4.5,frost_mj,Winter barley,8,0.0416251419464952,0.00848060309925344,0.0263302356054755,0.0509004863956523,0.0449406408525172
crop,EC-Earth3,-4.5,gdd_mj,Winter barley,8,-0.391416198024382,0.0633817927786951,-0.483958871315262,-0.292071533942146,-0.393122669895641
crop,EC-Earth3,-4.5,heat_mj,Winter barley,8,0.0967604680385031,0.0313886944243624,0.0484461032131814,0.137670167112844,0.0918474154966336
