branch,model,bin_id,n,mean,sd,lo,hi,central
crop,EC-Earth3,-3.5,5,-0.106717489182269,0.0336019547737678,-0.14384032074054,-0.068336182518487,-0.0925614068877964
crop,EC-Earth3,-2.5,17,-0.123893463670232,0.0477122897413327,-0.181298954240258,-0.0304884142447752,-0.105811905462399
crop,EC-Earth3,-1.5,7,-0.15133129672391,0.0608538858116403,-0.24848647313165,-0.0946769278920014,-0.135241329489169
crop,IPSL-CM6A-LR,-3.5,9,-0.117744954294237,0.025334999906774,-0.157593810463989,-0.0832059729548361,-0.10454998092607
crop,IPSL-CM6A-LR,-2.5,16,-0.100006078566995,0.0263719742263016,-0.152131374351025,-0.0591847499542686,-0.0829524729973071
crop,IPSL-CM6A-LR,-1.5,5,-0.117358536950686,0.0556520507961091,-0.182328192466562,-0.0509041839995726,-0.0970705933491928
crop_gddwin,EC-Earth3,-3.5,5,-0.013562217501246,0.0131833052993492,-0.0360739275816523,-0.00181388966893807,-0.00389225802180102
crop_gddwin,EC-Earth3,-2.5,17,-0.0164650916978368,0.0153078999799329,-0.0493033603161241,0.0102180050897689,-0.00313252129336866
crop_gddwin,EC-Earth3,-1.5,7,-0.0257629424940208,0.0170792612852275,-0.0568388250532224,-0.000518817171194567,-0.0146623907383475
crop_gddwin,IPSL-CM6A-LR,-3.5,9,-0.0120647685720332,0.0100759045048082,-0.0273663942211429,0.00456388377853794,-0.00234864906117204
crop_gddwin,IPSL-CM6A-LR,-2.5,16,-0.0137271226453077,0.0106041945513174,-0.0275613779588326,0.00819545063814166,-0.00304905949544373
crop_gddwin,IPSL-CM6A-LR,-1.5,5,-0.0187437748260071,0.00881111247820121,-0.02867195163583,-0.010203377909102,-0.0089021950799048
energy Electricity,EC-Earth3,-3.5,5,-0.0154597799622137,0.00557059061586935,-0.0243547123756106,-0.0100738653873214,-0.0169058861191614
energy Electricity,EC-Earth3,-2.5,17,-0.0145195367420283,0.0101485579158545,-0.0335959927532891,0.00103921717124709,-0.0164447295343809
energy Electricity,EC-Earth3,-1.5,7,-0.0199911342054287,0.0101451006452733,-0.0304482248053299,-0.00382709862585012,-0.0220706342195698
energy Electricity,IPSL-CM6A-LR,-3.5,9,-0.0146675050134694,0.00591086857681226,-0.0259139966689002,-0.00779712824039172,-0.0164208717482731
energy Electricity,IPSL-CM6A-LR,-2.5,16,-0.0157380692598834,0.00939603809312888,-0.0304387646373209,0.00278130256998789,-0.017341709988548
energy Electricity,IPSL-CM6A-LR,-1.5,5,-0.0121073205661939,0.00865041485357942,-0.0235570764861482,-0.00238979822819611,-0.0144299238177613
energy Natural gas,EC-Earth3,-3.5,5,-0.0339425901750823,0.008286637808521,-0.0413203105713016,-0.0223396630711741,-0.0341877698684794
energy Natural gas,EC-Earth3,-2.5,17,-0.0425070023907187,0.018438398639294,-0.0686552477570954,-0.00613564105188411,-0.0428744483283235
energy Natural gas,EC-Earth3,-1.5,7,-0.0490201161897815,0.0179958218682223,-0.0675420158333007,-0.0159363212338781,-0.0492336177949419
energy Natural gas,IPSL-CM6A-LR,-3.5,9,-0.04430140346563,0.0164110687325667,-0.0677528318476961,-0.0192855973683434,-0.0445650481562251
energy Natural gas,IPSL-CM6A-LR,-2.5,16,-0.0445634276698956,0.0163414715397327,-0.0732040409487595,-0.015007651937954,-0.0449438464665162
energy Natural gas,IPSL-CM6A-LR,-1.5,5,-0.0430678269232557,0.0162897560666571,-0.0627560674828047,-0.0212421849283289,-0.0433453544051446
