branch,model,bin_id,crop,n,mean,sd,lo,hi,central
crop,EC-Earth3,-4.5,ALL,8,-0.308861436034021,0.0648619027811584,-0.383176201511071,-0.211134611443444,-0.293607029428593
crop,EC-Earth3,-4.5,Durum wheat,8,-0.187491514288491,0.0471851880732871,-0.266790144450963,-0.117237239244896,-0.17964278861423
crop,EC-Earth3,-4.5,Soft wheat,8,-0.266907579937982,0.0543854004922809,-0.327260494534806,-0.180000033360369,-0.249528247931841
crop,EC-Earth3,-4.5,Spring barley,8,-0.519706302154118,0.133242852942135,-0.649025037733155,-0.315492790548673,-0.500417401460268
crop,EC-Earth3,-4.5,Winter barley,8,-0.268462820114931,0.0440662249013536,-0.345973401628727,-0.220677104666562,-0.262372246513658
crop,EC-Earth3,-3.5,ALL,8,-0.376020568761885,0.116517531674324,-0.64581738181437,-0.277260209513696,-0.351746446262506
crop,EC-Earth3,-3.5,Durum wheat,8,-0.183389745138173,0.0568882744685305,-0.295762666643382,-0.108443318835811,-0.177181268233578
crop,EC-Earth3,-3.5,Soft wheat,8,-0.349485716309241,0.125667910726146,-0.629798021932277,-0.243902927408215,-0.320274093776601
crop,EC-Earth3,-3.5,Spring barley,8,-0.600734184880871,0.168586518534413,-0.991969186114258,-0.447471398602193,-0.569322817859031
crop,EC-Earth3,-3.5,Winter barley,8,-0.304013575339339,0.0706164036616478,-0.471083578272077,-0.256426082131743,-0.29719774328473
crop,EC-Earth3,-2.5,ALL,11,-0.287033161013966,0.0456605742254525,-0.368936715452236,-0.226931813309684,-0.274089365987685
crop,EC-Earth3,-2.5,Durum wheat,11,-0.175399509651825,0.0588248762964016,-0.263049053589266,-0.0572734202069456,-0.169453605881749
crop,EC-Earth3,-2.5,Soft wheat,11,-0.251805363551956,0.0457221752238803,-0.327450590332705,-0.181746837537698,-0.236183301868037
crop,EC-Earth3,-2.5,Spring barley,11,-0.481126813423533,0.0704912374362208,-0.607261592233303,-0.372908630665446,-0.464806182780814
crop,EC-Earth3,-2.5,Winter barley,11,-0.235751816873916,0.044290272206868,-0.304419146821941,-0.171436060966494,-0.233613416611907
crop,IPSL-CM6A-LR,-5.5,ALL,4,-0.29383109219954,0.0477214223339673,-0.354015782398639,-0.238593255613406,-0.285620666557835
crop,IPSL-CM6A-LR,-5.5,Durum wheat,4,-0.151336356483767,0.0329802729735407,-0.178468411340264,-0.105262417283168,-0.145520296882783
crop,IPSL-CM6A-LR,-5.5,Soft wheat,4,-0.26383839220827,0.0487925650870997,-0.323918202570361,-0.206154927186074,-0.253846676943422
crop,IPSL-CM6A-LR,-5.5,Spring barley,4,-0.465068573829749,0.0770737641483375,-0.568033748598053,-0.390082266675477,-0.456204961971058
crop,IPSL-CM6A-LR,-5.5,Winter barley,4,-0.276217783284001,0.0198863665518138,-0.299605126649017,-0.25272316931502,-0.274559127610892
crop,IPSL-CM6A-LR,-4.5,ALL,12,-0.270899674761739,0.0673921053670073,-0.390988044973128,-0.193103865450701,-0.25444713743459
crop,IPSL-CM6A-LR,-4.5,Durum wheat,12,-0.145347936433011,0.0506587559509515,-0.272108723985771,-0.0969770288885782,-0.140860922576201
crop,IPSL-CM6A-LR,-4.5,Soft wheat,12,-0.24495866304527,0.065931940834822,-0.369131032678691,-0.169925586725619,-0.22443871006765
crop,IPSL-CM6A-LR,-4.5,Spring barley,12,-0.438133360256666,0.102267517470575,-0.618233756960871,-0.308200254955196,-0.417720390826194
crop,IPSL-CM6A-LR,-4.5,Winter barley,12,-0.229914913283878,0.0582535425109261,-0.321297015149473,-0.154577576916933,-0.227220644746859
