model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-3.5,-3.2771,5,CZ,Soft wheat,gdd_mj,-0.0510108473367757
EC-Earth3,-2.5,-2.5562,17,CZ,Soft wheat,gdd_mj,-0.0629191698837498
EC-Earth3,-1.5,-1.5166,7,CZ,Soft wheat,gdd_mj,-0.0856876895292662
IPSL-CM6A-LR,-4.5,-4.291,5,CZ,Soft wheat,gdd_mj,-0.0868337979381561
IPSL-CM6A-LR,-3.5,-3.4498,14,CZ,Soft wheat,gdd_mj,-0.0599285704597478
IPSL-CM6A-LR,-2.5,-2.5023,10,CZ,Soft wheat,gdd_mj,-0.0802799674964083
EC-Earth3,-3.5,-3.2771,5,DE,Soft wheat,gdd_mj,-0.0583016548729778
EC-Earth3,-2.5,-2.5562,17,DE,Soft wheat,gdd_mj,-0.0641575923588012
EC-Earth3,-1.5,-1.5166,7,DE,Soft wheat,gdd_mj,-0.0826144421395798
IPSL-CM6A-LR,-4.5,-4.291,5,DE,Soft wheat,gdd_mj,-0.0895723874235998
IPSL-CM6A-LR,-3.5,-3.4498,14,DE,Soft wheat,gdd_mj,-0.0540487926990726
IPSL-CM6A-LR,-2.5,-2.5023,10,DE,Soft wheat,gdd_mj,-0.0677683422302635
EC-Earth3,-3.5,-3.2771,5,DK,Soft wheat,gdd_mj,-0.0675899839611441
EC-Earth3,-2.5,-2.5562,17,DK,Soft wheat,gdd_mj,-0.0631514017436836
EC-Earth3,-1.5,-1.5166,7,DK,Soft wheat,gdd_mj,-0.0844665151467615
IPSL-CM6A-LR,-4.5,-4.291,5,DK,Soft wheat,gdd_mj,-0.0746232707030494
IPSL-CM6A-LR,-3.5,-3.4498,14,DK,Soft wheat,gdd_mj,-0.0492839333766045
IPSL-CM6A-LR,-2.5,-2.5023,10,DK,Soft wheat,gdd_mj,-0.0508358645573979
EC-Earth3,-3.5,-3.2771,5,EE,Soft wheat,gdd_mj,-0.0929517190794985
EC-Earth3,-2.5,-2.5562,17,EE,Soft wheat,gdd_mj,-0.0666505109252682
EC-Earth3,-1.5,-1.5166,7,EE,Soft wheat,gdd_mj,-0.0850393659781104
IPSL-CM6A-LR,-4.5,-4.291,5,EE,Soft wheat,gdd_mj,-0.0669131339762031
IPSL-CM6A-LR,-3.5,-3.4498,14,EE,Soft wheat,gdd_mj,-0.0683422603953172
IPSL-CM6A-LR,-2.5,-2.5023,10,EE,Soft wheat,gdd_mj,-0.0699619333402269
