model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-4.5,-4.5546,8,CZ,Soft wheat,gdd_mj,-0.170559900645283
EC-Earth3,-3.5,-3.4737,8,CZ,Soft wheat,gdd_mj,-0.223119294549267
EC-Earth3,-2.5,-2.5448,11,CZ,Soft wheat,gdd_mj,-0.151753827422787
IPSL-CM6A-LR,-5.5,-5.3985,4,CZ,Soft wheat,gdd_mj,-0.188980690251661
IPSL-CM6A-LR,-4.5,-4.3046,12,CZ,Soft wheat,gdd_mj,-0.171772811205803
IPSL-CM6A-LR,-3.5,-3.5013,7,CZ,Soft wheat,gdd_mj,-0.171133557175024
IPSL-CM6A-LR,-2.5,-2.2964,6,CZ,Soft wheat,gdd_mj,-0.140176503597774
EC-Earth3,-4.5,-4.5546,8,DE,Soft wheat,gdd_mj,-0.164560982739224
EC-Earth3,-3.5,-3.4737,8,DE,Soft wheat,gdd_mj,-0.209398712923774
EC-Earth3,-2.5,-2.5448,11,DE,Soft wheat,gdd_mj,-0.142228222285014
IPSL-CM6A-LR,-5.5,-5.3985,4,DE,Soft wheat,gdd_mj,-0.186260193246597
IPSL-CM6A-LR,-4.5,-4.3046,12,DE,Soft wheat,gdd_mj,-0.157238033741867
IPSL-CM6A-LR,-3.5,-3.5013,7,DE,Soft wheat,gdd_mj,-0.171700547893382
IPSL-CM6A-LR,-2.5,-2.2964,6,DE,Soft wheat,gdd_mj,-0.124129782720426
EC-Earth3,-4.5,-4.5546,8,DK,Soft wheat,gdd_mj,-0.154257465166507
EC-Earth3,-3.5,-3.4737,8,DK,Soft wheat,gdd_mj,-0.194167131159676
EC-Earth3,-2.5,-2.5448,11,DK,Soft wheat,gdd_mj,-0.135143257362805
IPSL-CM6A-LR,-5.5,-5.3985,4,DK,Soft wheat,gdd_mj,-0.172424137236118
IPSL-CM6A-LR,-4.5,-4.3046,12,DK,Soft wheat,gdd_mj,-0.131911062035282
IPSL-CM6A-LR,-3.5,-3.5013,7,DK,Soft wheat,gdd_mj,-0.158075015805784
IPSL-CM6A-LR,-2.5,-2.2964,6,DK,Soft wheat,gdd_mj,-0.10595498732634
EC-Earth3,-4.5,-4.5546,8,EE,Soft wheat,gdd_mj,-0.161771745159225
EC-Earth3,-3.5,-3.4737,8,EE,Soft wheat,gdd_mj,-0.204184239894159
EC-Earth3,-2.5,-2.5448,11,EE,Soft wheat,gdd_mj,-0.126229290085184
IPSL-CM6A-LR,-5.5,-5.3985,4,EE,Soft wheat,gdd_mj,-0.214456866564589
IPSL-CM6A-LR,-4.5,-4.3046,12,EE,Soft wheat,gdd_mj,-0.178453597241663
IPSL-CM6A-LR,-3.5,-3.5013,7,EE,Soft wheat,gdd_mj,-0.181739682619144
IPSL-CM6A-LR,-2.5,-2.2964,6,EE,Soft wheat,gdd_mj,-0.127273471220406
EC-Earth3,-4.5,-4.5546,8,EL,Soft wheat,gdd_mj,-0.229896287217132
EC-Earth3,-3.5,-3.4737,8,EL,Soft wheat,gdd_mj,-0.235373677595849
EC-Earth3,-2.5,-2.5448,11,EL,Soft wheat,gdd_mj,-0.200461858986431
IPSL-CM6A-LR,-5.5,-5.3985,4,EL,Soft wheat,gdd_mj,-0.189545028679586
IPSL-CM6A-LR,-4.5,-4.3046,12,EL,Soft wheat,gdd_mj,-0.176160335322093
IPSL-CM6A-LR,-3.5,-3.5013,7,EL,Soft wheat,gdd_mj,-0.146698997123202
IPSL-CM6A-LR,-2.5,-2.2964,6,EL,Soft wheat,gdd_mj,-0.146056406847422
EC-Earth3,-4.5,-4.5546,8,ES,Soft wheat,gdd_mj,-0.238291288174201
EC-Earth3,-3.5,-3.4737,8,ES,Soft wheat,gdd_mj,-0.233160174174541
EC-Earth3,-2.5,-2.5448,11,ES,Soft wheat,gdd_mj,-0.220405371446973
IPSL-CM6A-LR,-5.5,-5.3985,4,ES,Soft wheat,gdd_mj,-0.187634903659863
IPSL-CM6A-LR,-4.5,-4.3046,12,ES,Soft wheat,gdd_mj,-0.175480723820924
IPSL-CM6A-LR,-3.5,-3.5013,7,ES,Soft wheat,gdd_mj,-0.151914494133726
IPSL-CM6A-LR,-2.5,-2.2964,6,ES,Soft wheat,gdd_mj,-0.14245284894511
EC-Earth3,-4.5,-4.5546,8,FI,Soft wheat,gdd_mj,-0.16375412961821
EC-Earth3,-3.5,-3.4737,8,FI,Soft wheat,gdd_mj,-0.214388787996245
EC-Earth3,-2.5,-2.5448,11,FI,Soft wheat,gdd_mj,-0.133895535219668
IPSL-CM6A-LR,-5.5,-5.3985,4,FI,Soft wheat,gdd_mj,-0.202511482816991
IPSL-CM6A-LR,-4.5,-4.3046,12,FI,Soft wheat,gdd_mj,-0.174635944483063
IPSL-CM6A-LR,-3.5,-3.5013,7,FI,Soft wheat,gdd_mj,-0.177805278161784
IPSL-CM6A-LR,-2.5,-2.2964,6,FI,Soft wheat,gdd_mj,-0.123207249386761
EC-Earth3,-4.5,-4.5546,8,FR,Soft wheat,gdd_mj,-0.18009182872004
EC-Earth3,-3.5,-3.4737,8,FR,Soft wheat,gdd_mj,-0.200804480955198
EC-Earth3,-2.5,-2.5448,11,FR,Soft wheat,gdd_mj,-0.167275896492079
IPSL-CM6A-LR,-5.5,-5.3985,4,FR,Soft wheat,gdd_mj,-0.187460799513282
IPSL-CM6A-LR,-4.5,-4.3046,12,FR,Soft wheat,gdd_mj,-0.14959412899917
IPSL-CM6A-LR,-3.5,-3.5013,7,FR,Soft wheat,gdd_mj,-0.160613506407939
IPSL-CM6A-LR,-2.5,-2.2964,6,FR,Soft wheat,gdd_mj,-0.119859238091125
EC-Earth3,-4.5,-4.5546,8,HU,Soft wheat,gdd_mj,-0.199694530316817
EC-Earth3,-3.5,-3.4737,8,HU,Soft wheat,gdd_mj,-0.249116467467044
EC-Earth3,-2.5,-2.5448,11,HU,Soft wheat,gdd_mj,-0.183446346456024
IPSL-CM6A-LR,-5.5,-5.3985,4,HU,Soft wheat,gdd_mj,-0.20000909048408
IPSL-CM6A-LR,-4.5,-4.3046,12,HU,Soft wheat,gdd_mj,-0.184396551062952
IPSL-CM6A-LR,-3.5,-3.5013,7,HU,Soft wheat,gdd_mj,-0.1632573873732
IPSL-CM6A-LR,-2.5,-2.2964,6,HU,Soft wheat,gdd_mj,-0.159483518125688
EC-Earth3,-4.5,-4.5546,8,IT,Soft wheat,gdd_mj,-0.217585163567797
EC-Earth3,-3.5,-3.4737,8,IT,Soft wheat,gdd_mj,-0.228361363289397
EC-Earth3,-2.5,-2.5448,11,IT,Soft wheat,gdd_mj,-0.199608080825577
IPSL-CM6A-LR,-5.5,-5.3985,4,IT,Soft wheat,gdd_mj,-0.184734880712551
IPSL-CM6A-LR,-4.5,-4.3046,12,IT,Soft wheat,gdd_mj,-0.173118972904387
IPSL-CM6A-LR,-3.5,-3.5013,7,IT,Soft wheat,gdd_mj,-0.155488446804275
IPSL-CM6A-LR,-2.5,-2.2964,6,IT,Soft wheat,gdd_mj,-0.144494096866155
EC-Earth3,-4.5,-4.5546,8,LT,Soft wheat,gdd_mj,-0.149956642935612
EC-Earth3,-3.5,-3.4737,8,LT,Soft wheat,gdd_mj,-0.204278590392758
EC-Earth3,-2.5,-2.5448,11,LT,Soft wheat,gdd_mj,-0.115667359365778
IPSL-CM6A-LR,-5.5,-5.3985,4,LT,Soft wheat,gdd_mj,-0.218254821300986
IPSL-CM6A-LR,-4.5,-4.3046,12,LT,Soft wheat,gdd_mj,-0.177853247829765
IPSL-CM6A-LR,-3.5,-3.5013,7,LT,Soft wheat,gdd_mj,-0.182543377878552
IPSL-CM6A-LR,-2.5,-2.2964,6,LT,Soft wheat,gdd_mj,-0.139709653386173
