model,bin_id,delta_sv,n_years,component,dln
EC-Earth3,-3.5,-3.2771,5,gdd_mj,-0.0977626474561522
EC-Earth3,-2.5,-2.5562,17,gdd_mj,-0.101627421595127
EC-Earth3,-1.5,-1.5166,7,gdd_mj,-0.1293523479189
IPSL-CM6A-LR,-3.5,-3.4513,9,gdd_mj,-0.106764647676193
IPSL-CM6A-LR,-2.5,-2.5185,16,gdd_mj,-0.0835978019326148
IPSL-CM6A-LR,-1.5,-1.7768,5,gdd_mj,-0.0863028077253321
EC-Earth3,-3.5,-3.2771,5,heat_mj,-0.0164299471293075
EC-Earth3,-2.5,-2.5562,17,heat_mj,-0.0219860831472385
EC-Earth3,-1.5,-1.5166,7,heat_mj,-0.0262370665724132
IPSL-CM6A-LR,-3.5,-3.4513,9,heat_mj,-0.020340727918547
IPSL-CM6A-LR,-2.5,-2.5185,16,heat_mj,-0.0176266784018153
IPSL-CM6A-LR,-1.5,-1.7768,5,heat_mj,-0.0229724166766604
EC-Earth3,-3.5,-3.2771,5,frost_mj,0.0239877330001996
EC-Earth3,-2.5,-2.5562,17,frost_mj,0.0183121675861175
EC-Earth3,-1.5,-1.5166,7,frost_mj,0.0260306167408122
IPSL-CM6A-LR,-3.5,-3.4513,9,frost_mj,0.0238368691374734
IPSL-CM6A-LR,-2.5,-2.5185,16,frost_mj,0.0201896111426031
IPSL-CM6A-LR,-1.5,-1.7768,5,frost_mj,0.017048427216082
EC-Earth3,-3.5,-3.2771,5,precip_mj,0.0328426939168607
EC-Earth3,-2.5,-2.5562,17,precip_mj,0.0146078042608987
EC-Earth3,-1.5,-1.5166,7,precip_mj,-0.00253627905160964
IPSL-CM6A-LR,-3.5,-3.4513,9,precip_mj,0.00112762648706265
IPSL-CM6A-LR,-2.5,-2.5185,16,precip_mj,0.00557942339091902
IPSL-CM6A-LR,-1.5,-1.7768,5,precip_mj,0.00171174704473824
EC-Earth3,-3.5,-3.2771,5,precip_mj2,-0.035199239219397
EC-Earth3,-2.5,-2.5562,17,precip_mj2,-0.0151183725670494
EC-Earth3,-1.5,-1.5166,7,precip_mj2,-0.00314625268705804
IPSL-CM6A-LR,-3.5,-3.4513,9,precip_mj2,-0.00240910095586591
IPSL-CM6A-LR,-2.5,-2.5185,16,precip_mj2,-0.00749702719639913
IPSL-CM6A-LR,-1.5,-1.7768,5,precip_mj2,-0.0065555432080206
