model,bin_id,delta_sv,n_years,component,dln
EC-Earth3,-4.5,-4.5546,8,gdd_mj,-0.260000308413263
EC-Earth3,-3.5,-3.4737,8,gdd_mj,-0.294526485901627
EC-Earth3,-2.5,-2.5448,11,gdd_mj,-0.232689447756466
IPSL-CM6A-LR,-5.5,-5.3985,4,gdd_mj,-0.256372434896645
IPSL-CM6A-LR,-4.5,-4.3046,12,gdd_mj,-0.223487297090882
IPSL-CM6A-LR,-3.5,-3.5013,7,gdd_mj,-0.218743544589769
IPSL-CM6A-LR,-2.5,-2.2964,6,gdd_mj,-0.180279738302243
EC-Earth3,-4.5,-4.5546,8,heat_mj,-0.0673696091298785
EC-Earth3,-3.5,-3.4737,8,heat_mj,-0.0860233912854747
EC-Earth3,-2.5,-2.5448,11,heat_mj,-0.0652057534999387
IPSL-CM6A-LR,-5.5,-5.3985,4,heat_mj,-0.0626757439798401
IPSL-CM6A-LR,-4.5,-4.3046,12,heat_mj,-0.0596241625821872
IPSL-CM6A-LR,-3.5,-3.5013,7,heat_mj,-0.0583217152798385
IPSL-CM6A-LR,-2.5,-2.2964,6,heat_mj,-0.0451936172295116
EC-Earth3,-4.5,-4.5546,8,frost_mj,0.0409443311344375
EC-Earth3,-3.5,-3.4737,8,frost_mj,0.0423842591570358
EC-Earth3,-2.5,-2.5448,11,frost_mj,0.0365720773979079
IPSL-CM6A-LR,-5.5,-5.3985,4,frost_mj,0.0393696900656574
IPSL-CM6A-LR,-4.5,-4.3046,12,frost_mj,0.03636506217249
IPSL-CM6A-LR,-3.5,-3.5013,7,frost_mj,0.0296267868814209
IPSL-CM6A-LR,-2.5,-2.2964,6,frost_mj,0.029925510868588
EC-Earth3,-4.5,-4.5546,8,precip_mj,-0.00432638387570595
EC-Earth3,-3.5,-3.4737,8,precip_mj,-0.0438498264976758
EC-Earth3,-2.5,-2.5448,11,precip_mj,-0.033011368338605
IPSL-CM6A-LR,-5.5,-5.3985,4,precip_mj,-0.0124265591544757
IPSL-CM6A-LR,-4.5,-4.3046,12,precip_mj,-0.026862782626774
IPSL-CM6A-LR,-3.5,-3.5013,7,precip_mj,-0.00944954968899106
IPSL-CM6A-LR,-2.5,-2.2964,6,precip_mj,-0.0083380134472656
EC-Earth3,-4.5,-4.5546,8,precip_mj2,-0.00285505914418295
EC-Earth3,-3.5,-3.4737,8,precip_mj2,0.0302689982652355
EC-Earth3,-2.5,-2.5448,11,precip_mj2,0.0202451262094166
IPSL-CM6A-LR,-5.5,-5.3985,4,precip_mj2,0.00648438140746796
IPSL-CM6A-LR,-4.5,-4.3046,12,precip_mj2,0.0191620426927637
IPSL-CM6A-LR,-3.5,-3.5013,7,precip_mj2,0.00635200876517339
IPSL-CM6A-LR,-2.5,-2.2964,6,precip_mj2,0.0056734122498426
