model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-3.5,-3.2771,5,CZ,Soft wheat,gdd,-6.61337235106524e-05
EC-Earth3,-2.5,-2.5562,17,CZ,Soft wheat,gdd,0.000120893986595418
EC-Earth3,-1.5,-1.5166,7,CZ,Soft wheat,gdd,0.000150863534403432
IPSL-CM6A-LR,-3.5,-3.4513,9,CZ,Soft wheat,gdd,0.000141214857801747
IPSL-CM6A-LR,-2.5,-2.5185,16,CZ,Soft wheat,gdd,9.59986398100315e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,CZ,Soft wheat,gdd,0.000168722879525358
EC-Earth3,-3.5,-3.2771,5,DE,Soft wheat,gdd,-0.000150168216459503
EC-Earth3,-2.5,-2.5562,17,DE,Soft wheat,gdd,0.000137332716242151
EC-Earth3,-1.5,-1.5166,7,DE,Soft wheat,gdd,-1.19947289814992e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,DE,Soft wheat,gdd,7.26410658161086e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,DE,Soft wheat,gdd,-0.000108250201278172
IPSL-CM6A-LR,-1.5,-1.7768,5,DE,Soft wheat,gdd,-0.000163833390540401
EC-Earth3,-3.5,-3.2771,5,DK,Soft wheat,gdd,-0.000160870121864073
EC-Earth3,-2.5,-2.5562,17,DK,Soft wheat,gdd,2.43397705104487e-05
EC-Earth3,-1.5,-1.5166,7,DK,Soft wheat,gdd,-7.74703148264394e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,DK,Soft wheat,gdd,0.000148649476862891
IPSL-CM6A-LR,-2.5,-2.5185,16,DK,Soft wheat,gdd,-8.69651320731465e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,DK,Soft wheat,gdd,-7.69512507490219e-05
EC-Earth3,-3.5,-3.2771,5,EE,Soft wheat,gdd,0.000140638006778617
EC-Earth3,-2.5,-2.5562,17,EE,Soft wheat,gdd,0.000267288707122068
EC-Earth3,-1.5,-1.5166,7,EE,Soft wheat,gdd,0.000103556742830258
IPSL-CM6A-LR,-3.5,-3.4513,9,EE,Soft wheat,gdd,0.000273738468049625
IPSL-CM6A-LR,-2.5,-2.5185,16,EE,Soft wheat,gdd,0.000236468806308359
IPSL-CM6A-LR,-1.5,-1.7768,5,EE,Soft wheat,gdd,2.00141200463762e-05
EC-Earth3,-3.5,-3.2771,5,EL,Soft wheat,gdd,0.000106465200071208
EC-Earth3,-2.5,-2.5562,17,EL,Soft wheat,gdd,0.000206096033688321
EC-Earth3,-1.5,-1.5166,7,EL,Soft wheat,gdd,0.000141566462328172
IPSL-CM6A-LR,-3.5,-3.4513,9,EL,Soft wheat,gdd,0.000111642220381723
IPSL-CM6A-LR,-2.5,-2.5185,16,EL,Soft wheat,gdd,5.17141727189054e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,EL,Soft wheat,gdd,0.000406429774068402
EC-Earth3,-3.5,-3.2771,5,ES,Soft wheat,gdd,0.000240556636608674
EC-Earth3,-2.5,-2.5562,17,ES,Soft wheat,gdd,0.000121510584327653
EC-Earth3,-1.5,-1.5166,7,ES,Soft wheat,gdd,0.000213770913991899
IPSL-CM6A-LR,-3.5,-3.4513,9,ES,Soft wheat,gdd,0.000174971346832549
IPSL-CM6A-LR,-2.5,-2.5185,16,ES,Soft wheat,gdd,0.000231166621552873
IPSL-CM6A-LR,-1.5,-1.7768,5,ES,Soft wheat,gdd,0.000163562403205195
EC-Earth3,-3.5,-3.2771,5,FI,Soft wheat,gdd,0.000377327676679828
EC-Earth3,-2.5,-2.5562,17,FI,Soft wheat,gdd,0.000640194416219874
EC-Earth3,-1.5,-1.5166,7,FI,Soft wheat,gdd,0.000145749060484365
IPSL-CM6A-LR,-3.5,-3.4513,9,FI,Soft wheat,gdd,0.000411377668706221
IPSL-CM6A-LR,-2.5,-2.5185,16,FI,Soft wheat,gdd,0.000537269170746814
IPSL-CM6A-LR,-1.5,-1.7768,5,FI,Soft wheat,gdd,0.000398704110359311
EC-Earth3,-3.5,-3.2771,5,FR,Soft wheat,gdd,0.000117203498960574
EC-Earth3,-2.5,-2.5562,17,FR,Soft wheat,gdd,0.000115222868102426
EC-Earth3,-1.5,-1.5166,7,FR,Soft wheat,gdd,-5.05256614648979e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,FR,Soft wheat,gdd,5.46346899948423e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,FR,Soft wheat,gdd,2.94457366491732e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,FR,Soft wheat,gdd,-0.000194179573734035
EC-Earth3,-3.5,-3.2771,5,HU,Soft wheat,gdd,5.68245956630016e-05
EC-Earth3,-2.5,-2.5562,17,HU,Soft wheat,gdd,0.000374573122443699
EC-Earth3,-1.5,-1.5166,7,HU,Soft wheat,gdd,0.00028380091569196
IPSL-CM6A-LR,-3.5,-3.4513,9,HU,Soft wheat,gdd,0.000196385656811489
IPSL-CM6A-LR,-2.5,-2.5185,16,HU,Soft wheat,gdd,0.000184809060749356
IPSL-CM6A-LR,-1.5,-1.7768,5,HU,Soft wheat,gdd,0.000409794656740632
EC-Earth3,-3.5,-3.2771,5,IT,Soft wheat,gdd,0.000136919597261009
EC-Earth3,-2.5,-2.5562,17,IT,Soft wheat,gdd,0.000366884451477483
EC-Earth3,-1.5,-1.5166,7,IT,Soft wheat,gdd,0.000119308288129746
IPSL-CM6A-LR,-3.5,-3.4513,9,IT,Soft wheat,gdd,0.000233760045031125
IPSL-CM6A-LR,-2.5,-2.5185,16,IT,Soft wheat,gdd,0.000186835158835437
IPSL-CM6A-LR,-1.5,-1.7768,5,IT,Soft wheat,gdd,0.000283932533938445
EC-Earth3,-3.5,-3.2771,5,LT,Soft wheat,gdd,-7.30785186727929e-05
EC-Earth3,-2.5,-2.5562,17,LT,Soft wheat,gdd,5.20848569975664e-05
EC-Earth3,-1.5,-1.5166,7,LT,Soft wheat,gdd,-0.000135833623888896
IPSL-CM6A-LR,-3.5,-3.4513,9,LT,Soft wheat,gdd,2.40610102125934e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,LT,Soft wheat,gdd,-1.42485993239353e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,LT,Soft wheat,gdd,4.58609601278035e-05
EC-Earth3,-3.5,-3.2771,5,LV,Soft wheat,gdd,0.000242423635258563
EC-Earth3,-2.5,-2.5562,17,LV,Soft wheat,gdd,0.000101422519269192
EC-Earth3,-1.5,-1.5166,7,LV,Soft wheat,gdd,-0.000282590868228907
IPSL-CM6A-LR,-3.5,-3.4513,9,LV,Soft wheat,gdd,0.000129885231136687
IPSL-CM6A-LR,-2.5,-2.5185,16,LV,Soft wheat,gdd,0.00012284587776342
IPSL-CM6A-LR,-1.5,-1.7768,5,LV,Soft wheat,gdd,0.000121282908502645
EC-Earth3,-3.5,-3.2771,5,RO,Soft wheat,gdd,0.00011027408594079
EC-Earth3,-2.5,-2.5562,17,RO,Soft wheat,gdd,0.00018419806230912
EC-Earth3,-1.5,-1.5166,7,RO,Soft wheat,gdd,0.000321019689806383
IPSL-CM6A-LR,-3.5,-3.4513,9,RO,Soft wheat,gdd,0.000362499553007513
IPSL-CM6A-LR,-2.5,-2.5185,16,RO,Soft wheat,gdd,0.000144839833957513
IPSL-CM6A-LR,-1.5,-1.7768,5,RO,Soft wheat,gdd,0.000396697871585812
EC-Earth3,-3.5,-3.2771,5,SE,Soft wheat,gdd,-0.000300227283115909
EC-Earth3,-2.5,-2.5562,17,SE,Soft wheat,gdd,0.000242401454521621
EC-Earth3,-1.5,-1.5166,7,SE,Soft wheat,gdd,-9.77445674797393e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,SE,Soft wheat,gdd,1.045703404301e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,SE,Soft wheat,gdd,-6.51292720882849e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,SE,Soft wheat,gdd,9.28891358959299e-05
EC-Earth3,-3.5,-3.2771,5,SK,Soft wheat,gdd,0.000212494807177365
