model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-4.5,-4.5546,8,CZ,Soft wheat,gdd,0.000571263181467552
EC-Earth3,-3.5,-3.4737,8,CZ,Soft wheat,gdd,0.000268424101475291
EC-Earth3,-2.5,-2.5448,11,CZ,Soft wheat,gdd,0.000534188818367856
IPSL-CM6A-LR,-5.5,-5.3985,4,CZ,Soft wheat,gdd,-2.03033063719077e-05
IPSL-CM6A-LR,-4.5,-4.3046,12,CZ,Soft wheat,gdd,0.00061291176983409
IPSL-CM6A-LR,-3.5,-3.5013,7,CZ,Soft wheat,gdd,0.000803407878583596
IPSL-CM6A-LR,-2.5,-2.2964,6,CZ,Soft wheat,gdd,0.000412773789872816
EC-Earth3,-4.5,-4.5546,8,DE,Soft wheat,gdd,0.000293246599545877
EC-Earth3,-3.5,-3.4737,8,DE,Soft wheat,gdd,0.000177746415960587
EC-Earth3,-2.5,-2.5448,11,DE,Soft wheat,gdd,0.000367823389482979
IPSL-CM6A-LR,-5.5,-5.3985,4,DE,Soft wheat,gdd,-0.000232012876262129
IPSL-CM6A-LR,-4.5,-4.3046,12,DE,Soft wheat,gdd,0.000282947845195761
IPSL-CM6A-LR,-3.5,-3.5013,7,DE,Soft wheat,gdd,0.00054136906355068
IPSL-CM6A-LR,-2.5,-2.2964,6,DE,Soft wheat,gdd,0.000228764850449081
EC-Earth3,-4.5,-4.5546,8,DK,Soft wheat,gdd,0.000388823525449725
EC-Earth3,-3.5,-3.4737,8,DK,Soft wheat,gdd,7.55986711658906e-05
EC-Earth3,-2.5,-2.5448,11,DK,Soft wheat,gdd,-2.24206839935441e-06
IPSL-CM6A-LR,-5.5,-5.3985,4,DK,Soft wheat,gdd,-0.000135803881935679
IPSL-CM6A-LR,-4.5,-4.3046,12,DK,Soft wheat,gdd,-4.5095437046328e-05
IPSL-CM6A-LR,-3.5,-3.5013,7,DK,Soft wheat,gdd,0.000335476696641567
IPSL-CM6A-LR,-2.5,-2.2964,6,DK,Soft wheat,gdd,5.42350590497677e-05
EC-Earth3,-4.5,-4.5546,8,EE,Soft wheat,gdd,0.000389263435998953
EC-Earth3,-3.5,-3.4737,8,EE,Soft wheat,gdd,0.000458771726252549
EC-Earth3,-2.5,-2.5448,11,EE,Soft wheat,gdd,0.000211472692859682
IPSL-CM6A-LR,-5.5,-5.3985,4,EE,Soft wheat,gdd,0.0008216316293351
IPSL-CM6A-LR,-4.5,-4.3046,12,EE,Soft wheat,gdd,0.000562216552186363
IPSL-CM6A-LR,-3.5,-3.5013,7,EE,Soft wheat,gdd,0.000574626228130845
IPSL-CM6A-LR,-2.5,-2.2964,6,EE,Soft wheat,gdd,0.000631854312624451
EC-Earth3,-4.5,-4.5546,8,EL,Soft wheat,gdd,0.000261318233407008
EC-Earth3,-3.5,-3.4737,8,EL,Soft wheat,gdd,0.000668447717583274
EC-Earth3,-2.5,-2.5448,11,EL,Soft wheat,gdd,0.000453454740934128
IPSL-CM6A-LR,-5.5,-5.3985,4,EL,Soft wheat,gdd,0.000264082789450503
IPSL-CM6A-LR,-4.5,-4.3046,12,EL,Soft wheat,gdd,0.000578434180510477
IPSL-CM6A-LR,-3.5,-3.5013,7,EL,Soft wheat,gdd,0.000495989768233564
IPSL-CM6A-LR,-2.5,-2.2964,6,EL,Soft wheat,gdd,0.000276404110926398
EC-Earth3,-4.5,-4.5546,8,ES,Soft wheat,gdd,0.000502527815725143
EC-Earth3,-3.5,-3.4737,8,ES,Soft wheat,gdd,0.000386378954623249
EC-Earth3,-2.5,-2.5448,11,ES,Soft wheat,gdd,0.000503102772375893
IPSL-CM6A-LR,-5.5,-5.3985,4,ES,Soft wheat,gdd,0.000184421813976852
IPSL-CM6A-LR,-4.5,-4.3046,12,ES,Soft wheat,gdd,0.000306134632475484
IPSL-CM6A-LR,-3.5,-3.5013,7,ES,Soft wheat,gdd,0.000584542212432855
IPSL-CM6A-LR,-2.5,-2.2964,6,ES,Soft wheat,gdd,0.000176110514001684
EC-Earth3,-4.5,-4.5546,8,FI,Soft wheat,gdd,0.000522326694401471
EC-Earth3,-3.5,-3.4737,8,FI,Soft wheat,gdd,0.000627058910086196
EC-Earth3,-2.5,-2.5448,11,FI,Soft wheat,gdd,0.000657796175791552
IPSL-CM6A-LR,-5.5,-5.3985,4,FI,Soft wheat,gdd,0.000607848449655653
IPSL-CM6A-LR,-4.5,-4.3046,12,FI,Soft wheat,gdd,0.000514739799055645
IPSL-CM6A-LR,-3.5,-3.5013,7,FI,Soft wheat,gdd,0.000666200869323415
IPSL-CM6A-LR,-2.5,-2.2964,6,FI,Soft wheat,gdd,0.000800529177798368
EC-Earth3,-4.5,-4.5546,8,FR,Soft wheat,gdd,0.000444678710266424
EC-Earth3,-3.5,-3.4737,8,FR,Soft wheat,gdd,0.000193361107254227
EC-Earth3,-2.5,-2.5448,11,FR,Soft wheat,gdd,0.000323413799178706
IPSL-CM6A-LR,-5.5,-5.3985,4,FR,Soft wheat,gdd,-0.00012056875813431
IPSL-CM6A-LR,-4.5,-4.3046,12,FR,Soft wheat,gdd,0.000262127377702228
IPSL-CM6A-LR,-3.5,-3.5013,7,FR,Soft wheat,gdd,0.000346231733149555
IPSL-CM6A-LR,-2.5,-2.2964,6,FR,Soft wheat,gdd,2.71348371801548e-05
EC-Earth3,-4.5,-4.5546,8,HU,Soft wheat,gdd,0.000744090626873577
EC-Earth3,-3.5,-3.4737,8,HU,Soft wheat,gdd,0.00061969314853175
EC-Earth3,-2.5,-2.5448,11,HU,Soft wheat,gdd,0.000758153167909544
IPSL-CM6A-LR,-5.5,-5.3985,4,HU,Soft wheat,gdd,2.60370089592609e-06
IPSL-CM6A-LR,-4.5,-4.3046,12,HU,Soft wheat,gdd,0.000740653059826946
IPSL-CM6A-LR,-3.5,-3.5013,7,HU,Soft wheat,gdd,0.0007736439809272
IPSL-CM6A-LR,-2.5,-2.2964,6,HU,Soft wheat,gdd,0.000616993882659442
EC-Earth3,-4.5,-4.5546,8,IT,Soft wheat,gdd,0.00049996356162734
EC-Earth3,-3.5,-3.4737,8,IT,Soft wheat,gdd,0.000718653322161072
EC-Earth3,-2.5,-2.5448,11,IT,Soft wheat,gdd,0.000729596102005654
IPSL-CM6A-LR,-5.5,-5.3985,4,IT,Soft wheat,gdd,2.10149585874288e-06
IPSL-CM6A-LR,-4.5,-4.3046,12,IT,Soft wheat,gdd,0.000466094653862717
IPSL-CM6A-LR,-3.5,-3.5013,7,IT,Soft wheat,gdd,0.000487418217413407
IPSL-CM6A-LR,-2.5,-2.2964,6,IT,Soft wheat,gdd,0.000352477954833378
EC-Earth3,-4.5,-4.5546,8,LT,Soft wheat,gdd,0.000163329933462305
EC-Earth3,-3.5,-3.4737,8,LT,Soft wheat,gdd,4.7951689524564e-05
EC-Earth3,-2.5,-2.5448,11,LT,Soft wheat,gdd,5.80691036689985e-05
IPSL-CM6A-LR,-5.5,-5.3985,4,LT,Soft wheat,gdd,0.000390576085413448
IPSL-CM6A-LR,-4.5,-4.3046,12,LT,Soft wheat,gdd,0.000171912761782656
IPSL-CM6A-LR,-3.5,-3.5013,7,LT,Soft wheat,gdd,0.000440570928902873
IPSL-CM6A-LR,-2.5,-2.2964,6,LT,Soft wheat,gdd,0.000122907164470097
EC-Earth3,-4.5,-4.5546,8,LV,Soft wheat,gdd,-0.000247701181875367
EC-Earth3,-3.5,-3.4737,8,LV,Soft wheat,gdd,0.000242319266139878
EC-Earth3,-2.5,-2.5448,11,LV,Soft wheat,gdd,6.71346440931089e-05
IPSL-CM6A-LR,-5.5,-5.3985,4,LV,Soft wheat,gdd,0.000414144797644955
IPSL-CM6A-LR,-4.5,-4.3046,12,LV,Soft wheat,gdd,0.000108372067365272
IPSL-CM6A-LR,-3.5,-3.5013,7,LV,Soft wheat,gdd,0.000264210873300905
IPSL-CM6A-LR,-2.5,-2.2964,6,LV,Soft wheat,gdd,0.00016687911801518
EC-Earth3,-4.5,-4.5546,8,RO,Soft wheat,gdd,0.000634674675755566
EC-Earth3,-3.5,-3.4737,8,RO,Soft wheat,gdd,0.000778943433348408
EC-Earth3,-2.5,-2.5448,11,RO,Soft wheat,gdd,0.000711194214589003
IPSL-CM6A-LR,-5.5,-5.3985,4,RO,Soft wheat,gdd,0.000392870368720698
IPSL-CM6A-LR,-4.5,-4.3046,12,RO,Soft wheat,gdd,0.00076515665531763
IPSL-CM6A-LR,-3.5,-3.5013,7,RO,Soft wheat,gdd,0.000690590686317421
IPSL-CM6A-LR,-2.5,-2.2964,6,RO,Soft wheat,gdd,0.00059378320237975
EC-Earth3,-4.5,-4.5546,8,SE,Soft wheat,gdd,5.76825273358853e-06
EC-Earth3,-3.5,-3.4737,8,SE,Soft wheat,gdd,9.23183599990121e-06
EC-Earth3,-2.5,-2.5448,11,SE,Soft wheat,gdd,0.000335918803679443
IPSL-CM6A-LR,-5.5,-5.3985,4,SE,Soft wheat,gdd,2.506104454074e-05
IPSL-CM6A-LR,-4.5,-4.3046,12,SE,Soft wheat,gdd,0.000338378488855513
IPSL-CM6A-LR,-3.5,-3.5013,7,SE,Soft wheat,gdd,0.000324330454660113
IPSL-CM6A-LR,-2.5,-2.2964,6,SE,Soft wheat,gdd,0.000191514868873289
EC-Earth3,-4.5,-4.5546,8,SK,Soft wheat,gdd,0.000670735502542918
EC-Earth3,-3.5,-3.4737,8,SK,Soft wheat,gdd,0.000822829765844973
EC-Earth3,-2.5,-2.5448,11,SK,Soft wheat,gdd,0.00094643630782264
IPSL-CM6A-LR,-5.5,-5.3985,4,SK,Soft wheat,gdd,0.000519961136317203
IPSL-CM6A-LR,-4.5,-4.3046,12,SK,Soft wheat,gdd,0.000855935853820709
IPSL-CM6A-LR,-3.5,-3.5013,7,SK,Soft wheat,gdd,0.000761049511042831
IPSL-CM6A-LR,-2.5,-2.2964,6,SK,Soft wheat,gdd,0.000615275418119504
