model,bin_id,delta_sv,n_years,component,dln
EC-Earth3,-3.5,-3.2771,5,gdd,4.74118431832479e-05
EC-Earth3,-2.5,-2.5562,17,gdd,9.91532293479698e-05
EC-Earth3,-1.5,-1.5166,7,gdd,8.0255073086203e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,gdd,0.000130701709592044
IPSL-CM6A-LR,-2.5,-2.5185,16,gdd,6.41480337705341e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,gdd,7.96528817086028e-05
EC-Earth3,-3.5,-3.2771,5,heat,-0.00558837533281202
EC-Earth3,-2.5,-2.5562,17,heat,-0.00974639491796249
EC-Earth3,-1.5,-1.5166,7,heat,-0.0120818197216649
IPSL-CM6A-LR,-3.5,-3.4513,9,heat,-0.00863511861356348
IPSL-CM6A-LR,-2.5,-2.5185,16,heat,-0.00976352831666544
IPSL-CM6A-LR,-1.5,-1.7768,5,heat,-0.0144509450721574
EC-Earth3,-3.5,-3.2771,5,frost,-0.00191774725837505
EC-Earth3,-2.5,-2.5562,17,frost,-0.000162588825134341
EC-Earth3,-1.5,-1.5166,7,frost,-0.00106619942368248
IPSL-CM6A-LR,-3.5,-3.4513,9,frost,0.0013435750730658
IPSL-CM6A-LR,-2.5,-2.5185,16,frost,0.00167002621371958
IPSL-CM6A-LR,-1.5,-1.7768,5,frost,0.0021177867850649
EC-Earth3,-3.5,-3.2771,5,precip,0.0231778661880385
EC-Earth3,-2.5,-2.5562,17,precip,0.0349572235083339
EC-Earth3,-1.5,-1.5166,7,precip,0.00282477345936291
IPSL-CM6A-LR,-3.5,-3.4513,9,precip,0.0169310704963364
IPSL-CM6A-LR,-2.5,-2.5185,16,precip,0.0315603794892086
IPSL-CM6A-LR,-1.5,-1.7768,5,precip,0.031561560141953
EC-Earth3,-3.5,-3.2771,5,precip2,-0.0196114134618357
EC-Earth3,-2.5,-2.5562,17,precip2,-0.0282799142879537
EC-Earth3,-1.5,-1.5166,7,precip2,-0.00441940012544923
IPSL-CM6A-LR,-3.5,-3.4513,9,precip2,-0.0121188777266028
IPSL-CM6A-LR,-2.5,-2.5185,16,precip2,-0.026580084915477
IPSL-CM6A-LR,-1.5,-1.7768,5,precip2,-0.0282102498164739
