model,bin_id,delta_sv,n_years,component,dln
EC-Earth3,-4.5,-4.5546,8,gdd,0.000259115358422466
EC-Earth3,-3.5,-3.4737,8,gdd,0.000282465402188269
EC-Earth3,-2.5,-2.5448,11,gdd,0.000294166345017421
IPSL-CM6A-LR,-5.5,-5.3985,4,gdd,-2.88378678674294e-05
IPSL-CM6A-LR,-4.5,-4.3046,12,gdd,0.000269189782222329
IPSL-CM6A-LR,-3.5,-3.5013,7,gdd,0.000330183544893142
IPSL-CM6A-LR,-2.5,-2.2964,6,gdd,0.000177779031531314
EC-Earth3,-4.5,-4.5546,8,heat,-0.0114111541446297
EC-Earth3,-3.5,-3.4737,8,heat,-0.0143204572167328
EC-Earth3,-2.5,-2.5448,11,heat,-0.0154166996628328
IPSL-CM6A-LR,-5.5,-5.3985,4,heat,-0.0112753060255168
IPSL-CM6A-LR,-4.5,-4.3046,12,heat,-0.0160586831867054
IPSL-CM6A-LR,-3.5,-3.5013,7,heat,-0.0226905641837643
IPSL-CM6A-LR,-2.5,-2.2964,6,heat,-0.0136709953815661
EC-Earth3,-4.5,-4.5546,8,frost,-0.00187300130107835
EC-Earth3,-3.5,-3.4737,8,frost,-0.00227947517853763
EC-Earth3,-2.5,-2.5448,11,frost,-0.0011271102749742
IPSL-CM6A-LR,-5.5,-5.3985,4,frost,-0.00179900535485989
IPSL-CM6A-LR,-4.5,-4.3046,12,frost,-0.00063313450203413
IPSL-CM6A-LR,-3.5,-3.5013,7,frost,0.000416521786559829
IPSL-CM6A-LR,-2.5,-2.2964,6,frost,-5.57650064675871e-05
EC-Earth3,-4.5,-4.5546,8,precip,0.0149247125645718
EC-Earth3,-3.5,-3.4737,8,precip,-0.00733086843774858
EC-Earth3,-2.5,-2.5448,11,precip,-0.00495485708365484
IPSL-CM6A-LR,-5.5,-5.3985,4,precip,-0.0164063153811034
IPSL-CM6A-LR,-4.5,-4.3046,12,precip,-0.00539784280620023
IPSL-CM6A-LR,-3.5,-3.5013,7,precip,-0.00299847126989485
IPSL-CM6A-LR,-2.5,-2.2964,6,precip,0.013240701642812
EC-Earth3,-4.5,-4.5546,8,precip2,-0.012603662428531
EC-Earth3,-3.5,-3.4737,8,precip2,0.00095089657761492
EC-Earth3,-2.5,-2.5448,11,precip2,0.00113528768801294
IPSL-CM6A-LR,-5.5,-5.3985,4,precip2,0.0118488924264683
IPSL-CM6A-LR,-4.5,-4.3046,12,precip2,0.00292043145170277
IPSL-CM6A-LR,-3.5,-3.5013,7,precip2,0.00340523596306626
IPSL-CM6A-LR,-2.5,-2.2964,6,precip2,-0.00918460937371326
