model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
EC-Earth3,-3.5,-3.2771,5,AT,AUT,hdd_calendar,-0.0280666098546738,Electricity
EC-Earth3,-2.5,-2.5562,17,AT,AUT,hdd_calendar,-0.0361992478164301,Electricity
EC-Earth3,-1.5,-1.5166,7,AT,AUT,hdd_calendar,-0.0411388612586514,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,AT,AUT,hdd_calendar,-0.0393839595948247,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,AT,AUT,hdd_calendar,-0.0364729904826361,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,AT,AUT,hdd_calendar,-0.0358722737854332,Electricity
EC-Earth3,-3.5,-3.2771,5,BE,BEL,hdd_calendar,-0.026640900195377,Electricity
EC-Earth3,-2.5,-2.5562,17,BE,BEL,hdd_calendar,-0.0302960460239546,Electricity
EC-Earth3,-1.5,-1.5166,7,BE,BEL,hdd_calendar,-0.0369400696148701,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,BE,BEL,hdd_calendar,-0.0339664380907672,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,BE,BEL,hdd_calendar,-0.0312752906579708,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,BE,BEL,hdd_calendar,-0.0305359040188756,Electricity
EC-Earth3,-3.5,-3.2771,5,BG,BGR,hdd_calendar,-0.0244733436238223,Electricity
EC-Earth3,-2.5,-2.5562,17,BG,BGR,hdd_calendar,-0.0366192649052128,Electricity
EC-Earth3,-1.5,-1.5166,7,BG,BGR,hdd_calendar,-0.0339800627853268,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,BG,BGR,hdd_calendar,-0.0266675345162055,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,BG,BGR,hdd_calendar,-0.0282693214525261,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,BG,BGR,hdd_calendar,-0.027746345659575,Electricity
EC-Earth3,-3.5,-3.2771,5,CY,CYP,hdd_calendar,-0.0096320812621991,Electricity
EC-Earth3,-2.5,-2.5562,17,CY,CYP,hdd_calendar,-0.0181558094646444,Electricity
EC-Earth3,-1.5,-1.5166,7,CY,CYP,hdd_calendar,-0.0150636934216424,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,CY,CYP,hdd_calendar,-0.0104268986011851,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,CY,CYP,hdd_calendar,-0.0143361794644001,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,CY,CYP,hdd_calendar,-0.0108127700806201,Electricity
EC-Earth3,-3.5,-3.2771,5,CZ,CZE,hdd_calendar,-0.0257902607494061,Electricity
EC-Earth3,-2.5,-2.5562,17,CZ,CZE,hdd_calendar,-0.0357007629245067,Electricity
EC-Earth3,-1.5,-1.5166,7,CZ,CZE,hdd_calendar,-0.0394513188918676,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,CZ,CZE,hdd_calendar,-0.0391829627328131,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,CZ,CZE,hdd_calendar,-0.039651849793053,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,CZ,CZE,hdd_calendar,-0.0353598659840214,Electricity
EC-Earth3,-3.5,-3.2771,5,DE,DEU,hdd_calendar,-0.0261021376496324,Electricity
EC-Earth3,-2.5,-2.5562,17,DE,DEU,hdd_calendar,-0.0328320844169086,Electricity
EC-Earth3,-1.5,-1.5166,7,DE,DEU,hdd_calendar,-0.0378806767771736,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,DE,DEU,hdd_calendar,-0.038007865444307,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,DE,DEU,hdd_calendar,-0.0358885078606198,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,DE,DEU,hdd_calendar,-0.0329113723111035,Electricity
EC-Earth3,-3.5,-3.2771,5,DK,DNK,hdd_calendar,-0.0289777682927582,Electricity
EC-Earth3,-2.5,-2.5562,17,DK,DNK,hdd_calendar,-0.0316496435857809,Electricity
EC-Earth3,-1.5,-1.5166,7,DK,DNK,hdd_calendar,-0.0429531449701756,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,DK,DNK,hdd_calendar,-0.033688501777125,Electricity
