model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
EC-Earth3,-4.5,-4.5546,8,AT,AUT,hdd_calendar,-0.087403850759056,Electricity
EC-Earth3,-3.5,-3.4737,8,AT,AUT,hdd_calendar,-0.0947782399874704,Electricity
EC-Earth3,-2.5,-2.5448,11,AT,AUT,hdd_calendar,-0.0739495860312847,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,AT,AUT,hdd_calendar,-0.0895131995041954,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,AT,AUT,hdd_calendar,-0.0763557704611791,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,AT,AUT,hdd_calendar,-0.0731077998410126,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,AT,AUT,hdd_calendar,-0.0680567472075851,Electricity
EC-Earth3,-4.5,-4.5546,8,BE,BEL,hdd_calendar,-0.0716016280662387,Electricity
EC-Earth3,-3.5,-3.4737,8,BE,BEL,hdd_calendar,-0.0756833703504657,Electricity
EC-Earth3,-2.5,-2.5448,11,BE,BEL,hdd_calendar,-0.0610093692870336,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,BE,BEL,hdd_calendar,-0.0756937146808085,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,BE,BEL,hdd_calendar,-0.0631243841158202,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,BE,BEL,hdd_calendar,-0.0675809266502506,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,BE,BEL,hdd_calendar,-0.0573818642546691,Electricity
EC-Earth3,-4.5,-4.5546,8,BG,BGR,hdd_calendar,-0.082834974388633,Electricity
EC-Earth3,-3.5,-3.4737,8,BG,BGR,hdd_calendar,-0.082160076727891,Electricity
EC-Earth3,-2.5,-2.5448,11,BG,BGR,hdd_calendar,-0.0699661428429636,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,BG,BGR,hdd_calendar,-0.0734372341451721,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,BG,BGR,hdd_calendar,-0.0628506041727481,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,BG,BGR,hdd_calendar,-0.0549384029586747,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,BG,BGR,hdd_calendar,-0.0584833397326275,Electricity
EC-Earth3,-4.5,-4.5546,8,CY,CYP,hdd_calendar,-0.0376323569336478,Electricity
EC-Earth3,-3.5,-3.4737,8,CY,CYP,hdd_calendar,-0.0356805402246474,Electricity
EC-Earth3,-2.5,-2.5448,11,CY,CYP,hdd_calendar,-0.0301549344473328,Electricity
