model,cntr,crop,component,dln
ec-earth3,CZ,Soft wheat,gdd_mj,-0.0668147399298966
ipsl-cm6a-lr,CZ,Soft wheat,gdd_mj,-0.0713719421530153
ec-earth3,DE,Soft wheat,gdd_mj,-0.068326737806885
ipsl-cm6a-lr,DE,Soft wheat,gdd_mj,-0.0649649071648866
ec-earth3,DK,Soft wheat,gdd_mj,-0.0702392901084066
ipsl-cm6a-lr,DK,Soft wheat,gdd_mj,-0.0538802764469566
ec-earth3,EE,Soft wheat,gdd_mj,-0.0764178711090905
ipsl-cm6a-lr,EE,Soft wheat,gdd_mj,-0.0683511090310161
ec-earth3,EL,Soft wheat,gdd_mj,-0.0867530434975941
ipsl-cm6a-lr,EL,Soft wheat,gdd_mj,-0.0692296917895026
ec-earth3,ES,Soft wheat,gdd_mj,-0.101356689303368
ipsl-cm6a-lr,ES,Soft wheat,gdd_mj,-0.0689051546061784
ec-earth3,FI,Soft wheat,gdd_mj,-0.074110409993235
ipsl-cm6a-lr,FI,Soft wheat,gdd_mj,-0.0628038143522209
ec-earth3,FR,Soft wheat,gdd_mj,-0.0736076933247353
ipsl-cm6a-lr,FR,Soft wheat,gdd_mj,-0.0600304287539833
ec-earth3,HU,Soft wheat,gdd_mj,-0.0753734048699141
ipsl-cm6a-lr,HU,Soft wheat,gdd_mj,-0.079932033855556
ec-earth3,IT,Soft wheat,gdd_mj,-0.0884916298667187
ipsl-cm6a-lr,IT,Soft wheat,gdd_mj,-0.0777584095534194
ec-earth3,LT,Soft wheat,gdd_mj,-0.0688321271896454
ipsl-cm6a-lr,LT,Soft wheat,gdd_mj,-0.0731610515286182
ec-earth3,LV,Soft wheat,gdd_mj,-0.0726772164239267
ipsl-cm6a-lr,LV,Soft wheat,gdd_mj,-0.0722496956085957
ec-earth3,RO,Soft wheat,gdd_mj,-0.0743056283735165
ipsl-cm6a-lr,RO,Soft wheat,gdd_mj,-0.0758973962281227
ec-earth3,SE,Soft wheat,gdd_mj,-0.0715061580146891
ipsl-cm6a-lr,SE,Soft wheat,gdd_mj,-0.060161986095855
ec-earth3,SK,Soft wheat,gdd_mj,-0.0709458748441653
ipsl-cm6a-lr,SK,Soft wheat,gdd_mj,-0.0776043391163871
ec-earth3,EL,Durum wheat,gdd_mj,-0.105741669024455
ipsl-cm6a-lr,EL,Durum wheat,gdd_mj,-0.0842136471023315
ec-earth3,ES,Durum wheat,gdd_mj,-0.117198341555462
ipsl-cm6a-lr,ES,Durum wheat,gdd_mj,-0.0814236546461318
ec-earth3,FR,Durum wheat,gdd_mj,-0.0999917913420983
ipsl-cm6a-lr,FR,Durum wheat,gdd_mj,-0.077900817243356
ec-earth3,HU,Durum wheat,gdd_mj,-0.0919955607296979
ipsl-cm6a-lr,HU,Durum wheat,gdd_mj,-0.0973736426837475
ec-earth3,IT,Durum wheat,gdd_mj,-0.104684037775365
ipsl-cm6a-lr,IT,Durum wheat,gdd_mj,-0.0851045461041184
ec-earth3,RO,Durum wheat,gdd_mj,-0.0904906849293123
ipsl-cm6a-lr,RO,Durum wheat,gdd_mj,-0.0925867442269177
ec-earth3,SK,Durum wheat,gdd_mj,-0.0873013696662434
ipsl-cm6a-lr,SK,Durum wheat,gdd_mj,-0.0954188486744443
ec-earth3,CZ,Spring barley,gdd_mj,-0.12983159561422
ipsl-cm6a-lr,CZ,Spring barley,gdd_mj,-0.138830766536035
ec-earth3,DE,Spring barley,gdd_mj,-0.13284267739461
ipsl-cm6a-lr,DE,Spring barley,gdd_mj,-0.1262835723652
ec-earth3,DK,Spring barley,gdd_mj,-0.134457495246082
ipsl-cm6a-lr,DK,Spring barley,gdd_mj,-0.103320341493479
ec-earth3,EE,Spring barley,gdd_mj,-0.148534762363927
ipsl-cm6a-lr,EE,Spring barley,gdd_mj,-0.131981588656866
ec-earth3,ES,Spring barley,gdd_mj,-0.200160948773697
ipsl-cm6a-lr,ES,Spring barley,gdd_mj,-0.138812207901274
ec-earth3,FI,Spring barley,gdd_mj,-0.143008786496073
ipsl-cm6a-lr,FI,Spring barley,gdd_mj,-0.119708054732132
ec-earth3,FR,Spring barley,gdd_mj,-0.140887518138451
ipsl-cm6a-lr,FR,Spring barley,gdd_mj,-0.12073638690431
ec-earth3,HU,Spring barley,gdd_mj,-0.146261629892143
ipsl-cm6a-lr,HU,Spring barley,gdd_mj,-0.155561597478433
ec-earth3,LT,Spring barley,gdd_mj,-0.134010285293605
ipsl-cm6a-lr,LT,Spring barley,gdd_mj,-0.141427917696626
ec-earth3,LV,Spring barley,gdd_mj,-0.141309876945261
ipsl-cm6a-lr,LV,Spring barley,gdd_mj,-0.139788653803513
ec-earth3,SE,Spring barley,gdd_mj,-0.140717612904198
ipsl-cm6a-lr,SE,Spring barley,gdd_mj,-0.114578257718219
ec-earth3,SK,Spring barley,gdd_mj,-0.137748089885717
ipsl-cm6a-lr,SK,Spring barley,gdd_mj,-0.150889909993103
ec-earth3,CZ,Winter barley,gdd_mj,-0.137864904317885
ipsl-cm6a-lr,CZ,Winter barley,gdd_mj,-0.147090982945947
ec-earth3,DE,Winter barley,gdd_mj,-0.141995122308839
ipsl-cm6a-lr,DE,Winter barley,gdd_mj,-0.13546101757402
ec-earth3,DK,Winter barley,gdd_mj,-0.143061661470434
ipsl-cm6a-lr,DK,Winter barley,gdd_mj,-0.110185582288536
ec-earth3,EE,Winter barley,gdd_mj,-0.159432663155913
