model,cntr,crop,component,dln
ec-earth3,CZ,Soft wheat,gdd_mj,-0.177399707934593
ipsl-cm6a-lr,CZ,Soft wheat,gdd_mj,-0.169808357813641
ec-earth3,DE,Soft wheat,gdd_mj,-0.167357622234799
ipsl-cm6a-lr,DE,Soft wheat,gdd_mj,-0.15999079839839
ec-earth3,DK,Soft wheat,gdd_mj,-0.158613009815455
ipsl-cm6a-lr,DK,Soft wheat,gdd_mj,-0.139050521913728
ec-earth3,EE,Soft wheat,gdd_mj,-0.162205737702435
ipsl-cm6a-lr,EE,Soft wheat,gdd_mj,-0.174521177700749
ec-earth3,EL,Soft wheat,gdd_mj,-0.218601213905104
ipsl-cm6a-lr,EL,Soft wheat,gdd_mj,-0.16748834725376
ec-earth3,ES,Soft wheat,gdd_mj,-0.229302018224601
ipsl-cm6a-lr,ES,Soft wheat,gdd_mj,-0.166275607509485
ec-earth3,FI,Soft wheat,gdd_mj,-0.169545998738959
ipsl-cm6a-lr,FI,Soft wheat,gdd_mj,-0.169584538910829
ec-earth3,FR,Soft wheat,gdd_mj,-0.179103342911247
ipsl-cm6a-lr,FR,Soft wheat,gdd_mj,-0.152971045926748
ec-earth3,HU,Soft wheat,gdd_mj,-0.206303497859025
ipsl-cm6a-lr,HU,Soft wheat,gdd_mj,-0.179267434218573
ec-earth3,IT,Soft wheat,gdd_mj,-0.211160015018676
ipsl-cm6a-lr,IT,Soft wheat,gdd_mj,-0.167382400249522
ec-earth3,LT,Soft wheat,gdd_mj,-0.153521275827059
ipsl-cm6a-lr,LT,Soft wheat,gdd_mj,-0.17755756227211
ec-earth3,LV,Soft wheat,gdd_mj,-0.157235819886484
ipsl-cm6a-lr,LV,Soft wheat,gdd_mj,-0.177282105244806
ec-earth3,RO,Soft wheat,gdd_mj,-0.199784906374215
ipsl-cm6a-lr,RO,Soft wheat,gdd_mj,-0.180706882253568
ec-earth3,SE,Soft wheat,gdd_mj,-0.16519672644393
ipsl-cm6a-lr,SE,Soft wheat,gdd_mj,-0.159166659389947
ec-earth3,SK,Soft wheat,gdd_mj,-0.199386299735439
ipsl-cm6a-lr,SK,Soft wheat,gdd_mj,-0.178962734062469
ec-earth3,EL,Durum wheat,gdd_mj,-0.256152103136794
ipsl-cm6a-lr,EL,Durum wheat,gdd_mj,-0.199898919916598
ec-earth3,ES,Durum wheat,gdd_mj,-0.252392559942185
ipsl-cm6a-lr,ES,Durum wheat,gdd_mj,-0.186391760945596
ec-earth3,FR,Durum wheat,gdd_mj,-0.242687272874229
ipsl-cm6a-lr,FR,Durum wheat,gdd_mj,-0.19195934042277
ec-earth3,HU,Durum wheat,gdd_mj,-0.251106353683894
ipsl-cm6a-lr,HU,Durum wheat,gdd_mj,-0.21754152976696
ec-earth3,IT,Durum wheat,gdd_mj,-0.247938343248635
ipsl-cm6a-lr,IT,Durum wheat,gdd_mj,-0.186886053777352
ec-earth3,RO,Durum wheat,gdd_mj,-0.243487245621166
ipsl-cm6a-lr,RO,Durum wheat,gdd_mj,-0.221332807118682
ec-earth3,SK,Durum wheat,gdd_mj,-0.246014296275003
ipsl-cm6a-lr,SK,Durum wheat,gdd_mj,-0.217737478162986
ec-earth3,CZ,Spring barley,gdd_mj,-0.345154540608628
ipsl-cm6a-lr,CZ,Spring barley,gdd_mj,-0.330255646302625
ec-earth3,DE,Spring barley,gdd_mj,-0.329790121684209
ipsl-cm6a-lr,DE,Spring barley,gdd_mj,-0.311164057768656
ec-earth3,DK,Spring barley,gdd_mj,-0.304899216317903
ipsl-cm6a-lr,DK,Spring barley,gdd_mj,-0.267713444465735
ec-earth3,EE,Spring barley,gdd_mj,-0.315652019404681
ipsl-cm6a-lr,EE,Spring barley,gdd_mj,-0.337606490109269
ec-earth3,ES,Spring barley,gdd_mj,-0.451347508440421
ipsl-cm6a-lr,ES,Spring barley,gdd_mj,-0.328311481600145
ec-earth3,FI,Spring barley,gdd_mj,-0.329967304202558
ipsl-cm6a-lr,FI,Spring barley,gdd_mj,-0.323450915236251
ec-earth3,FR,Spring barley,gdd_mj,-0.349359528624405
ipsl-cm6a-lr,FR,Spring barley,gdd_mj,-0.305141036494266
ec-earth3,HU,Spring barley,gdd_mj,-0.401215159986895
ipsl-cm6a-lr,HU,Spring barley,gdd_mj,-0.349442605516646
ec-earth3,LT,Spring barley,gdd_mj,-0.298185121651159
ipsl-cm6a-lr,LT,Spring barley,gdd_mj,-0.343634938358488
ec-earth3,LV,Spring barley,gdd_mj,-0.305290243075624
ipsl-cm6a-lr,LV,Spring barley,gdd_mj,-0.343697333262221
ec-earth3,SE,Spring barley,gdd_mj,-0.32451805636376
ipsl-cm6a-lr,SE,Spring barley,gdd_mj,-0.305157164223525
ec-earth3,SK,Spring barley,gdd_mj,-0.387714437315856
ipsl-cm6a-lr,SK,Spring barley,gdd_mj,-0.346974438238374
ec-earth3,CZ,Winter barley,gdd_mj,-0.367283051349963
ipsl-cm6a-lr,CZ,Winter barley,gdd_mj,-0.351244300856164
ec-earth3,DE,Winter barley,gdd_mj,-0.348941404140592
ipsl-cm6a-lr,DE,Winter barley,gdd_mj,-0.333489844640252
ec-earth3,DK,Winter barley,gdd_mj,-0.325072018586537
ipsl-cm6a-lr,DK,Winter barley,gdd_mj,-0.286708474355819
ec-earth3,EE,Winter barley,gdd_mj,-0.339520196293545
ipsl-cm6a-lr,EE,Winter barley,gdd_mj,-0.361360672882913
ec-earth3,EL,Winter barley,gdd_mj,-0.436836067977772
ipsl-cm6a-lr,EL,Winter barley,gdd_mj,-0.342013585621738
ec-earth3,ES,Winter barley,gdd_mj,-0.478923408979986
ipsl-cm6a-lr,ES,Winter barley,gdd_mj,-0.347212000314969
ec-earth3,FR,Winter barley,gdd_mj,-0.378019517438888
ipsl-cm6a-lr,FR,Winter barley,gdd_mj,-0.323273575826984
ec-earth3,HU,Winter barley,gdd_mj,-0.430451995777513
ipsl-cm6a-lr,HU,Winter barley,gdd_mj,-0.373011692065771
ec-earth3,IT,Winter barley,gdd_mj,-0.438369293079972
ipsl-cm6a-lr,IT,Winter barley,gdd_mj,-0.33829588026544
ec-earth3,LT,Winter barley,gdd_mj,-0.31956943255285
ipsl-cm6a-lr,LT,Winter barley,gdd_mj,-0.36976955942431
ec-earth3,LV,Winter barley,gdd_mj,-0.329279164898357
ipsl-cm6a-lr,LV,Winter barley,gdd_mj,-0.367688084869753
ec-earth3,SE,Winter barley,gdd_mj,-0.349341160669879
ipsl-cm6a-lr,SE,Winter barley,gdd_mj,-0.325803709258905
ec-earth3,SK,Winter barley,gdd_mj,-0.415715218256454
ipsl-cm6a-lr,SK,Winter barley,gdd_mj,-0.373209286993224
ec-earth3,CZ,Soft wheat,heat_mj,-0.0760894475657008
ipsl-cm6a-lr,CZ,Soft wheat,heat_mj,-0.0773312655811642
ec-earth3,DE,Soft wheat,heat_mj,-0.0554794757677579
ipsl-cm6a-lr,DE,Soft wheat,heat_mj,-0.058023675121968
ec-earth3,DK,Soft wheat,heat_mj,-0.0102308551664997
ipsl-cm6a-lr,DK,Soft wheat,heat_mj,-0.0110532032899624
ec-earth3,EE,Soft wheat,heat_mj,-0.021528798160765
ipsl-cm6a-lr,EE,Soft wheat,heat_mj,-0.0438215462354363
ec-earth3,EL,Soft wheat,heat_mj,-0.233423700454636
ipsl-cm6a-lr,EL,Soft wheat,heat_mj,-0.1650792311179
ec-earth3,ES,Soft wheat,heat_mj,-0.234333665854352
ipsl-cm6a-lr,ES,Soft wheat,heat_mj,-0.146938189415336
ec-earth3,FI,Soft wheat,heat_mj,-0.0182403665112286
ipsl-cm6a-lr,FI,Soft wheat,heat_mj,-0.0336656469772776
ec-earth3,FR,Soft wheat,heat_mj,-0.0855454413969556
ipsl-cm6a-lr,FR,Soft wheat,heat_mj,-0.0661835301188799
ec-earth3,HU,Soft wheat,heat_mj,-0.198871028994201
ipsl-cm6a-lr,HU,Soft wheat,heat_mj,-0.150000983545888
ec-earth3,IT,Soft wheat,heat_mj,-0.230937805405289
ipsl-cm6a-lr,IT,Soft wheat,heat_mj,-0.144690611680644
ec-earth3,LT,Soft wheat,heat_mj,-0.0313315433494562
ipsl-cm6a-lr,LT,Soft wheat,heat_mj,-0.0618380905771916
ec-earth3,LV,Soft wheat,heat_mj,-0.0250329653249133
