model,cntr,crop,component,dln
ec-earth3,CZ,Soft wheat,gdd,-5.12242981753025e-05
ipsl-cm6a-lr,CZ,Soft wheat,gdd,0.000162168688142287
ec-earth3,DE,Soft wheat,gdd,4.39466629350748e-05
ipsl-cm6a-lr,DE,Soft wheat,gdd,-7.79464796159847e-05
ec-earth3,DK,Soft wheat,gdd,4.44889458684005e-05
ipsl-cm6a-lr,DK,Soft wheat,gdd,-4.8103494344321e-05
ec-earth3,EE,Soft wheat,gdd,0.000428833446077975
ipsl-cm6a-lr,EE,Soft wheat,gdd,0.000428916459377563
ec-earth3,EL,Soft wheat,gdd,0.000199004056827206
ipsl-cm6a-lr,EL,Soft wheat,gdd,0.00022775344095748
ec-earth3,ES,Soft wheat,gdd,0.000153427243194677
ipsl-cm6a-lr,ES,Soft wheat,gdd,6.24533600115372e-05
ec-earth3,FI,Soft wheat,gdd,0.000292196182800334
ipsl-cm6a-lr,FI,Soft wheat,gdd,0.000348350976275311
ec-earth3,FR,Soft wheat,gdd,8.54518894925142e-05
ipsl-cm6a-lr,FR,Soft wheat,gdd,-0.000100807240444522
ec-earth3,HU,Soft wheat,gdd,0.000456327120043926
ipsl-cm6a-lr,HU,Soft wheat,gdd,0.000333815651787794
ec-earth3,IT,Soft wheat,gdd,0.000254461154471595
ipsl-cm6a-lr,IT,Soft wheat,gdd,0.000347355124730437
ec-earth3,LT,Soft wheat,gdd,-0.000146663352181428
ipsl-cm6a-lr,LT,Soft wheat,gdd,0.000138583068392285
ec-earth3,LV,Soft wheat,gdd,6.73761164176898e-06
ipsl-cm6a-lr,LV,Soft wheat,gdd,0.000182700309240513
ec-earth3,RO,Soft wheat,gdd,0.000311068086962503
ipsl-cm6a-lr,RO,Soft wheat,gdd,0.000411915842736032
ec-earth3,SE,Soft wheat,gdd,-6.65013270328188e-05
ipsl-cm6a-lr,SE,Soft wheat,gdd,-1.63442075534211e-05
ec-earth3,SK,Soft wheat,gdd,0.000379861853456345
ipsl-cm6a-lr,SK,Soft wheat,gdd,0.000396892436674262
ec-earth3,EL,Durum wheat,gdd,0.00071910322780554
ipsl-cm6a-lr,EL,Durum wheat,gdd,0.000710681270963719
ec-earth3,ES,Durum wheat,gdd,0.00079088734300875
ipsl-cm6a-lr,ES,Durum wheat,gdd,-0.000834782580348012
ec-earth3,FR,Durum wheat,gdd,0.000632200260384512
ipsl-cm6a-lr,FR,Durum wheat,gdd,0.000417019458825168
ec-earth3,HU,Durum wheat,gdd,0.00113852995618696
ipsl-cm6a-lr,HU,Durum wheat,gdd,0.00121095629047033
ec-earth3,IT,Durum wheat,gdd,0.000261248586137497
ipsl-cm6a-lr,IT,Durum wheat,gdd,0.000635308766813708
ec-earth3,RO,Durum wheat,gdd,0.00062424610414374
ipsl-cm6a-lr,RO,Durum wheat,gdd,0.00119669604848965
ec-earth3,SK,Durum wheat,gdd,0.00162297417820254
ipsl-cm6a-lr,SK,Durum wheat,gdd,0.000594015130648458
ec-earth3,CZ,Spring barley,gdd,7.80581449633612e-05
ipsl-cm6a-lr,CZ,Spring barley,gdd,-0.000215569894403011
ec-earth3,DE,Spring barley,gdd,-0.000100408604766861
ipsl-cm6a-lr,DE,Spring barley,gdd,7.5071260668673e-05
ec-earth3,DK,Spring barley,gdd,-1.4357032413998e-05
ipsl-cm6a-lr,DK,Spring barley,gdd,0.000100567704391938
ec-earth3,EE,Spring barley,gdd,-0.000525501495153481
ipsl-cm6a-lr,EE,Spring barley,gdd,-0.0005458660746712
ec-earth3,ES,Spring barley,gdd,-8.98579147893393e-05
ipsl-cm6a-lr,ES,Spring barley,gdd,-0.000102711847202818
ec-earth3,FI,Spring barley,gdd,-0.000215001339881284
ipsl-cm6a-lr,FI,Spring barley,gdd,-0.000353623665296728
ec-earth3,FR,Spring barley,gdd,-5.52142489094366e-05
ipsl-cm6a-lr,FR,Spring barley,gdd,0.000207259165071653
ec-earth3,HU,Spring barley,gdd,-0.000603856048497868
ipsl-cm6a-lr,HU,Spring barley,gdd,-0.000373223052032149
ec-earth3,LT,Spring barley,gdd,0.00014216695148169
ipsl-cm6a-lr,LT,Spring barley,gdd,-0.000210987640586631
ec-earth3,LV,Spring barley,gdd,3.81897364495533e-05
ipsl-cm6a-lr,LV,Spring barley,gdd,-0.000100339228489079
ec-earth3,SE,Spring barley,gdd,5.91713815733425e-05
ipsl-cm6a-lr,SE,Spring barley,gdd,3.23704797130227e-05
ec-earth3,SK,Spring barley,gdd,-0.000550034148430625
ipsl-cm6a-lr,SK,Spring barley,gdd,-0.000483828779739612
ec-earth3,CZ,Winter barley,gdd,-3.58212903569735e-06
ipsl-cm6a-lr,CZ,Winter barley,gdd,2.54887354094085e-05
ec-earth3,DE,Winter barley,gdd,6.57199564323176e-06
ipsl-cm6a-lr,DE,Winter barley,gdd,-1.1342518593585e-05
ec-earth3,DK,Winter barley,gdd,2.28311190622841e-05
ipsl-cm6a-lr,DK,Winter barley,gdd,3.1978678135252e-06
ec-earth3,EE,Winter barley,gdd,6.27805751691046e-05
ipsl-cm6a-lr,EE,Winter barley,gdd,6.84474176769553e-05
ec-earth3,EL,Winter barley,gdd,3.3383851588025e-05
ipsl-cm6a-lr,EL,Winter barley,gdd,2.69159834891568e-05
ec-earth3,ES,Winter barley,gdd,2.37250604353258e-05
ipsl-cm6a-lr,ES,Winter barley,gdd,-1.92568613790939e-06
ec-earth3,FR,Winter barley,gdd,1.52856320941224e-05
ipsl-cm6a-lr,FR,Winter barley,gdd,-1.54955188530257e-05
ec-earth3,HU,Winter barley,gdd,8.04211290263449e-05
ipsl-cm6a-lr,HU,Winter barley,gdd,6.94173309002397e-05
ec-earth3,IT,Winter barley,gdd,3.35436559727633e-05
ipsl-cm6a-lr,IT,Winter barley,gdd,5.08878680426114e-05
ec-earth3,LT,Winter barley,gdd,-2.18805753620839e-05
ipsl-cm6a-lr,LT,Winter barley,gdd,2.83704478126804e-05
ec-earth3,LV,Winter barley,gdd,-7.3533493995249e-06
ipsl-cm6a-lr,LV,Winter barley,gdd,1.92650503673225e-05
ec-earth3,SE,Winter barley,gdd,-1.56833865588384e-05
ipsl-cm6a-lr,SE,Winter barley,gdd,-1.11169645542687e-05
ec-earth3,SK,Winter barley,gdd,6.86463689805245e-05
ipsl-cm6a-lr,SK,Winter barley,gdd,7.04663355931495e-05
ec-earth3,CZ,Soft wheat,heat,-0.00483565850056236
ipsl-cm6a-lr,CZ,Soft wheat,heat,-0.00990054104888486
ec-earth3,DE,Soft wheat,heat,-0.00544314725689552
ipsl-cm6a-lr,DE,Soft wheat,heat,-0.00632596858663431
ec-earth3,DK,Soft wheat,heat,-0.000831954796093651
ipsl-cm6a-lr,DK,Soft wheat,heat,-0.000512524516571247
ec-earth3,EE,Soft wheat,heat,-0.00319608823130503
ipsl-cm6a-lr,EE,Soft wheat,heat,-0.00423337171389507
ec-earth3,EL,Soft wheat,heat,-0.020448336247441
ipsl-cm6a-lr,EL,Soft wheat,heat,-0.0222323439094476
ec-earth3,ES,Soft wheat,heat,-0.0207727588355963
ipsl-cm6a-lr,ES,Soft wheat,heat,-0.0172098347674481
ec-earth3,FI,Soft wheat,heat,-0.00246080775057071
ipsl-cm6a-lr,FI,Soft wheat,heat,-0.00288452310058831
ec-earth3,FR,Soft wheat,heat,-0.00673175921611402
ipsl-cm6a-lr,FR,Soft wheat,heat,-0.00453612414258754
ec-earth3,HU,Soft wheat,heat,-0.0175378589133704
ipsl-cm6a-lr,HU,Soft wheat,heat,-0.0265588253953226
ec-earth3,IT,Soft wheat,heat,-0.020901225446208
ipsl-cm6a-lr,IT,Soft wheat,heat,-0.0200428413212697
ec-earth3,LT,Soft wheat,heat,-0.00318449951132424
ipsl-cm6a-lr,LT,Soft wheat,heat,-0.00695399294917485
ec-earth3,LV,Soft wheat,heat,-0.00318239000358116
ipsl-cm6a-lr,LV,Soft wheat,heat,-0.00569912924767846
ec-earth3,RO,Soft wheat,heat,-0.0160199461501238
ipsl-cm6a-lr,RO,Soft wheat,heat,-0.0265629880120005
ec-earth3,SE,Soft wheat,heat,-0.00204987426192648
ipsl-cm6a-lr,SE,Soft wheat,heat,-0.00245798711468287
ec-earth3,SK,Soft wheat,heat,-0.00945858901189242
ipsl-cm6a-lr,SK,Soft wheat,heat,-0.0165159907445938
ec-earth3,EL,Durum wheat,heat,-8.24906486767602e-05
ipsl-cm6a-lr,EL,Durum wheat,heat,-8.755663299086e-05
ec-earth3,ES,Durum wheat,heat,-0.000101914620811652
ipsl-cm6a-lr,ES,Durum wheat,heat,-8.11198891605256e-05
ec-earth3,FR,Durum wheat,heat,-4.19636852599405e-05
ipsl-cm6a-lr,FR,Durum wheat,heat,-3.13970742713607e-05
ec-earth3,HU,Durum wheat,heat,-6.78536548351526e-05
ipsl-cm6a-lr,HU,Durum wheat,heat,-0.000100590780018301
ec-earth3,IT,Durum wheat,heat,-5.99480404010282e-05
ipsl-cm6a-lr,IT,Durum wheat,heat,-5.54783656126568e-05
ec-earth3,RO,Durum wheat,heat,-5.53880130515673e-05
ipsl-cm6a-lr,RO,Durum wheat,heat,-9.30727902852914e-05
ec-earth3,SK,Durum wheat,heat,-3.90928562527292e-05
ipsl-cm6a-lr,SK,Durum wheat,heat,-6.50404483049936e-05
ec-earth3,CZ,Spring barley,heat,-0.00775895826384009
ipsl-cm6a-lr,CZ,Spring barley,heat,-0.0159575888972061
ec-earth3,DE,Spring barley,heat,-0.00920140131942572
ipsl-cm6a-lr,DE,Spring barley,heat,-0.0113622418682724
ec-earth3,DK,Spring barley,heat,-0.00138729021359473
ipsl-cm6a-lr,DK,Spring barley,heat,-0.000836651514544839
ec-earth3,EE,Spring barley,heat,-0.0051487355497417
ipsl-cm6a-lr,EE,Spring barley,heat,-0.00663424404147854
ec-earth3,ES,Spring barley,heat,-0.0348047543201621
ipsl-cm6a-lr,ES,Spring barley,heat,-0.0303358153013558
ec-earth3,FI,Spring barley,heat,-0.00375612036691367
ipsl-cm6a-lr,FI,Spring barley,heat,-0.00439511312460903
ec-earth3,FR,Spring barley,heat,-0.0121101921728686
ipsl-cm6a-lr,FR,Spring barley,heat,-0.00843644157999855
ec-earth3,HU,Spring barley,heat,-0.0263697919452288
ipsl-cm6a-lr,HU,Spring barley,heat,-0.0406735783768416
ec-earth3,LT,Spring barley,heat,-0.00517968449000295
ipsl-cm6a-lr,LT,Spring barley,heat,-0.011011042400957
ec-earth3,LV,Spring barley,heat,-0.00506169094189333
ipsl-cm6a-lr,LV,Spring barley,heat,-0.00920261460406845
ec-earth3,SE,Spring barley,heat,-0.00334261388635412
ipsl-cm6a-lr,SE,Spring barley,heat,-0.00378861114281122
ec-earth3,SK,Spring barley,heat,-0.0161708455265603
