model,cntr,crop,component,dln
ec-earth3,CZ,Soft wheat,gdd,0.000581871377016593
ipsl-cm6a-lr,CZ,Soft wheat,gdd,0.000710586571911208
ec-earth3,DE,Soft wheat,gdd,0.000345645580668784
ipsl-cm6a-lr,DE,Soft wheat,gdd,0.000318238668930336
ec-earth3,DK,Soft wheat,gdd,0.000199914716854172
ipsl-cm6a-lr,DK,Soft wheat,gdd,-9.36047404636071e-05
ec-earth3,EE,Soft wheat,gdd,0.000759833960341293
ipsl-cm6a-lr,EE,Soft wheat,gdd,0.000437814090307739
ec-earth3,EL,Soft wheat,gdd,0.000590971743273502
ipsl-cm6a-lr,EL,Soft wheat,gdd,0.000628158635466541
ec-earth3,ES,Soft wheat,gdd,0.000727548031320681
ipsl-cm6a-lr,ES,Soft wheat,gdd,0.000322349941254098
ec-earth3,FI,Soft wheat,gdd,0.0003799737762524
ipsl-cm6a-lr,FI,Soft wheat,gdd,0.00081652080295374
ec-earth3,FR,Soft wheat,gdd,0.000289614988689853
ipsl-cm6a-lr,FR,Soft wheat,gdd,0.000288661037774398
ec-earth3,HU,Soft wheat,gdd,0.000721527413652953
ipsl-cm6a-lr,HU,Soft wheat,gdd,0.00074149089521817
ec-earth3,IT,Soft wheat,gdd,0.000681146631177328
ipsl-cm6a-lr,IT,Soft wheat,gdd,0.000435287148318046
ec-earth3,LT,Soft wheat,gdd,0.000155797919324319
ipsl-cm6a-lr,LT,Soft wheat,gdd,0.000141105274020832
ec-earth3,LV,Soft wheat,gdd,-4.17057278049746e-05
ipsl-cm6a-lr,LV,Soft wheat,gdd,3.21442852807525e-05
ec-earth3,RO,Soft wheat,gdd,0.000808548284533788
ipsl-cm6a-lr,RO,Soft wheat,gdd,0.000711685646656947
ec-earth3,SE,Soft wheat,gdd,4.29386785083669e-05
ipsl-cm6a-lr,SE,Soft wheat,gdd,0.000284186234488321
ec-earth3,SK,Soft wheat,gdd,0.000809542357694208
ipsl-cm6a-lr,SK,Soft wheat,gdd,0.000595087548697224
ec-earth3,EL,Durum wheat,gdd,0.00158489711663995
ipsl-cm6a-lr,EL,Durum wheat,gdd,0.0016736103099121
ec-earth3,ES,Durum wheat,gdd,0.000903064870797616
ipsl-cm6a-lr,ES,Durum wheat,gdd,-0.00016992467012423
ec-earth3,FR,Durum wheat,gdd,0.00130621366299178
ipsl-cm6a-lr,FR,Durum wheat,gdd,0.000799521999466723
ec-earth3,HU,Durum wheat,gdd,0.0024786173714978
ipsl-cm6a-lr,HU,Durum wheat,gdd,0.00226383183178922
ec-earth3,IT,Durum wheat,gdd,0.00210142207780218
ipsl-cm6a-lr,IT,Durum wheat,gdd,0.00131626709152803
ec-earth3,RO,Durum wheat,gdd,0.00215401583942236
ipsl-cm6a-lr,RO,Durum wheat,gdd,0.00185505910070749
ec-earth3,SK,Durum wheat,gdd,0.00316621877824855
ipsl-cm6a-lr,SK,Durum wheat,gdd,0.0014726232304835
