model,cntr,country_id,component,dln,fuel
ec-earth3,AT,AUT,hdd_calendar,-0.0840254856612714,Electricity
ipsl-cm6a-lr,AT,AUT,hdd_calendar,-0.0768398292059217,Electricity
ec-earth3,BE,BEL,hdd_calendar,-0.0683121123788037,Electricity
ipsl-cm6a-lr,BE,BEL,hdd_calendar,-0.0659422169780578,Electricity
ec-earth3,BG,BGR,hdd_calendar,-0.0768253098665757,Electricity
ipsl-cm6a-lr,BG,BGR,hdd_calendar,-0.0626234203123012,Electricity
ec-earth3,CY,CYP,hdd_calendar,-0.0337863162737716,Electricity
ipsl-cm6a-lr,CY,CYP,hdd_calendar,-0.0270909251613702,Electricity
ec-earth3,CZ,CZE,hdd_calendar,-0.0846882124252318,Electricity
ipsl-cm6a-lr,CZ,CZE,hdd_calendar,-0.0806242884830006,Electricity
ec-earth3,DE,DEU,hdd_calendar,-0.0762633051948178,Electricity
ipsl-cm6a-lr,DE,DEU,hdd_calendar,-0.0758817764702834,Electricity
ec-earth3,DK,DNK,hdd_calendar,-0.0786351203541679,Electricity
ipsl-cm6a-lr,DK,DNK,hdd_calendar,-0.0758878153225917,Electricity
ec-earth3,EE,EST,hdd_calendar,-0.104783816809559,Electricity
ipsl-cm6a-lr,EE,EST,hdd_calendar,-0.101020474877126,Electricity
ec-earth3,EL,GRC,hdd_calendar,-0.0505564514333107,Electricity
ipsl-cm6a-lr,EL,GRC,hdd_calendar,-0.0407528593101851,Electricity
ec-earth3,ES,ESP,hdd_calendar,-0.047827598450454,Electricity
ipsl-cm6a-lr,ES,ESP,hdd_calendar,-0.0413948787750268,Electricity
ec-earth3,FI,FIN,hdd_calendar,-0.117232948119808,Electricity
ipsl-cm6a-lr,FI,FIN,hdd_calendar,-0.110296133384109,Electricity
ec-earth3,FR,FRA,hdd_calendar,-0.0640131018805123,Electricity
ipsl-cm6a-lr,FR,FRA,hdd_calendar,-0.0596289510200483,Electricity
ec-earth3,HR,HRV,hdd_calendar,-0.0664518849298112,Electricity
ipsl-cm6a-lr,HR,HRV,hdd_calendar,-0.0612816767938947,Electricity
ec-earth3,HU,HUN,hdd_calendar,-0.0748150616699634,Electricity
ipsl-cm6a-lr,HU,HUN,hdd_calendar,-0.0690069531629093,Electricity
