model,cntr,crop,component,dln
ec-earth3,CZ,Soft wheat,gdd,-5.65153676594605e-05
ipsl-cm6a-lr,CZ,Soft wheat,gdd,0.000178919445647625
ec-earth3,DE,Soft wheat,gdd,4.84860096019749e-05
ipsl-cm6a-lr,DE,Soft wheat,gdd,-8.59977415050647e-05
ec-earth3,DK,Soft wheat,gdd,4.90843061222603e-05
ipsl-cm6a-lr,DK,Soft wheat,gdd,-5.30722091939725e-05
ec-earth3,EE,Soft wheat,gdd,0.00047312858805463
ipsl-cm6a-lr,EE,Soft wheat,gdd,0.000473220175978992
ec-earth3,EL,Soft wheat,gdd,0.000219559619905857
ipsl-cm6a-lr,EL,Soft wheat,gdd,0.000251278590628406
ec-earth3,ES,Soft wheat,gdd,0.000169275077785356
ipsl-cm6a-lr,ES,Soft wheat,gdd,6.89043037845357e-05
ec-earth3,FI,Soft wheat,gdd,0.000322377763832668
ipsl-cm6a-lr,FI,Soft wheat,gdd,0.00038433290840524
ec-earth3,FR,Soft wheat,gdd,9.42784015378365e-05
ipsl-cm6a-lr,FR,Soft wheat,gdd,-0.000111219840181327
ec-earth3,HU,Soft wheat,gdd,0.000503462143571144
ipsl-cm6a-lr,HU,Soft wheat,gdd,0.000368296198548321
ec-earth3,IT,Soft wheat,gdd,0.000280745002123751
ipsl-cm6a-lr,IT,Soft wheat,gdd,0.000383234193182238
ec-earth3,LT,Soft wheat,gdd,-0.000161812529716586
ipsl-cm6a-lr,LT,Soft wheat,gdd,0.000152897615790905
ec-earth3,LV,Soft wheat,gdd,7.4335542436934e-06
ipsl-cm6a-lr,LV,Soft wheat,gdd,0.000201571822670731
ec-earth3,RO,Soft wheat,gdd,0.000343198988137373
ipsl-cm6a-lr,RO,Soft wheat,gdd,0.000454463528564408
ec-earth3,SE,Soft wheat,gdd,-7.33703941484911e-05
ipsl-cm6a-lr,SE,Soft wheat,gdd,-1.80324364000653e-05
ec-earth3,SK,Soft wheat,gdd,0.00041909861281887
ipsl-cm6a-lr,SK,Soft wheat,gdd,0.000437888322122875
ec-earth3,EL,Durum wheat,gdd,0.000840817391327499
ipsl-cm6a-lr,EL,Durum wheat,gdd,0.000830969948696456
ec-earth3,ES,Durum wheat,gdd,0.000924751561207538
ipsl-cm6a-lr,ES,Durum wheat,gdd,-0.000976076430189049
ec-earth3,FR,Durum wheat,gdd,0.000739205378559107
ipsl-cm6a-lr,FR,Durum wheat,gdd,0.000487603448217315
ec-earth3,HU,Durum wheat,gdd,0.00133123555936562
ipsl-cm6a-lr,HU,Durum wheat,gdd,0.00141592064921204
ec-earth3,IT,Durum wheat,gdd,0.000305467068134937
ipsl-cm6a-lr,IT,Durum wheat,gdd,0.000742840025388184
ec-earth3,RO,Durum wheat,gdd,0.000729904915646452
ipsl-cm6a-lr,RO,Durum wheat,gdd,0.00139924674343847
ec-earth3,SK,Durum wheat,gdd,0.00189767596909907
ipsl-cm6a-lr,SK,Durum wheat,gdd,0.00069455710007738
ec-earth3,CZ,Spring barley,gdd,7.9471986240568e-05
ipsl-cm6a-lr,CZ,Spring barley,gdd,-0.000219474440366449
ec-earth3,DE,Spring barley,gdd,-0.000102227272505798
ipsl-cm6a-lr,DE,Spring barley,gdd,7.64310015018062e-05
ec-earth3,DK,Spring barley,gdd,-1.46170765779304e-05
ipsl-cm6a-lr,DK,Spring barley,gdd,0.00010238925384959
ec-earth3,EE,Spring barley,gdd,-0.000535019729354802
ipsl-cm6a-lr,EE,Spring barley,gdd,-0.000555753165743621
ec-earth3,ES,Spring barley,gdd,-9.14854813818139e-05
ipsl-cm6a-lr,ES,Spring barley,gdd,-0.000104572232807699
ec-earth3,FI,Spring barley,gdd,-0.000218895587805336
ipsl-cm6a-lr,FI,Spring barley,gdd,-0.000360028733401131
ec-earth3,FR,Spring barley,gdd,-5.62143262778494e-05
