model,cntr,crop,component,dln
ec-earth3,CZ,Soft wheat,gdd,0.000641974140671867
ipsl-cm6a-lr,CZ,Soft wheat,gdd,0.000783984608788649
ec-earth3,DE,Soft wheat,gdd,0.00038134806658576
ipsl-cm6a-lr,DE,Soft wheat,gdd,0.000351110235156464
ec-earth3,DK,Soft wheat,gdd,0.000220564343993255
ipsl-cm6a-lr,DK,Soft wheat,gdd,-0.000103273378267967
ec-earth3,EE,Soft wheat,gdd,0.000838318867383458
ipsl-cm6a-lr,EE,Soft wheat,gdd,0.000483036862614624
ec-earth3,EL,Soft wheat,gdd,0.000652014503608318
ipsl-cm6a-lr,EL,Soft wheat,gdd,0.000693042511004534
ec-earth3,ES,Soft wheat,gdd,0.00080269805433527
ipsl-cm6a-lr,ES,Soft wheat,gdd,0.000355646169765669
ec-earth3,FI,Soft wheat,gdd,0.000419222096364645
ipsl-cm6a-lr,FI,Soft wheat,gdd,0.000900861017609365
ec-earth3,FR,Soft wheat,gdd,0.000319529952552657
ipsl-cm6a-lr,FR,Soft wheat,gdd,0.000318477465966476
ec-earth3,HU,Soft wheat,gdd,0.000796055553937035
ipsl-cm6a-lr,HU,Soft wheat,gdd,0.000818081107055596
ec-earth3,IT,Soft wheat,gdd,0.000751503752364731
ipsl-cm6a-lr,IT,Soft wheat,gdd,0.000480248907275287
ec-earth3,LT,Soft wheat,gdd,0.000171890626223126
ipsl-cm6a-lr,LT,Soft wheat,gdd,0.000155680345540022
ec-earth3,LV,Soft wheat,gdd,-4.60136033945692e-05
ipsl-cm6a-lr,LV,Soft wheat,gdd,3.54645386174992e-05
ec-earth3,RO,Soft wheat,gdd,0.000892065000372907
ipsl-cm6a-lr,RO,Soft wheat,gdd,0.000785197209362073
ec-earth3,SE,Soft wheat,gdd,4.73739082653112e-05
ipsl-cm6a-lr,SE,Soft wheat,gdd,0.00031354045048896
ec-earth3,SK,Soft wheat,gdd,0.000893161753518246
ipsl-cm6a-lr,SK,Soft wheat,gdd,0.000656555439551265
ec-earth3,EL,Durum wheat,gdd,0.00185315405022218
ipsl-cm6a-lr,EL,Durum wheat,gdd,0.00195688268452555
ec-earth3,ES,Durum wheat,gdd,0.00105591606253906
ipsl-cm6a-lr,ES,Durum wheat,gdd,-0.000198685824693138
ec-earth3,FR,Durum wheat,gdd,0.00152730111917963
