DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Albania,1990,714.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Albania,1991,529.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Albania,1992,583.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Albania,1993,759.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Albania,1994,780.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Albania,1995,883.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Albania,1996,1175.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Albania,1997,1105.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Albania,1998,1500.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Albania,1999,2221.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Albania,2000,2463.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Albania,2001,2405.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Albania,2002,2349.000,,
