model,exp,cntr,year,hdd_calendar,hdd_octmar,cdd_jja
EC-Earth3,g01,AL,1990,2249.19,1885.02,185.47
EC-Earth3,g01,AL,1991,2608.42,1867.38,153.36
EC-Earth3,g01,AL,1992,2516.28,2183.65,191.97
EC-Earth3,g01,AL,1993,2489.63,2055.15,220.98
EC-Earth3,g01,AL,1994,2222.93,1768.59,229.74
EC-Earth3,g01,AL,1995,2480.41,1932.59,167.87
EC-Earth3,g01,AL,1996,2442.98,2033.35,194.99
EC-Earth3,g01,AL,1997,2382.73,1825.84,178.12
EC-Earth3,g01,AL,1998,2289.73,1878.37,319.28
EC-Earth3,g01,AL,1999,2197.99,2041.31,280.97
EC-Earth3,g01,AL,2000,2258.19,1978.45,298.44
EC-Earth3,g01,AL,2001,2163.5,1603.91,310.1
EC-Earth3,g01,AL,2002,2095.3,1879.89,239.63
EC-Earth3,g01,AL,2003,2241.6,1902.39,351.27
EC-Earth3,g01,AL,2004,2237.24,1876.24,240.87
EC-Earth3,g01,AL,2005,2331.59,1904.82,179.64
EC-Earth3,g01,AL,2006,2348.31,1994.08,209.36
EC-Earth3,g01,AL,2007,2137.53,1764.61,291.81
EC-Earth3,g01,AL,2008,2127.68,1874.78,268.05
EC-Earth3,g01,AL,2009,2105.98,1845.93,191.11
EC-Earth3,g01,AL,2010,2039.17,1739.33,221.1
EC-Earth3,g01,AL,2011,2348.82,1691.72,229.46
EC-Earth3,g01,AL,2012,2433.86,2245.58,375.02
EC-Earth3,g01,AL,2013,2178.77,1844.56,266.9
EC-Earth3,g01,AL,2014,2209.67,1722.5,206.91
EC-Earth3,g01,AL,2015,2415.85,1989.88,253.42
EC-Earth3,g01,AL,2016,2274.83,1829.05,246.37
EC-Earth3,g01,AL,2017,2440.09,2053.6,323.43
EC-Earth3,g01,AL,2018,2139.57,1945.73,190.56
EC-Earth3,g01,AL,2019,2221.61,1908.84,313.91
EC-Earth3,g01,AL,2020,2315.66,1806.07,235.24
EC-Earth3,g01,AL,2021,2282.16,1830.64,355.01
EC-Earth3,g01,AL,2022,2290.65,2022.69,306.43
EC-Earth3,g01,AL,2023,2169.96,1755.99,275.95
EC-Earth3,g01,AL,2024,2032.55,1615.5,415.22
EC-Earth3,g01,AT,1990,3537.95,2602.02,68.89
EC-Earth3,g01,AT,1991,3909.84,2872.71,56.66
EC-Earth3,g01,AT,1992,3528.97,2864.89,128
EC-Earth3,g01,AT,1993,3729.34,2916.6,69.52
EC-Earth3,g01,AT,1994,3324.33,2698.23,124.5
EC-Earth3,g01,AT,1995,3701.18,2710.98,77.85
EC-Earth3,g01,AT,1996,4088.39,3162.67,44.57
EC-Earth3,g01,AT,1997,3680.64,2822.77,45.12
EC-Earth3,g01,AT,1998,3574.2,2699.1,92.19
EC-Earth3,g01,AT,1999,3546.97,2904.9,50.62
EC-Earth3,g01,AT,2000,3311.57,2844.47,93.09
EC-Earth3,g01,AT,2001,3613.6,2543.03,82.55
EC-Earth3,g01,AT,2002,3354.2,2678.48,89
EC-Earth3,g01,AT,2003,3632.32,2882.86,161
EC-Earth3,g01,AT,2004,3685.97,2938.34,63.88
EC-Earth3,g01,AT,2005,3795.52,2898.76,60.29
EC-Earth3,g01,AT,2006,3604.56,3114.94,101
EC-Earth3,g01,AT,2007,3331.54,2317.71,107.33
EC-Earth3,g01,AT,2008,3391.5,2782.25,75.34
EC-Earth3,g01,AT,2009,3506.37,2837.51,76.24
EC-Earth3,g01,AT,2010,3864.23,2912.95,95.39
EC-Earth3,g01,AT,2011,3413.84,2906.43,83.03
EC-Earth3,g01,AT,2012,3522.75,2803.92,119.49
EC-Earth3,g01,AT,2013,3612.27,2899.02,128.04
EC-Earth3,g01,AT,2014,3093.59,2475.74,68.39
EC-Earth3,g01,AT,2015,3257.53,2503.68,169.56
EC-Earth3,g01,AT,2016,3390.04,2503.67,83.82
EC-Earth3,g01,AT,2017,3452.42,2779.94,139.52
EC-Earth3,g01,AT,2018,3185.04,2781.69,136.86
EC-Earth3,g01,AT,2019,3190.73,2510.71,151.69
EC-Earth3,g01,AT,2020,3258.97,2452.28,89.73
EC-Earth3,g01,AT,2021,3565.08,2685.76,110.19
EC-Earth3,g01,AT,2022,3178.28,2629.26,135.05
EC-Earth3,g01,AT,2023,3106.5,2430.56,125.7
EC-Earth3,g01,AT,2024,2965.51,2276.44,164.24
EC-Earth3,g01,BE,1990,2837.84,1978.25,66.81
EC-Earth3,g01,BE,1991,3225.75,2282.48,38.68
EC-Earth3,g01,BE,1992,2976.91,2321.52,38.93
EC-Earth3,g01,BE,1993,3080.94,2310.74,21.33
EC-Earth3,g01,BE,1994,2814.56,2331.91,86.68
EC-Earth3,g01,BE,1995,2923.72,2046.53,105.18
EC-Earth3,g01,BE,1996,3477.29,2494.33,40.27
EC-Earth3,g01,BE,1997,2957.18,2359.93,62.99
EC-Earth3,g01,BE,1998,2949.08,2126.24,32.21
EC-Earth3,g01,BE,1999,2687.88,2267.8,49.05
EC-Earth3,g01,BE,2000,2702.38,2159.64,28.25
EC-Earth3,g01,BE,2001,2911.43,2117.17,60.68
EC-Earth3,g01,BE,2002,2679.63,2021.38,43.26
EC-Earth3,g01,BE,2003,2910.58,2211.19,98.85
EC-Earth3,g01,BE,2004,2847.84,2263.84,47.33
EC-Earth3,g01,BE,2005,2764.67,2206.7,60.63
EC-Earth3,g01,BE,2006,2704.24,2283.06,102.37
EC-Earth3,g01,BE,2007,2525.32,1741.31,24.57
EC-Earth3,g01,BE,2008,2868.32,2124.77,29.55
EC-Earth3,g01,BE,2009,2875.5,2422.89,54.46
EC-Earth3,g01,BE,2010,3328.76,2343.97,65.23
EC-Earth3,g01,BE,2011,2592.55,2349.41,27
EC-Earth3,g01,BE,2012,2970.19,2106.76,43.86
EC-Earth3,g01,BE,2013,3177.12,2422.97,64.94
EC-Earth3,g01,BE,2014,2500.66,1940.93,40.75
EC-Earth3,g01,BE,2015,2745.85,2103.22,84.14
EC-Earth3,g01,BE,2016,2857.32,1953.39,54
EC-Earth3,g01,BE,2017,2734.42,2193.38,69.75
EC-Earth3,g01,BE,2018,2700.68,2181.19,124.39
EC-Earth3,g01,BE,2019,2707.72,2018.49,104.08
EC-Earth3,g01,BE,2020,2514.71,1960.52,96.7
EC-Earth3,g01,BE,2021,2896.71,2040.84,48.77
EC-Earth3,g01,BE,2022,2556.43,2017.28,127.72
EC-Earth3,g01,BE,2023,2501.98,1930.43,90.01
EC-Earth3,g01,BE,2024,2495.26,1835.16,74.32
EC-Earth3,g01,BG,1990,3042.39,2576.53,154.79
EC-Earth3,g01,BG,1991,3484.94,2608.74,113.55
EC-Earth3,g01,BG,1992,3255.4,2769.38,149.04
EC-Earth3,g01,BG,1993,3328.38,2733.11,180.95
EC-Earth3,g01,BG,1994,2922.88,2466.03,175.05
EC-Earth3,g01,BG,1995,3299.02,2554.93,119.36
EC-Earth3,g01,BG,1996,3462.01,3044.14,169.98
EC-Earth3,g01,BG,1997,3463.38,2579.51,105.55
EC-Earth3,g01,BG,1998,3205.42,2658.53,194.3
EC-Earth3,g01,BG,1999,2989.75,2705.26,170.22
EC-Earth3,g01,BG,2000,3037.03,2654.34,237.01
EC-Earth3,g01,BG,2001,3092.61,2232.22,191.48
EC-Earth3,g01,BG,2002,3020.12,2595.29,152.54
EC-Earth3,g01,BG,2003,3357.42,2795.51,216.02
EC-Earth3,g01,BG,2004,3107.39,2653.66,120.68
EC-Earth3,g01,BG,2005,3258.18,2539.09,110.39
EC-Earth3,g01,BG,2006,3211.11,2744.49,159.4
EC-Earth3,g01,BG,2007,2922.51,2261.46,270.62
EC-Earth3,g01,BG,2008,2990.65,2639.41,207.21
EC-Earth3,g01,BG,2009,2978.87,2493.11,177.7
EC-Earth3,g01,BG,2010,3011.52,2478.22,185.15
EC-Earth3,g01,BG,2011,3291.42,2537.04,169.8
EC-Earth3,g01,BG,2012,3114.79,2891.75,290.52
EC-Earth3,g01,BG,2013,2908.62,2407.99,186.74
EC-Earth3,g01,BG,2014,2842.04,2273.45,139.69
EC-Earth3,g01,BG,2015,2859.92,2483.49,205.12
EC-Earth3,g01,BG,2016,2914.96,2232.92,211.34
EC-Earth3,g01,BG,2017,3018.77,2649.4,232.86
EC-Earth3,g01,BG,2018,2810.68,2409.81,161.25
EC-Earth3,g01,BG,2019,2654.25,2395,208.07
EC-Earth3,g01,BG,2020,2730.81,2111.91,188.66
EC-Earth3,g01,BG,2021,2977.88,2293.11,236.93
EC-Earth3,g01,BG,2022,2752.78,2483.05,228.06
EC-Earth3,g01,BG,2023,2520.91,2045.95,249.97
EC-Earth3,g01,BG,2024,2415.14,1941.37,343.51
EC-Earth3,g01,CH,1990,3623.47,2571.42,51.04
EC-Earth3,g01,CH,1991,3939.08,2812.25,53.26
EC-Earth3,g01,CH,1992,3720.11,2922.55,62.57
EC-Earth3,g01,CH,1993,3801.45,2793.4,37.43
EC-Earth3,g01,CH,1994,3407.15,2685.88,80.1
EC-Earth3,g01,CH,1995,3784.21,2638.38,51.11
EC-Earth3,g01,CH,1996,4064.77,2872.12,27.59
EC-Earth3,g01,CH,1997,3632.3,2739.35,31.48
EC-Earth3,g01,CH,1998,3750.12,2677.35,58.73
EC-Earth3,g01,CH,1999,3709.95,2914.42,27.22
EC-Earth3,g01,CH,2000,3504.57,2820.62,44.53
EC-Earth3,g01,CH,2001,3711.63,2547.7,47.96
EC-Earth3,g01,CH,2002,3494.93,2654.51,48.51
EC-Earth3,g01,CH,2003,3655.84,2725.07,157.94
EC-Earth3,g01,CH,2004,3769.52,2892.1,40.67
EC-Earth3,g01,CH,2005,3866.35,2877.02,51.08
EC-Earth3,g01,CH,2006,3635.12,3016.95,79.67
EC-Earth3,g01,CH,2007,3523.49,2388.33,32.21
EC-Earth3,g01,CH,2008,3703.83,2785.72,41.72
EC-Earth3,g01,CH,2009,3630.05,2960.48,49.64
EC-Earth3,g01,CH,2010,3996.84,2883.98,59.68
EC-Earth3,g01,CH,2011,3390.88,2799.9,45.41
EC-Earth3,g01,CH,2012,3676.24,2747.6,53.78
EC-Earth3,g01,CH,2013,3884.99,2897.45,68.18
EC-Earth3,g01,CH,2014,3306.24,2561.74,31.61
EC-Earth3,g01,CH,2015,3455.01,2570.05,116.54
EC-Earth3,g01,CH,2016,3606.61,2557.79,56.7
EC-Earth3,g01,CH,2017,3589.16,2742.93,83.7
EC-Earth3,g01,CH,2018,3317.27,2783.09,92.53
EC-Earth3,g01,CH,2019,3466.76,2575.99,96.81
EC-Earth3,g01,CH,2020,3341.74,2460.75,68.48
EC-Earth3,g01,CH,2021,3715.3,2674.9,39.94
EC-Earth3,g01,CH,2022,3181.41,2662.46,113.35
EC-Earth3,g01,CH,2023,3229.36,2403.52,99.73
EC-Earth3,g01,CH,2024,3254.81,2342.47,75.73
EC-Earth3,g01,CY,1990,1185.22,1102.36,401.15
EC-Earth3,g01,CY,1991,1199.47,932.95,372.42
EC-Earth3,g01,CY,1992,1583.3,1371.62,357.56
EC-Earth3,g01,CY,1993,1312.91,1282.96,427.85
EC-Earth3,g01,CY,1994,1133.81,921.92,427.09
EC-Earth3,g01,CY,1995,1240.94,1047.5,442.37
EC-Earth3,g01,CY,1996,1120.7,1142.43,456.61
EC-Earth3,g01,CY,1997,1229.55,1008.52,405.36
EC-Earth3,g01,CY,1998,1086.85,1023.63,506.75
EC-Earth3,g01,CY,1999,951.03,860.6,457.36
EC-Earth3,g01,CY,2000,1201.07,1037.76,520.91
EC-Earth3,g01,CY,2001,994.33,862.93,480.01
EC-Earth3,g01,CY,2002,1093.1,985.54,486.88
EC-Earth3,g01,CY,2003,1163.02,1051.46,466.01
EC-Earth3,g01,CY,2004,1129.18,986.83,442.65
EC-Earth3,g01,CY,2005,1129.62,990.34,426.59
EC-Earth3,g01,CY,2006,1145.06,1010.78,457.14
EC-Earth3,g01,CY,2007,999.96,998.72,581.07
EC-Earth3,g01,CY,2008,948.61,888.39,602.78
EC-Earth3,g01,CY,2009,913.71,828.54,564.86
EC-Earth3,g01,CY,2010,720.76,692.81,570.19
EC-Earth3,g01,CY,2011,1011.14,720.36,536.29
EC-Earth3,g01,CY,2012,981.57,1037.38,649.22
EC-Earth3,g01,CY,2013,856.39,706.2,558.87
EC-Earth3,g01,CY,2014,575.95,647.08,509.45
EC-Earth3,g01,CY,2015,771.61,672.59,503.09
EC-Earth3,g01,CY,2016,827.07,677.12,538.43
EC-Earth3,g01,CY,2017,776.33,863.32,574.21
EC-Earth3,g01,CY,2018,577.17,514.62,517.97
EC-Earth3,g01,CY,2019,747.31,708.22,544.89
EC-Earth3,g01,CY,2020,653.9,667.74,524.63
EC-Earth3,g01,CY,2021,565.11,466.64,651.51
EC-Earth3,g01,CY,2022,678.93,700.16,618.78
EC-Earth3,g01,CY,2023,492.27,454.01,641.56
EC-Earth3,g01,CY,2024,451.04,355.72,707.53
EC-Earth3,g01,CZ,1990,3557.33,2644.57,76.8
EC-Earth3,g01,CZ,1991,3971.53,2892.49,57.79
EC-Earth3,g01,CZ,1992,3625.96,2914.23,131.79
EC-Earth3,g01,CZ,1993,3854.59,3042.37,61.09
EC-Earth3,g01,CZ,1994,3486.6,2781.41,145.87
EC-Earth3,g01,CZ,1995,3791.39,2784.22,94.38
EC-Earth3,g01,CZ,1996,4314.24,3340.07,50.2
EC-Earth3,g01,CZ,1997,3890.59,2993.57,59.01
EC-Earth3,g01,CZ,1998,3669.61,2793.88,83.83
EC-Earth3,g01,CZ,1999,3582.6,2967.69,58.87
EC-Earth3,g01,CZ,2000,3375.5,2865.56,88.87
