model,NUTS_ID,year,gdd,heat,frost,precip,n_day,closed
ec-earth3,AL011,1989,1231.688,9.7,2.716,344.305,147,1
ec-earth3,AL011,1990,1223.369,21.505,16.4,228.82,158,1
ec-earth3,AL011,1991,1233.408,53.994,4.347,272.99,155,1
ec-earth3,AL011,1992,1232.039,12.801,21.129,299.61,150,1
ec-earth3,AL011,1993,1225.099,32.845,5.538,218.713,124,1
ec-earth3,AL011,1994,1235.082,40.232,25.965,376.371,181,1
ec-earth3,AL011,1995,1233.091,30.51,24.754,314.92,159,1
ec-earth3,AL011,1996,1228.309,34.824,34.014,381.491,167,1
ec-earth3,AL011,1997,1223.465,37.444,57.124,227.316,193,1
ec-earth3,AL011,1998,1233.157,40.59,41.821,326.682,180,1
ec-earth3,AL011,1999,1235.947,24.42,17.441,276.796,142,1
ec-earth3,AL011,2000,1233.047,53.883,12.711,153.498,122,1
ec-earth3,AL011,2001,1231.318,11.709,20.061,348.075,170,1
ec-earth3,AL011,2002,1229.054,28.285,7.251,261.334,149,1
ec-earth3,AL011,2003,1227.807,52.998,62.364,301.105,182,1
ec-earth3,AL011,2004,1220.136,29.844,20.345,471.478,162,1
ec-earth3,AL011,2005,1220.695,10.219,6.647,129.459,123,1
ec-earth3,AL011,2006,1235.756,38.811,9.434,386.435,145,1
ec-earth3,AL011,2007,1217.972,39.688,13.736,374.336,163,1
ec-earth3,AL011,2008,1217.972,54.031,14.613,328.641,155,1
ec-earth3,AL011,2009,1223.712,12.338,32.115,492.208,168,1
ec-earth3,AL011,2010,1221.847,18.001,41.408,515.83,185,1
ec-earth3,AL011,2011,1231.163,35.139,23.441,270.505,157,1
ec-earth3,AL011,2012,1215.942,92.695,5.284,218.47,116,1
ec-earth3,AL011,2013,1231.378,34.789,18.101,505.916,158,1
ec-earth3,AL011,2014,1234.877,20.978,11.656,434.568,175,1
ec-earth3,AL011,2015,1233.077,49.187,17.311,246.69,141,1
ec-earth3,AL011,2016,1220.798,32.576,20.289,466.524,170,1
ec-earth3,AL011,2017,1218.845,56.276,9.129,240.279,146,1
ec-earth3,AL011,2018,1231.938,17.124,15.131,576.064,147,1
ec-earth3,AL011,2019,1224.712,76.689,18.516,247.401,154,1
ec-earth3,AL011,2020,1222.596,54.97,18.921,292.623,157,1
ec-earth3,AL011,2021,1226.996,95.306,33.891,409.184,164,1
ec-earth3,AL011,2022,1233.977,105.641,54.965,287.523,178,1
ec-earth3,AL011,2023,1234.098,32.901,26.406,455.41,173,1
ec-earth3,AL012,1989,1915.698,74.198,0,306.78,148,1
ec-earth3,AL012,1990,1925.403,118.93,0.749,176.331,148,1
ec-earth3,AL012,1991,1907.418,200.638,0.353,200.834,153,1
ec-earth3,AL012,1992,1914.841,107.837,7.427,259.544,159,1
ec-earth3,AL012,1993,1918.97,180.382,4.407,276.192,158,1
ec-earth3,AL012,1994,1925.878,189,0.617,289.395,158,1
