model,NUTS_ID,year,gdd,heat,frost,precip,n_day,closed
ec-earth3,AL011,1989,1223.405,7.449,4.392,220.898,137,1
ec-earth3,AL011,1990,1231.291,25.761,5.79,172.747,141,1
ec-earth3,AL011,1991,1234.566,83.912,27.549,293.738,172,1
ec-earth3,AL011,1992,1220.625,31.813,29.902,202.209,156,1
ec-earth3,AL011,1993,1220.535,82.173,29.763,231.84,150,1
ec-earth3,AL011,1994,1218.157,48.054,8.387,338.823,162,1
ec-earth3,AL011,1995,1230.971,54.837,11.096,270.186,153,1
ec-earth3,AL011,1996,1234.165,80.362,25.489,323.836,169,1
ec-earth3,AL011,1997,1225.77,93.117,26.009,200.182,173,1
ec-earth3,AL011,1998,1227.539,45.547,25.203,236.183,166,1
ec-earth3,AL011,1999,1218.523,93.076,33.683,272.399,160,1
ec-earth3,AL011,2000,1223.682,80.499,21.619,218.34,135,1
ec-earth3,AL011,2001,1226.639,27.322,7.014,292.938,155,1
ec-earth3,AL011,2002,1225.202,13.871,0.512,179.025,135,1
ec-earth3,AL011,2003,1222.895,163.644,41.792,296.692,166,1
ec-earth3,AL011,2004,1231.444,36.777,22.095,451.842,159,1
ec-earth3,AL011,2005,1224.806,38.526,34.416,313.829,154,1
ec-earth3,AL011,2006,1225.865,65.999,13.795,298.156,139,1
ec-earth3,AL011,2007,1228.501,31.381,9.05,286.673,150,1
ec-earth3,AL011,2008,1221.774,49.931,13.185,239.212,154,1
ec-earth3,AL011,2009,1232.64,83.268,18.822,355.087,149,1
ec-earth3,AL011,2010,1213.14,59.742,22.888,400.249,161,1
ec-earth3,AL011,2011,1217.372,44.833,19.999,215.06,158,1
ec-earth3,AL011,2012,1215.97,124.657,6.53,165.971,119,1
ec-earth3,AL011,2013,1233.065,49.102,10.451,419.809,148,1
ec-earth3,AL011,2014,1218.385,47.287,3.925,326.727,158,1
ec-earth3,AL011,2015,1229.568,102.878,18.572,330.624,152,1
ec-earth3,AL011,2016,1225.05,21.357,10.33,346.303,151,1
ec-earth3,AL011,2017,1235.544,48.506,2.322,186.755,129,1
ec-earth3,AL011,2018,1236.703,65.166,13.302,474.594,151,1
ec-earth3,AL011,2019,1221.334,78.076,6.696,162.49,135,1
ec-earth3,AL011,2020,1232.577,68.41,7.587,219.744,140,1
ec-earth3,AL011,2021,1227.902,71.975,22.482,531.249,164,1
ec-earth3,AL011,2022,1218.132,152.483,34.965,228.407,162,1
ec-earth3,AL011,2023,1228.556,39.96,10.986,389.064,163,1
ec-earth3,AL012,1989,1930.673,81.959,0.132,210.048,143,1
ec-earth3,AL012,1990,1902.64,127.792,0.132,168.48,138,1
ec-earth3,AL012,1991,1929.908,178.703,0.243,230.994,145,1
ec-earth3,AL012,1992,1921.572,182.949,1.942,172.101,148,1
ec-earth3,AL012,1993,1919.624,245.653,0.617,198.178,146,1
ec-earth3,AL012,1994,1916.422,187.788,0.111,233.293,152,1
ec-earth3,AL012,1995,1908.564,206.562,0.132,262.434,146,1
ec-earth3,AL012,1996,1915.927,229.141,1.103,423.206,152,1
ec-earth3,AL012,1997,1921.104,237.876,1.588,121.717,157,1
ec-earth3,AL012,1998,1903.179,164.107,1.831,161.973,154,1
ec-earth3,AL012,1999,1921.095,264.451,1.477,241.932,152,1
ec-earth3,AL012,2000,1914.83,263.128,1.831,147.226,134,1
ec-earth3,AL012,2001,1907.173,133.373,0.353,231.776,142,1
ec-earth3,AL012,2002,1923.839,135.252,0,104.668,132,1
ec-earth3,AL012,2003,1919.36,314.284,7.155,127.992,147,1
ec-earth3,AL012,2004,1913.497,110.322,2.456,291.146,144,1
ec-earth3,AL012,2005,1911.538,199.914,1.827,221.088,135,1
ec-earth3,AL012,2006,1923.224,203.216,2.489,258.86,136,1
ec-earth3,AL012,2007,1917.969,154.993,0.485,209.125,144,1
ec-earth3,AL012,2008,1901.287,196.083,3.214,221.009,147,1
ec-earth3,AL012,2009,1913.207,253.467,2.942,227.867,146,1
ec-earth3,AL012,2010,1921.986,178.5,1.617,321.197,144,1
ec-earth3,AL012,2011,1919.015,227.722,1.507,128.519,141,1
ec-earth3,AL012,2012,1919.773,303.837,0.243,149.348,129,1
ec-earth3,AL012,2013,1912.468,193.396,0.375,392.226,144,1
ec-earth3,AL012,2014,1916.31,157.715,0.243,393.597,151,1
ec-earth3,AL012,2015,1927.723,277.71,1.699,244.158,144,1
ec-earth3,AL012,2016,1904.029,122.451,0,314.842,139,1
ec-earth3,AL012,2017,1908.868,222.622,0,128.651,133,1
ec-earth3,AL012,2018,1915.676,267.497,0.971,428.318,141,1
ec-earth3,AL012,2019,1928.129,212.771,0.353,154.967,139,1
ec-earth3,AL012,2020,1910.416,184.763,0,165.76,142,1
ec-earth3,AL012,2021,1923.475,252.544,3.082,299.904,151,1
ec-earth3,AL012,2022,1923.254,343.879,2.082,176.345,140,1
ec-earth3,AL012,2023,1929.168,206.262,1.456,256.996,153,1
ec-earth3,AL013,1989,1123.12,5.292,6.396,254.287,137,1
ec-earth3,AL013,1990,1130.945,19.381,8.598,186.146,143,1
ec-earth3,AL013,1991,1132.289,75.174,31.178,297.015,173,1
ec-earth3,AL013,1992,1127.523,29.524,25.38,238.268,142,1
ec-earth3,AL013,1993,1118.016,73.078,40.727,259.182,151,1
ec-earth3,AL013,1994,1134.753,43.871,13.547,350.94,164,1
ec-earth3,AL013,1995,1130.284,48.146,34.122,404.128,176,1
ec-earth3,AL013,1996,1132.94,75.21,40.777,349.698,175,1
ec-earth3,AL013,1997,1134.448,83.784,34.286,256.923,176,1
ec-earth3,AL013,1998,1120.734,46.807,32.683,252.621,167,1
ec-earth3,AL013,1999,1133.786,84.122,38.919,320.347,162,1
ec-earth3,AL013,2000,1122.859,81.289,26.938,235.715,135,1
ec-earth3,AL013,2001,1131.767,29.959,12.791,338.767,158,1
ec-earth3,AL013,2002,1115.535,12.886,2.742,220.957,136,1
ec-earth3,AL013,2003,1129.321,151.292,49.853,310.22,168,1
ec-earth3,AL013,2004,1119.8,37.623,27.202,463.58,162,1
ec-earth3,AL013,2005,1134.815,46.036,18.176,274.832,132,1
ec-earth3,AL013,2006,1133.71,67.608,20.187,338.132,142,1
ec-earth3,AL013,2007,1135.418,33.48,10.27,308.35,150,1
ec-earth3,AL013,2008,1124.042,46.221,15.1,268.694,156,1
ec-earth3,AL013,2009,1121.348,71.392,22.247,356.261,148,1
ec-earth3,AL013,2010,1127.152,61.782,29.894,490.569,166,1
ec-earth3,AL013,2011,1130.524,44.711,27.81,253.382,161,1
ec-earth3,AL013,2012,1136.468,109.863,9.286,180.078,118,1
ec-earth3,AL013,2013,1126.607,40.315,12.897,526.025,151,1
ec-earth3,AL013,2014,1134.924,35.521,4.665,379.414,158,1
ec-earth3,AL013,2015,1121.048,91.547,21.426,388.529,152,1
ec-earth3,AL013,2016,1129.993,20.141,12.036,424.649,149,1
ec-earth3,AL013,2017,1128.283,34.904,2.998,284.629,129,1
ec-earth3,AL013,2018,1126.346,44.139,18.156,612.108,153,1
ec-earth3,AL013,2019,1128.676,72.258,8.997,250.893,136,1
ec-earth3,AL013,2020,1126.565,49.534,7.906,295.663,140,1
ec-earth3,AL013,2021,1128.527,62.783,26.446,705.228,167,1
ec-earth3,AL013,2022,1137.723,124.688,38.613,324.143,163,1
ec-earth3,AL013,2023,1135.684,24.454,14.069,498.457,164,1
ec-earth3,AL014,1989,1656.932,51.966,1.378,237.672,142,1
ec-earth3,AL014,1990,1648.5,86.976,1.417,178.931,140,1
ec-earth3,AL014,1991,1645.791,144.634,1.658,266.216,144,1
ec-earth3,AL014,1992,1640.392,116.98,7.102,212.391,145,1
ec-earth3,AL014,1993,1658.272,190.143,9.464,245.686,150,1
ec-earth3,AL014,1994,1636.917,120.56,2.03,359.621,158,1
ec-earth3,AL014,1995,1653.052,144.316,1.873,302.499,149,1
ec-earth3,AL014,1996,1656.67,168.156,7.646,455.762,158,1
ec-earth3,AL014,1997,1643.869,176.929,7.664,168.094,165,1
ec-earth3,AL014,1998,1644.461,120.382,7.833,256.928,161,1
