model,NUTS_ID,year,window,gdd,heat,frost,precip
ec-earth3,AL011,1989,Apr-Aug,1797.354,46.761,0.094,305.263
ec-earth3,AL011,1989,Mar-Jul,1399.266,15.064,2.657,315.493
ec-earth3,AL011,1990,Apr-Aug,1896.581,94.234,0.285,191.855
ec-earth3,AL011,1990,Mar-Jul,1502.799,55.966,6.415,192.455
ec-earth3,AL011,1991,Apr-Aug,1680.871,76.707,1.026,241.25
ec-earth3,AL011,1991,Mar-Jul,1274.064,54.73,3.678,288.362
ec-earth3,AL011,1992,Apr-Aug,1902.806,147.033,0.778,256.653
ec-earth3,AL011,1992,Mar-Jul,1333.544,27.095,18.823,299.61
ec-earth3,AL011,1993,Apr-Aug,1988.772,183.876,2.054,150.216
ec-earth3,AL011,1993,Mar-Jul,1456.399,71.557,19.387,290.044
ec-earth3,AL011,1994,Apr-Aug,2010.728,180.402,0.624,200.928
ec-earth3,AL011,1994,Mar-Jul,1521.581,70.51,6.14,186.672
ec-earth3,AL011,1995,Apr-Aug,1815.334,68.468,5.521,254.027
ec-earth3,AL011,1995,Mar-Jul,1367.764,52.173,21.873,305.362
ec-earth3,AL011,1996,Apr-Aug,1950.815,103.158,3.323,155.008
ec-earth3,AL011,1996,Mar-Jul,1429.985,53.847,19.15,256.927
ec-earth3,AL011,1997,Apr-Aug,1809.576,66.533,12.573,128.231
ec-earth3,AL011,1997,Mar-Jul,1357.248,51.773,29.564,159.213
ec-earth3,AL011,1998,Apr-Aug,2031.35,219.915,0.271,212.624
ec-earth3,AL011,1998,Mar-Jul,1470.26,106.167,22.553,211.83
ec-earth3,AL011,1999,Apr-Aug,2051.923,129.084,0.189,197.731
ec-earth3,AL011,1999,Mar-Jul,1517.344,38.905,13.176,247.331
ec-earth3,AL011,2000,Apr-Aug,2114.355,180.619,1.817,135.15
ec-earth3,AL011,2000,Mar-Jul,1587.1,81.785,20.735,200.027
ec-earth3,AL011,2001,Apr-Aug,2142.569,187.632,3.062,225.107
ec-earth3,AL011,2001,Mar-Jul,1695.323,75.907,4.047,248.726
ec-earth3,AL011,2002,Apr-Aug,2056.632,76.658,0.83,267.958
ec-earth3,AL011,2002,Mar-Jul,1657.68,64.709,4.465,279.782
ec-earth3,AL011,2003,Apr-Aug,2218.756,211.195,4.696,133.553
ec-earth3,AL011,2003,Mar-Jul,1652.018,103.055,24.734,127.989
ec-earth3,AL011,2004,Apr-Aug,1894.567,81.245,0.078,260.562
ec-earth3,AL011,2004,Mar-Jul,1450.049,53.466,9.698,375.76
ec-earth3,AL011,2005,Apr-Aug,2019.869,91.265,4.385,129.738
ec-earth3,AL011,2005,Mar-Jul,1568.475,57.625,17.439,192.244
ec-earth3,AL011,2006,Apr-Aug,1985.666,108.681,0.076,243.629
ec-earth3,AL011,2006,Mar-Jul,1520.467,66.361,9.003,326.147
ec-earth3,AL011,2007,Apr-Aug,2240.674,264.98,0.135,146.134
ec-earth3,AL011,2007,Mar-Jul,1729.903,161.803,1.405,251.213
ec-earth3,AL011,2008,Apr-Aug,2095.192,182.754,0.156,190.088
ec-earth3,AL011,2008,Mar-Jul,1578.491,94.608,2.515,330.955
ec-earth3,AL011,2009,Apr-Aug,2086.809,126.15,0,257.332
ec-earth3,AL011,2009,Mar-Jul,1568.422,59.751,15.08,361.356
ec-earth3,AL011,2010,Apr-Aug,2054.916,139.31,0.191,189.331
ec-earth3,AL011,2010,Mar-Jul,1542.672,53.283,12.515,291.232
ec-earth3,AL011,2011,Apr-Aug,2048.92,187.002,1.081,166.122
ec-earth3,AL011,2011,Mar-Jul,1517.368,58.971,13.596,231.102
ec-earth3,AL011,2012,Apr-Aug,2182.412,321.345,2.807,233.236
ec-earth3,AL011,2012,Mar-Jul,1637.876,185.834,15.735,247.688
ec-earth3,AL011,2013,Apr-Aug,2113.086,170.205,0.019,202.068
ec-earth3,AL011,2013,Mar-Jul,1595.929,75.697,8.249,399.057
ec-earth3,AL011,2014,Apr-Aug,1930.851,111.9,1.198,283.53
ec-earth3,AL011,2014,Mar-Jul,1452.526,34.697,5.464,335.618
ec-earth3,AL011,2015,Apr-Aug,2163.014,269.428,4.275,120.137
ec-earth3,AL011,2015,Mar-Jul,1598.902,150.924,17.251,219.755
ec-earth3,AL011,2016,Apr-Aug,2168.615,181.747,0.16,214.727
ec-earth3,AL011,2016,Mar-Jul,1684.916,112.521,3.937,310.937
ec-earth3,AL011,2017,Apr-Aug,2233.699,333.326,1.975,133.157
ec-earth3,AL011,2017,Mar-Jul,1744.277,172.416,3.798,194.432
ec-earth3,AL011,2018,Apr-Aug,2269.65,153,0,215.965
ec-earth3,AL011,2018,Mar-Jul,1780.877,68.483,6.396,428.999
ec-earth3,AL011,2019,Apr-Aug,2134.746,276.964,0,248.741
ec-earth3,AL011,2019,Mar-Jul,1631.772,128.736,4.659,267.137
ec-earth3,AL011,2020,Apr-Aug,2107.069,236.234,3.417,150.146
ec-earth3,AL011,2020,Mar-Jul,1599.519,123.672,9.512,234.396
ec-earth3,AL011,2021,Apr-Aug,2208.64,394.501,5.788,140.511
ec-earth3,AL011,2021,Mar-Jul,1618.947,221.31,23.558,223.979
ec-earth3,AL011,2022,Apr-Aug,2295.804,349.734,1.5,182.191
ec-earth3,AL011,2022,Mar-Jul,1752.699,234.533,20.637,200.854
ec-earth3,AL011,2023,Apr-Aug,2137.803,304.238,2.406,224.179
ec-earth3,AL011,2023,Mar-Jul,1640.043,175.832,7.916,320.769
ec-earth3,AL012,1989,Apr-Aug,2507.736,231.094,0,254.312
ec-earth3,AL012,1989,Mar-Jul,2119.395,110.824,0,281.317
ec-earth3,AL012,1990,Apr-Aug,2603.415,351.969,0,167.201
ec-earth3,AL012,1990,Mar-Jul,2210.156,209.718,0.617,160.58
ec-earth3,AL012,1991,Apr-Aug,2435.038,382.895,0,181.162
ec-earth3,AL012,1991,Mar-Jul,1999.567,231.75,0.353,219.576
ec-earth3,AL012,1992,Apr-Aug,2599.577,459.555,0,206.307
ec-earth3,AL012,1992,Mar-Jul,2057.457,179.309,2.699,251.083
ec-earth3,AL012,1993,Apr-Aug,2642.408,509.823,0.243,96.75
ec-earth3,AL012,1993,Mar-Jul,2110.412,251.649,1.938,265.445
ec-earth3,AL012,1994,Apr-Aug,2664.865,584.016,0,172.502
ec-earth3,AL012,1994,Mar-Jul,2192.492,326.995,0.353,158.462
ec-earth3,AL012,1995,Apr-Aug,2521.218,380.885,0.353,240.381
ec-earth3,AL012,1995,Mar-Jul,2016.843,249.712,0.838,315.081
ec-earth3,AL012,1996,Apr-Aug,2616.493,406.156,0.132,168.091
ec-earth3,AL012,1996,Mar-Jul,2069.182,225.273,4.474,329.314
ec-earth3,AL012,1997,Apr-Aug,2511.206,409.247,0.617,77.586
ec-earth3,AL012,1997,Mar-Jul,2048.823,263.146,1.213,106.071
ec-earth3,AL012,1998,Apr-Aug,2631.61,538.245,0,137.358
ec-earth3,AL012,1998,Mar-Jul,2076.687,289.882,2.423,129.866
ec-earth3,AL012,1999,Apr-Aug,2681.031,487.342,0,131.795
ec-earth3,AL012,1999,Mar-Jul,2182.071,246.749,0.617,170.991
ec-earth3,AL012,2000,Apr-Aug,2798.087,455.729,0,84.475
ec-earth3,AL012,2000,Mar-Jul,2266.757,251.779,3.79,147.028
ec-earth3,AL012,2001,Apr-Aug,2803.029,568.691,0,141.465
ec-earth3,AL012,2001,Mar-Jul,2411.349,305.695,0,188.313
