model,NUTS_ID,year,window,gdd,heat,frost,precip
ec-earth3,AL011,1989,Apr-Aug,2402.436,281.845,0,184.918
ec-earth3,AL011,1989,Mar-Jul,1938.146,145.442,0.582,193.854
ec-earth3,AL011,1990,Apr-Aug,2493.289,438.112,0.038,132.256
ec-earth3,AL011,1990,Mar-Jul,2031.545,277.492,2.965,133.169
ec-earth3,AL011,1991,Apr-Aug,2282.122,374.745,0.038,145.025
ec-earth3,AL011,1991,Mar-Jul,1809.551,254.502,1.201,181.236
ec-earth3,AL011,1992,Apr-Aug,2476.413,444.422,0.078,164.846
ec-earth3,AL011,1992,Mar-Jul,1849.218,178.317,9.819,197.664
ec-earth3,AL011,1993,Apr-Aug,2548.885,553.385,1.044,95.954
ec-earth3,AL011,1993,Mar-Jul,1948.327,303.696,11.185,203.366
ec-earth3,AL011,1994,Apr-Aug,2581.504,565.091,0.038,137.11
ec-earth3,AL011,1994,Mar-Jul,2051.953,316.192,0.507,126.819
ec-earth3,AL011,1995,Apr-Aug,2411.085,364.79,2.8,161.824
ec-earth3,AL011,1995,Mar-Jul,1865.8,264.757,6.44,202.636
ec-earth3,AL011,1996,Apr-Aug,2538.789,454.688,1.663,101.754
ec-earth3,AL011,1996,Mar-Jul,1919.983,274.946,12.256,180.394
ec-earth3,AL011,1997,Apr-Aug,2393.442,403.591,6.835,88.609
ec-earth3,AL011,1997,Mar-Jul,1849.718,293.277,12.601,112.899
ec-earth3,AL011,1998,Apr-Aug,2572.581,585.204,0,129.654
ec-earth3,AL011,1998,Mar-Jul,1944.833,339.947,12.387,129.858
ec-earth3,AL011,1999,Apr-Aug,2627.676,510.413,0,126.308
ec-earth3,AL011,1999,Mar-Jul,2045.057,285.032,4.132,164.676
ec-earth3,AL011,2000,Apr-Aug,2664.586,552.968,0.803,92.016
ec-earth3,AL011,2000,Mar-Jul,2064.055,313.938,12.003,141.59
ec-earth3,AL011,2001,Apr-Aug,2650.079,558.987,0.725,156.993
ec-earth3,AL011,2001,Mar-Jul,2188.085,308.714,0.763,175.878
ec-earth3,AL011,2002,Apr-Aug,2612.318,379.88,0.176,172.489
ec-earth3,AL011,2002,Mar-Jul,2142.777,284.844,0.414,183.422
ec-earth3,AL011,2003,Apr-Aug,2736.499,676.733,3.427,91.668
ec-earth3,AL011,2003,Mar-Jul,2104.256,428.032,12.268,88.001
ec-earth3,AL011,2004,Apr-Aug,2471.685,377.631,0,157.511
ec-earth3,AL011,2004,Mar-Jul,1937.418,233.949,4.267,246.098
ec-earth3,AL011,2005,Apr-Aug,2578.436,383.22,2.538,85.461
ec-earth3,AL011,2005,Mar-Jul,2052.497,256.217,12.029,134.104
ec-earth3,AL011,2006,Apr-Aug,2556.479,423.637,0,156.631
ec-earth3,AL011,2006,Mar-Jul,2016.093,285.417,3.701,220.773
ec-earth3,AL011,2007,Apr-Aug,2729.165,656.456,0.019,91.619
ec-earth3,AL011,2007,Mar-Jul,2186.793,422.71,0.095,172.345
ec-earth3,AL011,2008,Apr-Aug,2643.366,572.72,0,118.134
ec-earth3,AL011,2008,Mar-Jul,2083.037,342.26,0.272,225.867
ec-earth3,AL011,2009,Apr-Aug,2662.128,490.953,0,161.38
ec-earth3,AL011,2009,Mar-Jul,2061.084,286.758,5.435,241.769
ec-earth3,AL011,2010,Apr-Aug,2611.856,479.409,0.019,123.916
ec-earth3,AL011,2010,Mar-Jul,2039.241,253.312,6.331,201.848
ec-earth3,AL011,2011,Apr-Aug,2579.604,537.202,0.059,92.734
ec-earth3,AL011,2011,Mar-Jul,2006.721,266.974,6.598,142.4
ec-earth3,AL011,2012,Apr-Aug,2662.88,765.344,0.89,148.294
ec-earth3,AL011,2012,Mar-Jul,2085.559,485.962,4.635,159.561
ec-earth3,AL011,2013,Apr-Aug,2665.806,544.759,0,126.299
ec-earth3,AL011,2013,Mar-Jul,2102.196,314.469,3.69,277.555
ec-earth3,AL011,2014,Apr-Aug,2516.973,452.617,0.059,183.801
ec-earth3,AL011,2014,Mar-Jul,1981.482,240.82,0.177,223.881
ec-earth3,AL011,2015,Apr-Aug,2652.17,664.678,1.4,83.122
ec-earth3,AL011,2015,Mar-Jul,2037.874,409.178,5.193,159.672
ec-earth3,AL011,2016,Apr-Aug,2716.105,564.765,0.019,128.726
ec-earth3,AL011,2016,Mar-Jul,2170.867,365.483,0.192,202.717
ec-earth3,AL011,2017,Apr-Aug,2704.876,746.426,0.818,82.354
ec-earth3,AL011,2017,Mar-Jul,2209.804,446.613,0.856,129.317
ec-earth3,AL011,2018,Apr-Aug,2842.883,551.96,0,124.988
ec-earth3,AL011,2018,Mar-Jul,2295.835,329.322,2.71,288.667
ec-earth3,AL011,2019,Apr-Aug,2642.874,681.095,0,144.721
ec-earth3,AL011,2019,Mar-Jul,2123.707,390.001,0.988,158.839
ec-earth3,AL011,2020,Apr-Aug,2634.771,614.662,2.145,97.501
ec-earth3,AL011,2020,Mar-Jul,2087.642,368.33,4.647,162.795
ec-earth3,AL011,2021,Apr-Aug,2646.343,823.833,1.529,92.507
ec-earth3,AL011,2021,Mar-Jul,2028.743,509.599,8.264,156.59
ec-earth3,AL011,2022,Apr-Aug,2785.71,832.282,0.097,119.565
ec-earth3,AL011,2022,Mar-Jul,2171.925,576.872,14.245,134.324
ec-earth3,AL011,2023,Apr-Aug,2614.966,695.486,0.321,142.494
ec-earth3,AL011,2023,Mar-Jul,2094.152,433.896,1.467,216.743
ec-earth3,AL012,1989,Apr-Aug,2915.496,575.868,0,158.912
ec-earth3,AL012,1989,Mar-Jul,2537.575,341.948,0,178.664
ec-earth3,AL012,1990,Apr-Aug,2982.68,760.741,0,117.169
ec-earth3,AL012,1990,Mar-Jul,2594.777,492.168,0.132,112.156
ec-earth3,AL012,1991,Apr-Aug,2829.995,766.226,0,106.327
ec-earth3,AL012,1991,Mar-Jul,2407.242,488.119,0,134.99
ec-earth3,AL012,1992,Apr-Aug,2973.975,893.971,0,134.818
ec-earth3,AL012,1992,Mar-Jul,2493.819,486.054,0.353,168.232
ec-earth3,AL012,1993,Apr-Aug,3013.131,970.831,0,61.16
ec-earth3,AL012,1993,Mar-Jul,2526.024,584.986,0.617,187.066
ec-earth3,AL012,1994,Apr-Aug,2988.247,1020.532,0,125.692
ec-earth3,AL012,1994,Mar-Jul,2567.955,635.84,0,114.895
ec-earth3,AL012,1995,Apr-Aug,2925.524,803.732,0.132,158.797
ec-earth3,AL012,1995,Mar-Jul,2426.879,550.538,0.132,213.736
ec-earth3,AL012,1996,Apr-Aug,2986.015,854.117,0,109.414
ec-earth3,AL012,1996,Mar-Jul,2466,545.563,1.103,229.518
ec-earth3,AL012,1997,Apr-Aug,2913.918,857.759,0,54.937
ec-earth3,AL012,1997,Mar-Jul,2462.028,584.835,0,76.01
ec-earth3,AL012,1998,Apr-Aug,2979.153,967.598,0,82.186
ec-earth3,AL012,1998,Mar-Jul,2466.109,592.339,0.86,76.351
ec-earth3,AL012,1999,Apr-Aug,3038.507,958.197,0,90.405
ec-earth3,AL012,1999,Mar-Jul,2579.11,589.933,0,119.533
ec-earth3,AL012,2000,Apr-Aug,3113.705,925.829,0,57.461
ec-earth3,AL012,2000,Mar-Jul,2621.916,594.208,1.103,104.167
ec-earth3,AL012,2001,Apr-Aug,3061.239,1018.423,0,97.872
ec-earth3,AL012,2001,Mar-Jul,2730.444,629.95,0,132.804
ec-earth3,AL012,2002,Apr-Aug,3068.337,764.83,0,83.905
ec-earth3,AL012,2002,Mar-Jul,2690.333,550.59,0,88.223
ec-earth3,AL012,2003,Apr-Aug,3141.34,1160.258,0.243,43.53
ec-earth3,AL012,2003,Mar-Jul,2682.664,777.24,0.243,42.446
ec-earth3,AL012,2004,Apr-Aug,2996.051,694.526,0,106.835
ec-earth3,AL012,2004,Mar-Jul,2559.896,444.462,0.243,202.312
ec-earth3,AL012,2005,Apr-Aug,3029.526,756.325,0,45.556
ec-earth3,AL012,2005,Mar-Jul,2574.463,519.104,1.584,102.526
ec-earth3,AL012,2006,Apr-Aug,2982.666,765.912,0,109.947
ec-earth3,AL012,2006,Mar-Jul,2530.475,532.458,0.243,186.902
ec-earth3,AL012,2007,Apr-Aug,3098.241,1014.378,0,30.703
ec-earth3,AL012,2007,Mar-Jul,2695.543,687.656,0,104.141
ec-earth3,AL012,2008,Apr-Aug,2999.092,937.862,0,100.382
