model,cntr,year,hdd_calendar,hdd_octmar,cdd_jja
ec-earth3,AL,1990,1751.02,1560.98,306.28
ec-earth3,AL,1991,2077.4,1553.4,264.01
ec-earth3,AL,1992,2028.37,1863.31,311.61
ec-earth3,AL,1993,1997.11,1750.08,346.5
ec-earth3,AL,1994,1764.17,1459.09,351.7
ec-earth3,AL,1995,1966.81,1617.11,285.26
ec-earth3,AL,1996,1928.64,1711.35,317.33
ec-earth3,AL,1997,1874.89,1497.95,298.41
ec-earth3,AL,1998,1826.31,1550.74,461.95
ec-earth3,AL,1999,1759.41,1726.16,424.08
ec-earth3,AL,2000,1803.79,1663.11,438.69
ec-earth3,AL,2001,1728.47,1288.08,448.57
ec-earth3,AL,2002,1620.64,1573.59,376.4
ec-earth3,AL,2003,1796.27,1586.44,507
ec-earth3,AL,2004,1761.82,1551.94,370.82
ec-earth3,AL,2005,1880.16,1598.31,311.07
ec-earth3,AL,2006,1881.36,1667.71,333.36
ec-earth3,AL,2007,1676.04,1443.5,439.18
ec-earth3,AL,2008,1664.9,1554.62,410.31
ec-earth3,AL,2009,1657.59,1529.57,321.52
ec-earth3,AL,2010,1578.97,1415.83,357.37
ec-earth3,AL,2011,1883.89,1375.12,364.86
ec-earth3,AL,2012,1971.66,1918.35,519.81
ec-earth3,AL,2013,1730.08,1531.96,397.78
ec-earth3,AL,2014,1696.71,1417.03,325.61
ec-earth3,AL,2015,1956.8,1666.7,383.48
ec-earth3,AL,2016,1804.5,1515.02,376.17
ec-earth3,AL,2017,1962.03,1736.89,461.76
ec-earth3,AL,2018,1692.99,1627.93,312.66
ec-earth3,AL,2019,1754.75,1605.13,448.1
ec-earth3,AL,2020,1855.8,1486.88,361.17
ec-earth3,AL,2021,1824.61,1519.65,496.93
ec-earth3,AL,2022,1843.3,1706.12,445.03
ec-earth3,AL,2023,1705.06,1446.42,407.36
ec-earth3,AL,2024,1606.72,1309.83,569.14
ec-earth3,AT,1990,2875.33,2223.25,138.28
ec-earth3,AT,1991,3266.28,2495.7,127.74
ec-earth3,AT,1992,2911.8,2482.72,224.9
ec-earth3,AT,1993,3085.45,2535.15,134.45
ec-earth3,AT,1994,2712.1,2321.97,216.32
ec-earth3,AT,1995,3053.22,2328.11,149.76
ec-earth3,AT,1996,3409.79,2783.13,101.42
ec-earth3,AT,1997,3038.82,2438.13,110.82
ec-earth3,AT,1998,2929.82,2319.89,169.47
ec-earth3,AT,1999,2914.37,2521.8,115.06
ec-earth3,AT,2000,2683.86,2459.34,168.55
ec-earth3,AT,2001,2976.2,2163.72,159.74
ec-earth3,AT,2002,2726.19,2304.57,171.84
ec-earth3,AT,2003,3044.35,2502.38,272.42
ec-earth3,AT,2004,3039.02,2556.41,133.87
ec-earth3,AT,2005,3155.3,2520.77,122.09
ec-earth3,AT,2006,2988.45,2735.19,174.52
ec-earth3,AT,2007,2704.64,1942.81,190.03
ec-earth3,AT,2008,2759.84,2398.05,154.27
ec-earth3,AT,2009,2907.77,2459.1,157.78
ec-earth3,AT,2010,3215.25,2534.75,175.26
ec-earth3,AT,2011,2806.36,2522.61,157.94
ec-earth3,AT,2012,2914.74,2425.73,209.21
ec-earth3,AT,2013,2987.21,2520.06,217.29
ec-earth3,AT,2014,2461.72,2097.87,134.78
ec-earth3,AT,2015,2645.11,2128.61,273.9
ec-earth3,AT,2016,2771.93,2117.25,169.09
ec-earth3,AT,2017,2836.62,2397.3,240.3
ec-earth3,AT,2018,2620.25,2404.38,238.29
ec-earth3,AT,2019,2598.41,2136.7,259.91
ec-earth3,AT,2020,2646.73,2074.83,174.77
ec-earth3,AT,2021,2938.74,2307.53,195.04
ec-earth3,AT,2022,2578.44,2248.21,235.3
ec-earth3,AT,2023,2515.81,2054.69,217.18
ec-earth3,AT,2024,2388.08,1903.63,278.87
ec-earth3,BE,1990,2316.83,1692.46,131.74
ec-earth3,BE,1991,2705.89,2004.26,99.86
ec-earth3,BE,1992,2463.12,2035.76,100.91
ec-earth3,BE,1993,2538.27,2021.8,59.84
ec-earth3,BE,1994,2302.53,2046.68,166.62
ec-earth3,BE,1995,2442.27,1754.22,195.89
ec-earth3,BE,1996,2926.48,2221.89,95.62
ec-earth3,BE,1997,2466.34,2066.3,138.18
ec-earth3,BE,1998,2413.93,1846.37,73.42
ec-earth3,BE,1999,2202.47,1976.76,119.69
ec-earth3,BE,2000,2169.63,1865.66,76.72
ec-earth3,BE,2001,2407.99,1822.17,130.77
ec-earth3,BE,2002,2171.07,1746.36,99.99
ec-earth3,BE,2003,2433.42,1920.55,197.66
ec-earth3,BE,2004,2353.94,1968.67,112.4
ec-earth3,BE,2005,2287.5,1922.78,118.51
ec-earth3,BE,2006,2251.33,2012.07,180.01
ec-earth3,BE,2007,2021.17,1465.87,74.53
ec-earth3,BE,2008,2346.22,1836.87,75.57
ec-earth3,BE,2009,2374.54,2136.29,127.33
ec-earth3,BE,2010,2826.22,2054.51,136.69
ec-earth3,BE,2011,2092.55,2066.87,68.09
ec-earth3,BE,2012,2455.73,1827.7,104.81
