model,cntr,year,hdd_calendar,hdd_octmar,cdd_jja
ec-earth3,AL,1990,1274.03,1186.35,554.46
ec-earth3,AL,1991,1546.34,1193.41,503.23
ec-earth3,AL,1992,1533.1,1482.64,570.69
ec-earth3,AL,1993,1500.31,1395.86,601.8
ec-earth3,AL,1994,1277.79,1090.17,615.63
ec-earth3,AL,1995,1441.8,1238.18,535.2
ec-earth3,AL,1996,1412.55,1321.73,574.82
ec-earth3,AL,1997,1366.24,1109.84,546.02
ec-earth3,AL,1998,1355.26,1165.66,761.88
ec-earth3,AL,1999,1321.2,1354.61,717.47
ec-earth3,AL,2000,1361.02,1304.61,723.77
ec-earth3,AL,2001,1285.3,928.22,755.89
ec-earth3,AL,2002,1159.68,1231.58,680.39
ec-earth3,AL,2003,1346.3,1218.29,843.06
ec-earth3,AL,2004,1284.07,1181.52,649.49
ec-earth3,AL,2005,1421.73,1243.33,605.86
ec-earth3,AL,2006,1405.37,1294.31,618.9
ec-earth3,AL,2007,1206.75,1075.58,749.19
ec-earth3,AL,2008,1186.69,1178.12,728.39
ec-earth3,AL,2009,1204.63,1158.54,610.14
ec-earth3,AL,2010,1133,1049.64,660.56
ec-earth3,AL,2011,1399.72,1018.74,648.07
ec-earth3,AL,2012,1499.81,1528.1,819.56
ec-earth3,AL,2013,1283.75,1168.25,670.9
ec-earth3,AL,2014,1192.44,1068.42,572.56
ec-earth3,AL,2015,1485.73,1285.29,656.51
ec-earth3,AL,2016,1322.38,1151.76,654.38
ec-earth3,AL,2017,1470.4,1372.87,739.9
ec-earth3,AL,2018,1262.92,1243.42,570.47
ec-earth3,AL,2019,1289.87,1261.87,727
ec-earth3,AL,2020,1384.98,1131.09,621.08
ec-earth3,AL,2021,1326.22,1155.75,784.38
ec-earth3,AL,2022,1389.51,1327.34,727.89
ec-earth3,AL,2023,1259.16,1095.29,684.79
ec-earth3,AL,2024,1163.9,970.55,889.32
ec-earth3,AT,1990,2091.69,1711.21,320.25
ec-earth3,AT,1991,2499.93,1978.32,326.39
ec-earth3,AT,1992,2159.48,1952.38,453.89
ec-earth3,AT,1993,2314.53,1999.87,311.48
ec-earth3,AT,1994,1973.2,1801.39,440.23
ec-earth3,AT,1995,2284.84,1792.71,341.07
ec-earth3,AT,1996,2596.75,2264.21,275.35
ec-earth3,AT,1997,2282.86,1911.73,295.62
ec-earth3,AT,1998,2177.82,1802.94,371.75
ec-earth3,AT,1999,2184.99,1994.29,305.34
ec-earth3,AT,2000,1945.82,1929.72,365.34
ec-earth3,AT,2001,2218.17,1650.89,359.5
ec-earth3,AT,2002,1981.14,1799.02,389.56
ec-earth3,AT,2003,2338.69,1973.45,525.53
ec-earth3,AT,2004,2272.21,2024.63,321.28
ec-earth3,AT,2005,2402.75,2001.39,307.15
ec-earth3,AT,2006,2268.78,2212.74,376.38
ec-earth3,AT,2007,1955.61,1430.88,399.51
ec-earth3,AT,2008,2005.51,1867.01,360.26
ec-earth3,AT,2009,2190.89,1937.54,368.51
ec-earth3,AT,2010,2442.75,2016.13,379.94
ec-earth3,AT,2011,2081.9,1988.35,357.31
ec-earth3,AT,2012,2189.97,1898.74,432.87
ec-earth3,AT,2013,2236.11,1989.87,431.66
ec-earth3,AT,2014,1735.98,1580.39,331.61
ec-earth3,AT,2015,1913.75,1619.06,514.44
ec-earth3,AT,2016,2035.51,1590,384.77
ec-earth3,AT,2017,2109.46,1862.02,477.94
ec-earth3,AT,2018,1956.53,1883.45,477.79
ec-earth3,AT,2019,1898.22,1631.16,516.59
ec-earth3,AT,2020,1919.4,1561.11,390.52
ec-earth3,AT,2021,2195.66,1785.89,414.8
ec-earth3,AT,2022,1880.94,1720.91,478.55
ec-earth3,AT,2023,1833.34,1550.55,450.02
ec-earth3,AT,2024,1698.57,1405.91,543.12
ec-earth3,BE,1990,1712.38,1308.54,244.46
ec-earth3,BE,1991,2107.79,1619.83,213.55
ec-earth3,BE,1992,1881.53,1636.54,229.58
ec-earth3,BE,1993,1924.84,1614.88,152.77
ec-earth3,BE,1994,1696.01,1650.79,312.01
ec-earth3,BE,1995,1875.26,1348.46,340.7
ec-earth3,BE,1996,2301.94,1846.68,205.45
ec-earth3,BE,1997,1887.79,1667.75,271.96
ec-earth3,BE,1998,1821.24,1456.06,167.55
ec-earth3,BE,1999,1667.92,1574.62,250.58
ec-earth3,BE,2000,1589.76,1471.4,185.37
ec-earth3,BE,2001,1837.78,1416.45,261.93
ec-earth3,BE,2002,1584.38,1369.87,231.35
ec-earth3,BE,2003,1877.6,1516.1,357.77
ec-earth3,BE,2004,1798.67,1566.58,241.25
ec-earth3,BE,2005,1761.16,1538.79,244.78
ec-earth3,BE,2006,1747.47,1649.15,323.79
ec-earth3,BE,2007,1459.5,1095.21,192.07
ec-earth3,BE,2008,1759.43,1430.95,196.76
ec-earth3,BE,2009,1815.34,1737.68,258.3
ec-earth3,BE,2010,2253.86,1663.48,274.37
ec-earth3,BE,2011,1545.39,1681.75,168.71
ec-earth3,BE,2012,1862.43,1450.3,218.43
ec-earth3,BE,2013,2097.9,1752.08,275.22
ec-earth3,BE,2014,1452.86,1290.52,212.55
ec-earth3,BE,2015,1637.39,1443.41,291.47
ec-earth3,BE,2016,1799.11,1256.8,254.26
ec-earth3,BE,2017,1692.89,1502.52,295.75
ec-earth3,BE,2018,1721.03,1521.22,374.42
ec-earth3,BE,2019,1654.81,1358.7,339.85
ec-earth3,BE,2020,1461.9,1273.85,329.41
ec-earth3,BE,2021,1838.11,1364.26,237.58
ec-earth3,BE,2022,1561.73,1343.48,385.29
ec-earth3,BE,2023,1499.74,1289.37,317.17
ec-earth3,BE,2024,1465.56,1161.99,298.16
ec-earth3,BG,1990,1703.44,1647.71,604.21
ec-earth3,BG,1991,2106.35,1676.04,551.83
ec-earth3,BG,1992,1931.88,1824.53,611.82
ec-earth3,BG,1993,2015.57,1819.96,635.61
ec-earth3,BG,1994,1675.99,1550.75,650.13
ec-earth3,BG,1995,1956.11,1612.81,579.67
ec-earth3,BG,1996,2099.45,2085.09,644.48
ec-earth3,BG,1997,2068.63,1611.37,528.41
ec-earth3,BG,1998,1895.45,1699.61,694.15
ec-earth3,BG,1999,1714.62,1769.62,673.12
ec-earth3,BG,2000,1745.74,1704.5,732.37
ec-earth3,BG,2001,1828.95,1311.27,687.54
ec-earth3,BG,2002,1703.16,1693.2,634.58
ec-earth3,BG,2003,2071.46,1842.66,738.2
ec-earth3,BG,2004,1784.03,1711.72,553.08
ec-earth3,BG,2005,1903.53,1617.62,538.64
ec-earth3,BG,2006,1891.73,1790.67,614.39
ec-earth3,BG,2007,1625.46,1320.48,799.89
ec-earth3,BG,2008,1687.24,1690.84,702.59
ec-earth3,BG,2009,1692.24,1565.05,662.6
ec-earth3,BG,2010,1716.13,1542.16,688.44
ec-earth3,BG,2011,1976.46,1589.03,649.96
ec-earth3,BG,2012,1927.6,1927.7,847.93
ec-earth3,BG,2013,1650.22,1510.36,678.79
ec-earth3,BG,2014,1524.94,1353.44,610.32
ec-earth3,BG,2015,1589.15,1530.29,699.73
ec-earth3,BG,2016,1632.52,1290.07,727.73
ec-earth3,BG,2017,1736.75,1699.93,742.1
ec-earth3,BG,2018,1625.73,1464.69,668.7
ec-earth3,BG,2019,1437.43,1484.06,727.5
ec-earth3,BG,2020,1490.46,1214.27,681.13
ec-earth3,BG,2021,1653.88,1369.66,759.36
ec-earth3,BG,2022,1553.59,1512.65,767.97
ec-earth3,BG,2023,1344.87,1150.41,791.29
ec-earth3,BG,2024,1267.79,1077.37,959.43
ec-earth3,CH,1990,2155.75,1694.71,260.24
ec-earth3,CH,1991,2505.75,1937.09,293.88
ec-earth3,CH,1992,2270.93,2024.55,294.89
ec-earth3,CH,1993,2304.35,1891.68,227.31
ec-earth3,CH,1994,1993.04,1793.07,350.73
ec-earth3,CH,1995,2308.18,1743.62,268.96
ec-earth3,CH,1996,2511.75,2003.32,207.24
ec-earth3,CH,1997,2187.42,1840.78,230.21
ec-earth3,CH,1998,2293.5,1805.13,277.72
ec-earth3,CH,1999,2284.28,2016.53,227
ec-earth3,CH,2000,2038.61,1921.99,249.27
ec-earth3,CH,2001,2244.92,1641.05,265.88
ec-earth3,CH,2002,2025.97,1794.17,257.04
ec-earth3,CH,2003,2334.72,1834.92,492.23
ec-earth3,CH,2004,2324.55,1994.23,246.06
ec-earth3,CH,2005,2434.31,2002.83,248.49
ec-earth3,CH,2006,2252.03,2140.82,306.7
ec-earth3,CH,2007,2073.18,1513.23,219.91
ec-earth3,CH,2008,2227.57,1902.08,253.06
ec-earth3,CH,2009,2258.58,2076.59,288.16
ec-earth3,CH,2010,2533.39,2002.91,274.82
ec-earth3,CH,2011,1989.72,1912.99,246.8
ec-earth3,CH,2012,2267.11,1867.63,287.04
ec-earth3,CH,2013,2445.15,2017.27,308.26
ec-earth3,CH,2014,1873.41,1686.53,206.67
ec-earth3,CH,2015,2061.31,1704.68,401.68
ec-earth3,CH,2016,2183.15,1661.74,284.91
ec-earth3,CH,2017,2207.98,1847.94,354.14
ec-earth3,CH,2018,2010.53,1910.02,380.51
ec-earth3,CH,2019,2077.74,1705.64,371.98
ec-earth3,CH,2020,1948.18,1577.33,312
ec-earth3,CH,2021,2269.5,1781.89,240.77
ec-earth3,CH,2022,1869,1772.34,415.56
ec-earth3,CH,2023,1908.78,1546.59,386.94
ec-earth3,CH,2024,1875.76,1469.09,354.22
ec-earth3,CY,1990,592.61,553.39,737.34
ec-earth3,CY,1991,564.32,450.82,710.33
ec-earth3,CY,1992,892.85,790.56,678.66
